day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/23,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/24,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/25,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/26,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/27,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/28,AE,United Arab Emirates,Asia,24,54,0,0,0
2020/01/29,AE,United Arab Emirates,Asia,24,54,4,0,0
2020/01/30,AE,United Arab Emirates,Asia,24,54,4,0,0
2020/01/31,AE,United Arab Emirates,Asia,24,54,4,0,0
2020/02/01,AE,United Arab Emirates,Asia,24,54,4,0,0
2020/02/02,AE,United Arab Emirates,Asia,24,54,5,0,0
2020/02/03,AE,United Arab Emirates,Asia,24,54,5,0,0
2020/02/04,AE,United Arab Emirates,Asia,24,54,5,0,0
2020/02/05,AE,United Arab Emirates,Asia,24,54,5,0,0
2020/02/06,AE,United Arab Emirates,Asia,24,54,5,0,0
2020/02/07,AE,United Arab Emirates,Asia,24,54,5,0,0
2020/02/08,AE,United Arab Emirates,Asia,24,54,7,0,0
2020/02/09,AE,United Arab Emirates,Asia,24,54,7,0,0
2020/02/10,AE,United Arab Emirates,Asia,24,54,8,0,0
2020/02/11,AE,United Arab Emirates,Asia,24,54,8,0,0
2020/02/12,AE,United Arab Emirates,Asia,24,54,8,1,0
2020/02/13,AE,United Arab Emirates,Asia,24,54,8,1,0
2020/02/14,AE,United Arab Emirates,Asia,24,54,8,1,0
2020/02/15,AE,United Arab Emirates,Asia,24,54,8,3,0
2020/02/16,AE,United Arab Emirates,Asia,24,54,9,4,0
2020/02/17,AE,United Arab Emirates,Asia,24,54,9,4,0
2020/02/18,AE,United Arab Emirates,Asia,24,54,9,4,0
2020/02/19,AE,United Arab Emirates,Asia,24,54,9,4,0
2020/02/20,AE,United Arab Emirates,Asia,24,54,9,4,0
2020/02/21,AE,United Arab Emirates,Asia,24,54,9,4,0
2020/02/22,AE,United Arab Emirates,Asia,24,54,13,4,0
2020/02/23,AE,United Arab Emirates,Asia,24,54,13,4,0
2020/02/24,AE,United Arab Emirates,Asia,24,54,13,4,0
2020/02/25,AE,United Arab Emirates,Asia,24,54,13,4,0
2020/02/26,AE,United Arab Emirates,Asia,24,54,13,4,0
2020/02/27,AE,United Arab Emirates,Asia,24,54,13,4,0
2020/02/28,AE,United Arab Emirates,Asia,24,54,19,5,0
2020/02/29,AE,United Arab Emirates,Asia,24,54,21,5,0
2020/03/01,AE,United Arab Emirates,Asia,24,54,21,5,0
2020/03/02,AE,United Arab Emirates,Asia,24,54,21,5,0
2020/03/03,AE,United Arab Emirates,Asia,24,54,27,5,0
2020/03/04,AE,United Arab Emirates,Asia,24,54,27,5,0
2020/03/05,AE,United Arab Emirates,Asia,24,54,29,5,0
2020/03/06,AE,United Arab Emirates,Asia,24,54,29,5,0
2020/03/07,AE,United Arab Emirates,Asia,24,54,45,7,0
2020/03/08,AE,United Arab Emirates,Asia,24,54,45,7,0
2020/03/09,AE,United Arab Emirates,Asia,24,54,45,7,0
2020/03/10,AE,United Arab Emirates,Asia,24,54,74,12,0
2020/03/11,AE,United Arab Emirates,Asia,24,54,74,17,0
2020/03/12,AE,United Arab Emirates,Asia,24,54,85,17,0
2020/03/13,AE,United Arab Emirates,Asia,24,54,85,17,0
2020/03/14,AE,United Arab Emirates,Asia,24,54,85,17,0
2020/03/15,AE,United Arab Emirates,Asia,24,54,98,23,0
2020/03/16,AE,United Arab Emirates,Asia,24,54,98,23,0
2020/03/17,AE,United Arab Emirates,Asia,24,54,98,23,0
2020/03/18,AE,United Arab Emirates,Asia,24,54,113,26,0
2020/03/19,AE,United Arab Emirates,Asia,24,54,140,31,0
2020/03/20,AE,United Arab Emirates,Asia,24,54,140,31,2
2020/03/21,AE,United Arab Emirates,Asia,24,54,153,38,2
2020/03/22,AE,United Arab Emirates,Asia,24,54,153,38,2
2020/03/23,AE,United Arab Emirates,Asia,24,54,198,41,2
2020/03/24,AE,United Arab Emirates,Asia,24,54,248,45,2
2020/03/25,AE,United Arab Emirates,Asia,24,54,333,52,2
2020/03/26,AE,United Arab Emirates,Asia,24,54,333,52,2
