day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/23,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/24,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/25,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/26,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/27,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/28,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/29,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/30,AF,Afghanistan,Asia,33,65,0,0,0
2020/01/31,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/01,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/02,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/03,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/04,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/05,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/06,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/07,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/08,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/09,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/10,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/11,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/12,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/13,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/14,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/15,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/16,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/17,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/18,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/19,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/20,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/21,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/22,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/23,AF,Afghanistan,Asia,33,65,0,0,0
2020/02/24,AF,Afghanistan,Asia,33,65,1,0,0
2020/02/25,AF,Afghanistan,Asia,33,65,1,0,0
2020/02/26,AF,Afghanistan,Asia,33,65,1,0,0
2020/02/27,AF,Afghanistan,Asia,33,65,1,0,0
2020/02/28,AF,Afghanistan,Asia,33,65,1,0,0
2020/02/29,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/01,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/02,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/03,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/04,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/05,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/06,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/07,AF,Afghanistan,Asia,33,65,1,0,0
2020/03/08,AF,Afghanistan,Asia,33,65,4,0,0
2020/03/09,AF,Afghanistan,Asia,33,65,4,0,0
2020/03/10,AF,Afghanistan,Asia,33,65,5,0,0
2020/03/11,AF,Afghanistan,Asia,33,65,7,0,0
2020/03/12,AF,Afghanistan,Asia,33,65,7,0,0
2020/03/13,AF,Afghanistan,Asia,33,65,7,0,0
2020/03/14,AF,Afghanistan,Asia,33,65,11,0,0
2020/03/15,AF,Afghanistan,Asia,33,65,16,0,0
2020/03/16,AF,Afghanistan,Asia,33,65,21,1,0
2020/03/17,AF,Afghanistan,Asia,33,65,22,1,0
2020/03/18,AF,Afghanistan,Asia,33,65,22,1,0
2020/03/19,AF,Afghanistan,Asia,33,65,22,1,0
2020/03/20,AF,Afghanistan,Asia,33,65,24,1,0
2020/03/21,AF,Afghanistan,Asia,33,65,24,1,0
2020/03/22,AF,Afghanistan,Asia,33,65,40,1,1
2020/03/23,AF,Afghanistan,Asia,33,65,40,1,1
2020/03/24,AF,Afghanistan,Asia,33,65,74,1,1
2020/03/25,AF,Afghanistan,Asia,33,65,84,2,2
2020/03/26,AF,Afghanistan,Asia,33,65,94,2,4
2020/03/27,AF,Afghanistan,Asia,33,65,110,2,4
2020/03/28,AF,Afghanistan,Asia,33,65,110,2,4
2020/03/29,AF,Afghanistan,Asia,33,65,120,2,4
2020/03/30,AF,Afghanistan,Asia,33,65,170,2,4
2020/03/31,AF,Afghanistan,Asia,33,65,174,5,4
2020/04/01,AF,Afghanistan,Asia,33,65,237,5,4
2020/04/02,AF,Afghanistan,Asia,33,65,273,10,6
2020/04/03,AF,Afghanistan,Asia,33,65,281,10,6
2020/04/04,AF,Afghanistan,Asia,33,65,299,10,7
2020/04/05,AF,Afghanistan,Asia,33,65,349,15,7
2020/04/06,AF,Afghanistan,Asia,33,65,367,18,11
