day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/23,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/24,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/25,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/26,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/27,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/28,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/29,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/30,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/01/31,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/01,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/02,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/03,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/04,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/05,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/06,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/07,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/08,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/09,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/10,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/11,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/12,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/13,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/14,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/15,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/16,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/17,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/18,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/19,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/20,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/21,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/22,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/23,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/24,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/25,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/26,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/27,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/28,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/02/29,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/01,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/02,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/03,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/04,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/05,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/06,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/07,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/08,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/09,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/10,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/11,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/12,AG,Antigua and Barbuda,Americas,17.05,-61.8,0,0,0
2020/03/13,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/14,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/15,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/16,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/17,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/18,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/19,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/20,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/21,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/22,AG,Antigua and Barbuda,Americas,17.05,-61.8,1,0,0
2020/03/23,AG,Antigua and Barbuda,Americas,17.05,-61.8,3,0,0
2020/03/24,AG,Antigua and Barbuda,Americas,17.05,-61.8,3,0,0
