day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AL,Albania,Europe,41,20,0,0,0
2020/01/23,AL,Albania,Europe,41,20,0,0,0
2020/01/24,AL,Albania,Europe,41,20,0,0,0
2020/01/25,AL,Albania,Europe,41,20,0,0,0
2020/01/26,AL,Albania,Europe,41,20,0,0,0
2020/01/27,AL,Albania,Europe,41,20,0,0,0
2020/01/28,AL,Albania,Europe,41,20,0,0,0
2020/01/29,AL,Albania,Europe,41,20,0,0,0
2020/01/30,AL,Albania,Europe,41,20,0,0,0
2020/01/31,AL,Albania,Europe,41,20,0,0,0
2020/02/01,AL,Albania,Europe,41,20,0,0,0
2020/02/02,AL,Albania,Europe,41,20,0,0,0
2020/02/03,AL,Albania,Europe,41,20,0,0,0
2020/02/04,AL,Albania,Europe,41,20,0,0,0
2020/02/05,AL,Albania,Europe,41,20,0,0,0
2020/02/06,AL,Albania,Europe,41,20,0,0,0
2020/02/07,AL,Albania,Europe,41,20,0,0,0
2020/02/08,AL,Albania,Europe,41,20,0,0,0
2020/02/09,AL,Albania,Europe,41,20,0,0,0
2020/02/10,AL,Albania,Europe,41,20,0,0,0
2020/02/11,AL,Albania,Europe,41,20,0,0,0
2020/02/12,AL,Albania,Europe,41,20,0,0,0
2020/02/13,AL,Albania,Europe,41,20,0,0,0
2020/02/14,AL,Albania,Europe,41,20,0,0,0
2020/02/15,AL,Albania,Europe,41,20,0,0,0
2020/02/16,AL,Albania,Europe,41,20,0,0,0
2020/02/17,AL,Albania,Europe,41,20,0,0,0
2020/02/18,AL,Albania,Europe,41,20,0,0,0
2020/02/19,AL,Albania,Europe,41,20,0,0,0
2020/02/20,AL,Albania,Europe,41,20,0,0,0
2020/02/21,AL,Albania,Europe,41,20,0,0,0
2020/02/22,AL,Albania,Europe,41,20,0,0,0
2020/02/23,AL,Albania,Europe,41,20,0,0,0
2020/02/24,AL,Albania,Europe,41,20,0,0,0
2020/02/25,AL,Albania,Europe,41,20,0,0,0
2020/02/26,AL,Albania,Europe,41,20,0,0,0
2020/02/27,AL,Albania,Europe,41,20,0,0,0
2020/02/28,AL,Albania,Europe,41,20,0,0,0
2020/02/29,AL,Albania,Europe,41,20,0,0,0
2020/03/01,AL,Albania,Europe,41,20,0,0,0
2020/03/02,AL,Albania,Europe,41,20,0,0,0
2020/03/03,AL,Albania,Europe,41,20,0,0,0
2020/03/04,AL,Albania,Europe,41,20,0,0,0
2020/03/05,AL,Albania,Europe,41,20,0,0,0
2020/03/06,AL,Albania,Europe,41,20,0,0,0
2020/03/07,AL,Albania,Europe,41,20,0,0,0
2020/03/08,AL,Albania,Europe,41,20,0,0,0
2020/03/09,AL,Albania,Europe,41,20,2,0,0
2020/03/10,AL,Albania,Europe,41,20,10,0,0
2020/03/11,AL,Albania,Europe,41,20,12,0,1
2020/03/12,AL,Albania,Europe,41,20,23,0,1
2020/03/13,AL,Albania,Europe,41,20,33,0,1
2020/03/14,AL,Albania,Europe,41,20,38,0,1
2020/03/15,AL,Albania,Europe,41,20,42,0,1
2020/03/16,AL,Albania,Europe,41,20,51,0,1
2020/03/17,AL,Albania,Europe,41,20,55,0,1
2020/03/18,AL,Albania,Europe,41,20,59,0,2
2020/03/19,AL,Albania,Europe,41,20,64,0,2
2020/03/20,AL,Albania,Europe,41,20,70,0,2
2020/03/21,AL,Albania,Europe,41,20,76,2,2
2020/03/22,AL,Albania,Europe,41,20,89,2,2
2020/03/23,AL,Albania,Europe,41,20,104,2,4
2020/03/24,AL,Albania,Europe,41,20,123,10,5
2020/03/25,AL,Albania,Europe,41,20,146,17,5
2020/03/26,AL,Albania,Europe,41,20,174,17,6
2020/03/27,AL,Albania,Europe,41,20,186,31,8
2020/03/28,AL,Albania,Europe,41,20,197,31,10
2020/03/29,AL,Albania,Europe,41,20,212,33,10
2020/03/30,AL,Albania,Europe,41,20,223,44,11
2020/03/31,AL,Albania,Europe,41,20,243,52,15
2020/04/01,AL,Albania,Europe,41,20,259,67,15
2020/04/02,AL,Albania,Europe,41,20,277,76,16
2020/04/03,AL,Albania,Europe,41,20,304,89,17
2020/04/04,AL,Albania,Europe,41,20,333,99,20
2020/04/05,AL,Albania,Europe,41,20,361,104,20
2020/04/06,AL,Albania,Europe,41,20,377,116,21
2020/04/07,AL,Albania,Europe,41,20,383,131,22
2020/04/08,AL,Albania,Europe,41,20,400,154,22
2020/04/09,AL,Albania,Europe,41,20,409,165,23
2020/04/10,AL,Albania,Europe,41,20,416,182,23
2020/04/11,AL,Albania,Europe,41,20,433,197,23
2020/04/12,AL,Albania,Europe,41,20,446,217,23
2020/04/13,AL,Albania,Europe,41,20,467,232,23
2020/04/14,AL,Albania,Europe,41,20,475,248,24
2020/04/15,AL,Albania,Europe,41,20,494,251,25
2020/04/16,AL,Albania,Europe,41,20,518,277,26
2020/04/17,AL,Albania,Europe,41,20,539,283,26
2020/04/18,AL,Albania,Europe,41,20,548,302,26
2020/04/19,AL,Albania,Europe,41,20,562,314,26
2020/04/20,AL,Albania,Europe,41,20,584,327,26
2020/04/21,AL,Albania,Europe,41,20,609,345,26
2020/04/22,AL,Albania,Europe,41,20,634,356,27
2020/04/23,AL,Albania,Europe,41,20,663,385,27
2020/04/24,AL,Albania,Europe,41,20,678,394,27
2020/04/25,AL,Albania,Europe,41,20,712,403,27
2020/04/26,AL,Albania,Europe,41,20,726,410,28
2020/04/27,AL,Albania,Europe,41,20,736,422,28
2020/04/28,AL,Albania,Europe,41,20,750,431,30
2020/04/29,AL,Albania,Europe,41,20,766,455,30
2020/04/30,AL,Albania,Europe,41,20,773,470,31
2020/05/01,AL,Albania,Europe,41,20,782,488,31
2020/05/02,AL,Albania,Europe,41,20,789,519,31
2020/05/03,AL,Albania,Europe,41,20,795,531,31
2020/05/04,AL,Albania,Europe,41,20,803,543,31
2020/05/05,AL,Albania,Europe,41,20,820,570,31
2020/05/06,AL,Albania,Europe,41,20,832,595,31
