day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AU,Australia,Oceania,-27,133,0,0,0
2020/01/23,AU,Australia,Oceania,-27,133,0,0,0
2020/01/24,AU,Australia,Oceania,-27,133,0,0,0
2020/01/25,AU,Australia,Oceania,-27,133,0,0,0
2020/01/26,AU,Australia,Oceania,-27,133,4,0,0
2020/01/27,AU,Australia,Oceania,-27,133,5,0,0
2020/01/28,AU,Australia,Oceania,-27,133,5,0,0
2020/01/29,AU,Australia,Oceania,-27,133,6,0,0
2020/01/30,AU,Australia,Oceania,-27,133,9,2,0
2020/01/31,AU,Australia,Oceania,-27,133,9,2,0
2020/02/01,AU,Australia,Oceania,-27,133,12,2,0
2020/02/02,AU,Australia,Oceania,-27,133,12,2,0
2020/02/03,AU,Australia,Oceania,-27,133,12,2,0
2020/02/04,AU,Australia,Oceania,-27,133,13,2,0
2020/02/05,AU,Australia,Oceania,-27,133,13,2,0
2020/02/06,AU,Australia,Oceania,-27,133,14,2,0
2020/02/07,AU,Australia,Oceania,-27,133,15,2,0
2020/02/08,AU,Australia,Oceania,-27,133,15,2,0
2020/02/09,AU,Australia,Oceania,-27,133,15,2,0
2020/02/10,AU,Australia,Oceania,-27,133,15,2,0
2020/02/11,AU,Australia,Oceania,-27,133,15,2,0
2020/02/12,AU,Australia,Oceania,-27,133,15,2,0
2020/02/13,AU,Australia,Oceania,-27,133,15,8,0
2020/02/14,AU,Australia,Oceania,-27,133,15,8,0
2020/02/15,AU,Australia,Oceania,-27,133,15,8,0
2020/02/16,AU,Australia,Oceania,-27,133,15,8,0
2020/02/17,AU,Australia,Oceania,-27,133,15,10,0
2020/02/18,AU,Australia,Oceania,-27,133,15,10,0
2020/02/19,AU,Australia,Oceania,-27,133,15,10,0
2020/02/20,AU,Australia,Oceania,-27,133,15,10,0
2020/02/21,AU,Australia,Oceania,-27,133,19,11,0
2020/02/22,AU,Australia,Oceania,-27,133,22,11,0
2020/02/23,AU,Australia,Oceania,-27,133,22,11,0
2020/02/24,AU,Australia,Oceania,-27,133,22,11,0
2020/02/25,AU,Australia,Oceania,-27,133,22,11,0
2020/02/26,AU,Australia,Oceania,-27,133,22,11,0
2020/02/27,AU,Australia,Oceania,-27,133,23,11,0
2020/02/28,AU,Australia,Oceania,-27,133,23,11,0
2020/02/29,AU,Australia,Oceania,-27,133,25,11,0
2020/03/01,AU,Australia,Oceania,-27,133,27,11,1
2020/03/02,AU,Australia,Oceania,-27,133,30,11,1
2020/03/03,AU,Australia,Oceania,-27,133,39,11,1
2020/03/04,AU,Australia,Oceania,-27,133,52,11,2
2020/03/05,AU,Australia,Oceania,-27,133,55,21,2
2020/03/06,AU,Australia,Oceania,-27,133,60,21,2
2020/03/07,AU,Australia,Oceania,-27,133,63,21,2
2020/03/08,AU,Australia,Oceania,-27,133,76,21,3
2020/03/09,AU,Australia,Oceania,-27,133,91,21,3
2020/03/10,AU,Australia,Oceania,-27,133,107,21,3
2020/03/11,AU,Australia,Oceania,-27,133,128,21,3
2020/03/12,AU,Australia,Oceania,-27,133,128,21,3
2020/03/13,AU,Australia,Oceania,-27,133,200,23,3
2020/03/14,AU,Australia,Oceania,-27,133,250,23,3
2020/03/15,AU,Australia,Oceania,-27,133,297,23,3
2020/03/16,AU,Australia,Oceania,-27,133,377,23,3
2020/03/17,AU,Australia,Oceania,-27,133,452,23,5
2020/03/18,AU,Australia,Oceania,-27,133,568,23,6
2020/03/19,AU,Australia,Oceania,-27,133,681,26,6
2020/03/20,AU,Australia,Oceania,-27,133,791,26,7
2020/03/21,AU,Australia,Oceania,-27,133,1071,26,7
2020/03/22,AU,Australia,Oceania,-27,133,1314,88,7
2020/03/23,AU,Australia,Oceania,-27,133,1887,118,7
2020/03/24,AU,Australia,Oceania,-27,133,2315,118,8
2020/03/25,AU,Australia,Oceania,-27,133,2676,118,11
2020/03/26,AU,Australia,Oceania,-27,133,2996,170,13
2020/03/27,AU,Australia,Oceania,-27,133,3180,170,13
2020/03/28,AU,Australia,Oceania,-27,133,3635,170,14
2020/03/29,AU,Australia,Oceania,-27,133,4163,226,17
2020/03/30,AU,Australia,Oceania,-27,133,4364,244,19
2020/03/31,AU,Australia,Oceania,-27,133,4763,345,20
2020/04/01,AU,Australia,Oceania,-27,133,5048,345,23
2020/04/02,AU,Australia,Oceania,-27,133,5314,585,28
