day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/23,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/24,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/25,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/26,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/27,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/28,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/29,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/30,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/01/31,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/01,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/02,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/03,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/04,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/05,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/06,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/07,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/08,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/09,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/10,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/11,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/12,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/13,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/14,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/15,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/16,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/17,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/18,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/19,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/20,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/21,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/22,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/23,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/24,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/25,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/26,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/27,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/28,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/02/29,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/01,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/02,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/03,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/04,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/05,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/06,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/07,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/08,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/09,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/10,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/11,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/12,AW,Aruba,Americas,12.5,-69.96666666,0,0,0
2020/03/13,AW,Aruba,Americas,12.5,-69.96666666,2,0,0
2020/03/14,AW,Aruba,Americas,12.5,-69.96666666,2,0,0
2020/03/15,AW,Aruba,Americas,12.5,-69.96666666,2,0,0
2020/03/16,AW,Aruba,Americas,12.5,-69.96666666,2,0,0
2020/03/17,AW,Aruba,Americas,12.5,-69.96666666,3,0,0
2020/03/18,AW,Aruba,Americas,12.5,-69.96666666,4,0,0
2020/03/19,AW,Aruba,Americas,12.5,-69.96666666,4,0,0
2020/03/20,AW,Aruba,Americas,12.5,-69.96666666,5,0,0
2020/03/21,AW,Aruba,Americas,12.5,-69.96666666,5,0,0
2020/03/22,AW,Aruba,Americas,12.5,-69.96666666,8,0,0
2020/03/23,AW,Aruba,Americas,12.5,-69.96666666,9,1,0
2020/03/24,AW,Aruba,Americas,12.5,-69.96666666,17,1,0
2020/03/25,AW,Aruba,Americas,12.5,-69.96666666,17,1,0
2020/03/26,AW,Aruba,Americas,12.5,-69.96666666,28,1,0
2020/03/27,AW,Aruba,Americas,12.5,-69.96666666,33,1,0
2020/03/28,AW,Aruba,Americas,12.5,-69.96666666,46,1,0
2020/03/29,AW,Aruba,Americas,12.5,-69.96666666,50,1,0
2020/03/30,AW,Aruba,Americas,12.5,-69.96666666,50,1,0
2020/03/31,AW,Aruba,Americas,12.5,-69.96666666,55,1,0
2020/04/01,AW,Aruba,Americas,12.5,-69.96666666,55,1,0
2020/04/02,AW,Aruba,Americas,12.5,-69.96666666,60,1,0
2020/04/03,AW,Aruba,Americas,12.5,-69.96666666,62,1,0
2020/04/04,AW,Aruba,Americas,12.5,-69.96666666,64,1,0
2020/04/05,AW,Aruba,Americas,12.5,-69.96666666,64,1,0
2020/04/06,AW,Aruba,Americas,12.5,-69.96666666,71,2,0
2020/04/07,AW,Aruba,Americas,12.5,-69.96666666,74,14,0
2020/04/08,AW,Aruba,Americas,12.5,-69.96666666,77,14,0
2020/04/09,AW,Aruba,Americas,12.5,-69.96666666,82,20,0
2020/04/10,AW,Aruba,Americas,12.5,-69.96666666,86,27,0
2020/04/11,AW,Aruba,Americas,12.5,-69.96666666,92,29,0
2020/04/12,AW,Aruba,Americas,12.5,-69.96666666,92,32,0
2020/04/13,AW,Aruba,Americas,12.5,-69.96666666,92,32,0
2020/04/14,AW,Aruba,Americas,12.5,-69.96666666,92,32,0
2020/04/15,AW,Aruba,Americas,12.5,-69.96666666,93,39,1
2020/04/16,AW,Aruba,Americas,12.5,-69.96666666,95,39,2
2020/04/17,AW,Aruba,Americas,12.5,-69.96666666,96,43,2
2020/04/18,AW,Aruba,Americas,12.5,-69.96666666,96,44,2
2020/04/19,AW,Aruba,Americas,12.5,-69.96666666,97,49,2
2020/04/20,AW,Aruba,Americas,12.5,-69.96666666,97,49,2
2020/04/21,AW,Aruba,Americas,12.5,-69.96666666,97,51,2
2020/04/22,AW,Aruba,Americas,12.5,-69.96666666,100,68,2
2020/04/23,AW,Aruba,Americas,12.5,-69.96666666,100,68,2
2020/04/24,AW,Aruba,Americas,12.5,-69.96666666,100,68,2
2020/04/25,AW,Aruba,Americas,12.5,-69.96666666,100,69,2
2020/04/26,AW,Aruba,Americas,12.5,-69.96666666,100,73,2
2020/04/27,AW,Aruba,Americas,12.5,-69.96666666,100,73,2
2020/04/28,AW,Aruba,Americas,12.5,-69.96666666,100,73,2
2020/04/29,AW,Aruba,Americas,12.5,-69.96666666,100,73,2
2020/04/30,AW,Aruba,Americas,12.5,-69.96666666,100,79,2
2020/05/01,AW,Aruba,Americas,12.5,-69.96666666,100,81,2
2020/05/02,AW,Aruba,Americas,12.5,-69.96666666,100,81,2
2020/05/03,AW,Aruba,Americas,12.5,-69.96666666,100,81,2
2020/05/04,AW,Aruba,Americas,12.5,-69.96666666,100,81,2
2020/05/05,AW,Aruba,Americas,12.5,-69.96666666,101,82,2
2020/05/06,AW,Aruba,Americas,12.5,-69.96666666,101,89,2
2020/05/07,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/08,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/09,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/10,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/11,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/12,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/13,AW,Aruba,Americas,12.5,-69.96666666,101,89,3
2020/05/14,AW,Aruba,Americas,12.5,-69.96666666,101,93,3
2020/05/15,AW,Aruba,Americas,12.5,-69.96666666,101,93,3
2020/05/16,AW,Aruba,Americas,12.5,-69.96666666,101,93,3
2020/05/17,AW,Aruba,Americas,12.5,-69.96666666,101,93,3
2020/05/18,AW,Aruba,Americas,12.5,-69.96666666,101,93,3
2020/05/19,AW,Aruba,Americas,12.5,-69.96666666,101,93,3
2020/05/20,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/21,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/22,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/23,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/24,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/25,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/26,AW,Aruba,Americas,12.5,-69.96666666,101,95,3
2020/05/27,AW,Aruba,Americas,12.5,-69.96666666,101,97,3
2020/05/28,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/05/29,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/05/30,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/05/31,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/01,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/02,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/03,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/04,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/05,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/06,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/07,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/08,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/09,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/10,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/11,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/12,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/13,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/14,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/15,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/16,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/17,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/18,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/19,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/20,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/21,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/22,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/23,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/24,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/25,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/26,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/27,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/28,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/29,AW,Aruba,Americas,12.5,-69.96666666,101,98,3
2020/06/30,AW,Aruba,Americas,12.5,-69.96666666,103,98,3
2020/07/01,AW,Aruba,Americas,12.5,-69.96666666,103,98,3
2020/07/02,AW,Aruba,Americas,12.5,-69.96666666,104,98,3
2020/07/03,AW,Aruba,Americas,12.5,-69.96666666,104,98,3
2020/07/04,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/05,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/06,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/07,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/08,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/09,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/10,AW,Aruba,Americas,12.5,-69.96666666,105,98,3
2020/07/11,AW,Aruba,Americas,12.5,-69.96666666,105,99,3
2020/07/12,AW,Aruba,Americas,12.5,-69.96666666,105,99,3
2020/07/13,AW,Aruba,Americas,12.5,-69.96666666,105,99,3
2020/07/14,AW,Aruba,Americas,12.5,-69.96666666,106,99,3
2020/07/15,AW,Aruba,Americas,12.5,-69.96666666,106,99,3
2020/07/16,AW,Aruba,Americas,12.5,-69.96666666,106,99,3
2020/07/17,AW,Aruba,Americas,12.5,-69.96666666,111,100,3
2020/07/18,AW,Aruba,Americas,12.5,-69.96666666,111,100,3
2020/07/19,AW,Aruba,Americas,12.5,-69.96666666,113,100,3
2020/07/20,AW,Aruba,Americas,12.5,-69.96666666,115,100,3
2020/07/21,AW,Aruba,Americas,12.5,-69.96666666,117,100,3
2020/07/22,AW,Aruba,Americas,12.5,-69.96666666,117,100,3
2020/07/23,AW,Aruba,Americas,12.5,-69.96666666,117,100,3
2020/07/24,AW,Aruba,Americas,12.5,-69.96666666,118,101,3
2020/07/25,AW,Aruba,Americas,12.5,-69.96666666,119,102,3
2020/07/26,AW,Aruba,Americas,12.5,-69.96666666,119,102,3
2020/07/27,AW,Aruba,Americas,12.5,-69.96666666,119,102,3
2020/07/28,AW,Aruba,Americas,12.5,-69.96666666,119,102,3
2020/07/29,AW,Aruba,Americas,12.5,-69.96666666,119,102,3
2020/07/30,AW,Aruba,Americas,12.5,-69.96666666,120,105,3
2020/07/31,AW,Aruba,Americas,12.5,-69.96666666,121,105,3
2020/08/01,AW,Aruba,Americas,12.5,-69.96666666,121,105,3
2020/08/02,AW,Aruba,Americas,12.5,-69.96666666,122,111,3
2020/08/03,AW,Aruba,Americas,12.5,-69.96666666,124,112,3
2020/08/04,AW,Aruba,Americas,12.5,-69.96666666,132,112,3
2020/08/05,AW,Aruba,Americas,12.5,-69.96666666,171,112,3
2020/08/06,AW,Aruba,Americas,12.5,-69.96666666,263,114,3
2020/08/07,AW,Aruba,Americas,12.5,-69.96666666,396,114,3
2020/08/08,AW,Aruba,Americas,12.5,-69.96666666,509,114,3
2020/08/09,AW,Aruba,Americas,12.5,-69.96666666,563,114,3
2020/08/10,AW,Aruba,Americas,12.5,-69.96666666,630,114,3
2020/08/11,AW,Aruba,Americas,12.5,-69.96666666,717,114,3
2020/08/12,AW,Aruba,Americas,12.5,-69.96666666,798,114,3
2020/08/13,AW,Aruba,Americas,12.5,-69.96666666,894,114,4
2020/08/14,AW,Aruba,Americas,12.5,-69.96666666,973,114,4
2020/08/15,AW,Aruba,Americas,12.5,-69.96666666,1048,193,4
2020/08/16,AW,Aruba,Americas,12.5,-69.96666666,1102,200,4
2020/08/17,AW,Aruba,Americas,12.5,-69.96666666,1121,212,4
2020/08/18,AW,Aruba,Americas,12.5,-69.96666666,1205,277,4
2020/08/19,AW,Aruba,Americas,12.5,-69.96666666,1296,277,5
2020/08/20,AW,Aruba,Americas,12.5,-69.96666666,1387,277,6
2020/08/21,AW,Aruba,Americas,12.5,-69.96666666,1464,415,6
2020/08/22,AW,Aruba,Americas,12.5,-69.96666666,1534,446,7
2020/08/23,AW,Aruba,Americas,12.5,-69.96666666,1568,455,7
2020/08/24,AW,Aruba,Americas,12.5,-69.96666666,1568,455,7
2020/08/25,AW,Aruba,Americas,12.5,-69.96666666,1670,565,8
2020/08/26,AW,Aruba,Americas,12.5,-69.96666666,1670,565,8
2020/08/27,AW,Aruba,Americas,12.5,-69.96666666,1848,608,8
2020/08/28,AW,Aruba,Americas,12.5,-69.96666666,1906,743,9
2020/08/29,AW,Aruba,Americas,12.5,-69.96666666,1975,765,10
2020/08/30,AW,Aruba,Americas,12.5,-69.96666666,1997,765,10
2020/08/31,AW,Aruba,Americas,12.5,-69.96666666,2006,768,10
2020/09/01,AW,Aruba,Americas,12.5,-69.96666666,2006,768,10
2020/09/02,AW,Aruba,Americas,12.5,-69.96666666,2211,934,12
2020/09/03,AW,Aruba,Americas,12.5,-69.96666666,2292,1031,13
2020/09/04,AW,Aruba,Americas,12.5,-69.96666666,2358,1119,13
2020/09/05,AW,Aruba,Americas,12.5,-69.96666666,2428,1206,14
2020/09/06,AW,Aruba,Americas,12.5,-69.96666666,2449,1206,14
2020/09/07,AW,Aruba,Americas,12.5,-69.96666666,2482,1244,15
2020/09/08,AW,Aruba,Americas,12.5,-69.96666666,2589,1293,15
2020/09/09,AW,Aruba,Americas,12.5,-69.96666666,2730,1351,15
2020/09/10,AW,Aruba,Americas,12.5,-69.96666666,2819,1407,16
2020/09/11,AW,Aruba,Americas,12.5,-69.96666666,2898,1451,18
2020/09/12,AW,Aruba,Americas,12.5,-69.96666666,2994,1542,18
2020/09/13,AW,Aruba,Americas,12.5,-69.96666666,3046,1542,18
2020/09/14,AW,Aruba,Americas,12.5,-69.96666666,3060,1566,20
2020/09/15,AW,Aruba,Americas,12.5,-69.96666666,3152,1610,22
2020/09/16,AW,Aruba,Americas,12.5,-69.96666666,3328,1676,22
2020/09/17,AW,Aruba,Americas,12.5,-69.96666666,3382,1742,23
2020/09/18,AW,Aruba,Americas,12.5,-69.96666666,3460,2128,23
2020/09/19,AW,Aruba,Americas,12.5,-69.96666666,3460,2128,23
2020/09/20,AW,Aruba,Americas,12.5,-69.96666666,3551,2239,23
2020/09/21,AW,Aruba,Americas,12.5,-69.96666666,3587,2369,24
2020/09/22,AW,Aruba,Americas,12.5,-69.96666666,3665,2426,25
2020/09/23,AW,Aruba,Americas,12.5,-69.96666666,3721,2501,25
2020/09/24,AW,Aruba,Americas,12.5,-69.96666666,3756,2664,25
2020/09/25,AW,Aruba,Americas,12.5,-69.96666666,3799,2753,25
2020/09/26,AW,Aruba,Americas,12.5,-69.96666666,3832,2829,25
2020/09/27,AW,Aruba,Americas,12.5,-69.96666666,3844,2948,25
2020/09/28,AW,Aruba,Americas,12.5,-69.96666666,3872,3037,25
2020/09/29,AW,Aruba,Americas,12.5,-69.96666666,3934,3181,26
2020/09/30,AW,Aruba,Americas,12.5,-69.96666666,3963,3259,27
2020/10/01,AW,Aruba,Americas,12.5,-69.96666666,3998,3327,27
2020/10/02,AW,Aruba,Americas,12.5,-69.96666666,4038,3406,30
2020/10/03,AW,Aruba,Americas,12.5,-69.96666666,4074,3474,30
2020/10/04,AW,Aruba,Americas,12.5,-69.96666666,4079,3532,30
2020/10/05,AW,Aruba,Americas,12.5,-69.96666666,4094,3612,31
2020/10/06,AW,Aruba,Americas,12.5,-69.96666666,4108,3643,31
2020/10/07,AW,Aruba,Americas,12.5,-69.96666666,4133,3678,31
2020/10/08,AW,Aruba,Americas,12.5,-69.96666666,4150,3718,31
2020/10/09,AW,Aruba,Americas,12.5,-69.96666666,4167,3718,32
2020/10/10,AW,Aruba,Americas,12.5,-69.96666666,4188,3753,32
2020/10/11,AW,Aruba,Americas,12.5,-69.96666666,4194,3768,33
2020/10/12,AW,Aruba,Americas,12.5,-69.96666666,4197,3790,33
2020/10/13,AW,Aruba,Americas,12.5,-69.96666666,4229,3849,33
2020/10/14,AW,Aruba,Americas,12.5,-69.96666666,4255,3875,32
2020/10/15,AW,Aruba,Americas,12.5,-69.96666666,4285,3910,32
2020/10/16,AW,Aruba,Americas,12.5,-69.96666666,4289,3947,32
2020/10/17,AW,Aruba,Americas,12.5,-69.96666666,4304,3983,34
2020/10/18,AW,Aruba,Americas,12.5,-69.96666666,4322,3983,34
2020/10/19,AW,Aruba,Americas,12.5,-69.96666666,4334,4040,34
2020/10/20,AW,Aruba,Americas,12.5,-69.96666666,4355,4065,34
2020/10/21,AW,Aruba,Americas,12.5,-69.96666666,4369,4084,35
2020/10/22,AW,Aruba,Americas,12.5,-69.96666666,4389,4120,36
2020/10/23,AW,Aruba,Americas,12.5,-69.96666666,4401,4160,36
2020/10/24,AW,Aruba,Americas,12.5,-69.96666666,4401,4160,36
2020/10/25,AW,Aruba,Americas,12.5,-69.96666666,4420,4209,36
2020/10/26,AW,Aruba,Americas,12.5,-69.96666666,4422,4222,36
2020/10/27,AW,Aruba,Americas,12.5,-69.96666666,4437,4253,36
2020/10/28,AW,Aruba,Americas,12.5,-69.96666666,4437,4253,36
2020/10/29,AW,Aruba,Americas,12.5,-69.96666666,4472,4286,37
2020/10/30,AW,Aruba,Americas,12.5,-69.96666666,4494,4286,37
2020/10/31,AW,Aruba,Americas,12.5,-69.96666666,4494,4286,37
2020/11/01,AW,Aruba,Americas,12.5,-69.96666666,4519,4326,38
2020/11/02,AW,Aruba,Americas,12.5,-69.96666666,4524,4331,38
2020/11/03,AW,Aruba,Americas,12.5,-69.96666666,4538,4340,38
2020/11/04,AW,Aruba,Americas,12.5,-69.96666666,4553,4348,39
2020/11/05,AW,Aruba,Americas,12.5,-69.96666666,4564,4352,39
2020/11/06,AW,Aruba,Americas,12.5,-69.96666666,4578,4367,39
2020/11/07,AW,Aruba,Americas,12.5,-69.96666666,4589,4383,40
2020/11/08,AW,Aruba,Americas,12.5,-69.96666666,4600,4389,40
2020/11/09,AW,Aruba,Americas,12.5,-69.96666666,4606,4389,41
2020/11/10,AW,Aruba,Americas,12.5,-69.96666666,4622,4399,42
2020/11/11,AW,Aruba,Americas,12.5,-69.96666666,4631,4419,43
2020/11/12,AW,Aruba,Americas,12.5,-69.96666666,4639,4497,43
2020/11/13,AW,Aruba,Americas,12.5,-69.96666666,4639,4497,43
2020/11/14,AW,Aruba,Americas,12.5,-69.96666666,4658,4521,44
2020/11/15,AW,Aruba,Americas,12.5,-69.96666666,4658,4521,44
