day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/23,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/24,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/25,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/26,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/27,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/28,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/29,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/30,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/01/31,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/01,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/02,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/03,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/04,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/05,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/06,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/07,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/08,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/09,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/10,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/11,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/12,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/13,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/14,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/15,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/16,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/17,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/18,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/19,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/20,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/21,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/22,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/23,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/24,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/25,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/26,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/27,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
2020/02/28,AZ,Azerbaijan,Asia,40.5,47.5,0,0,0
