day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/23,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/24,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/25,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/26,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/27,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/28,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/29,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/30,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/01/31,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/01,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/02,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/03,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/04,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/05,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/06,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/07,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/08,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/09,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/10,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/11,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/12,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/13,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/14,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/15,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/16,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/17,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/18,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/19,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/20,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/21,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/22,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/23,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/24,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/25,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/26,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/27,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/28,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/02/29,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/01,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/02,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/03,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/04,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/05,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/06,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/07,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/08,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/09,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/10,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/11,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/12,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/13,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/14,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/15,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/16,BB,Barbados,Americas,13.16666666,-59.53333333,0,0,0
2020/03/17,BB,Barbados,Americas,13.16666666,-59.53333333,2,0,0
2020/03/18,BB,Barbados,Americas,13.16666666,-59.53333333,2,0,0
2020/03/19,BB,Barbados,Americas,13.16666666,-59.53333333,5,0,0
2020/03/20,BB,Barbados,Americas,13.16666666,-59.53333333,5,0,0
2020/03/21,BB,Barbados,Americas,13.16666666,-59.53333333,6,0,0
2020/03/22,BB,Barbados,Americas,13.16666666,-59.53333333,14,0,0
2020/03/23,BB,Barbados,Americas,13.16666666,-59.53333333,17,0,0
2020/03/24,BB,Barbados,Americas,13.16666666,-59.53333333,18,0,0
2020/03/25,BB,Barbados,Americas,13.16666666,-59.53333333,18,0,0
2020/03/26,BB,Barbados,Americas,13.16666666,-59.53333333,18,0,0
2020/03/27,BB,Barbados,Americas,13.16666666,-59.53333333,24,0,0
2020/03/28,BB,Barbados,Americas,13.16666666,-59.53333333,26,0,0
2020/03/29,BB,Barbados,Americas,13.16666666,-59.53333333,33,0,0
2020/03/30,BB,Barbados,Americas,13.16666666,-59.53333333,33,0,0
2020/03/31,BB,Barbados,Americas,13.16666666,-59.53333333,34,0,0
2020/04/01,BB,Barbados,Americas,13.16666666,-59.53333333,45,0,0
2020/04/02,BB,Barbados,Americas,13.16666666,-59.53333333,46,0,0
2020/04/03,BB,Barbados,Americas,13.16666666,-59.53333333,51,0,0
2020/04/04,BB,Barbados,Americas,13.16666666,-59.53333333,52,0,0
2020/04/05,BB,Barbados,Americas,13.16666666,-59.53333333,56,6,1
2020/04/06,BB,Barbados,Americas,13.16666666,-59.53333333,60,6,2
2020/04/07,BB,Barbados,Americas,13.16666666,-59.53333333,63,6,3
