day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/23,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/24,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/25,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/26,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/27,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/28,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/29,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/30,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/01/31,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/02/01,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/02/02,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/02/03,BE,Belgium,Europe,50.83333333,4,0,0,0
2020/02/04,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/05,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/06,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/07,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/08,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/09,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/10,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/11,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/12,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/13,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/14,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/15,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/16,BE,Belgium,Europe,50.83333333,4,1,0,0
2020/02/17,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/18,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/19,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/20,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/21,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/22,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/23,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/24,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/25,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/26,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/27,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/28,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/02/29,BE,Belgium,Europe,50.83333333,4,1,1,0
2020/03/01,BE,Belgium,Europe,50.83333333,4,2,1,0
2020/03/02,BE,Belgium,Europe,50.83333333,4,8,1,0
2020/03/03,BE,Belgium,Europe,50.83333333,4,13,1,0
2020/03/04,BE,Belgium,Europe,50.83333333,4,23,1,0
2020/03/05,BE,Belgium,Europe,50.83333333,4,50,1,0
