day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/23,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/24,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/25,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/26,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/27,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/28,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/29,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/30,BO,Bolivia,Americas,-17,-65,0,0,0
2020/01/31,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/01,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/02,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/03,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/04,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/05,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/06,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/07,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/08,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/09,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/10,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/11,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/12,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/13,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/14,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/15,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/16,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/17,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/18,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/19,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/20,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/21,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/22,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/23,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/24,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/25,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/26,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/27,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/28,BO,Bolivia,Americas,-17,-65,0,0,0
2020/02/29,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/01,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/02,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/03,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/04,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/05,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/06,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/07,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/08,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/09,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/10,BO,Bolivia,Americas,-17,-65,0,0,0
2020/03/11,BO,Bolivia,Americas,-17,-65,2,0,0
2020/03/12,BO,Bolivia,Americas,-17,-65,2,0,0
2020/03/13,BO,Bolivia,Americas,-17,-65,3,0,0
2020/03/14,BO,Bolivia,Americas,-17,-65,10,0,0
2020/03/15,BO,Bolivia,Americas,-17,-65,10,0,0
2020/03/16,BO,Bolivia,Americas,-17,-65,11,0,0
2020/03/17,BO,Bolivia,Americas,-17,-65,11,0,0
2020/03/18,BO,Bolivia,Americas,-17,-65,12,0,0
2020/03/19,BO,Bolivia,Americas,-17,-65,12,0,0
2020/03/20,BO,Bolivia,Americas,-17,-65,15,0,0
2020/03/21,BO,Bolivia,Americas,-17,-65,19,0,0
2020/03/22,BO,Bolivia,Americas,-17,-65,24,0,0
2020/03/23,BO,Bolivia,Americas,-17,-65,27,0,0
2020/03/24,BO,Bolivia,Americas,-17,-65,29,0,0
2020/03/25,BO,Bolivia,Americas,-17,-65,32,0,0
2020/03/26,BO,Bolivia,Americas,-17,-65,43,0,0
2020/03/27,BO,Bolivia,Americas,-17,-65,61,0,0
2020/03/28,BO,Bolivia,Americas,-17,-65,74,0,0
2020/03/29,BO,Bolivia,Americas,-17,-65,81,0,1
2020/03/30,BO,Bolivia,Americas,-17,-65,97,0,4
2020/03/31,BO,Bolivia,Americas,-17,-65,107,0,6
2020/04/01,BO,Bolivia,Americas,-17,-65,115,1,7
2020/04/02,BO,Bolivia,Americas,-17,-65,123,1,8
2020/04/03,BO,Bolivia,Americas,-17,-65,132,1,9
2020/04/04,BO,Bolivia,Americas,-17,-65,139,1,10
2020/04/05,BO,Bolivia,Americas,-17,-65,157,2,10
2020/04/06,BO,Bolivia,Americas,-17,-65,183,2,11
2020/04/07,BO,Bolivia,Americas,-17,-65,194,2,14
