day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/23,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/24,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/25,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/26,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/27,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/28,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/29,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/30,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/01/31,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/01,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/02,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/03,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/04,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/05,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/06,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/07,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/08,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/09,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/10,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/11,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/12,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/13,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/14,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/15,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/16,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/17,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/18,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/19,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/20,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/21,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/22,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/23,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/24,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/25,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/26,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/27,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/28,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/02/29,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/01,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/02,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/03,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/04,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/05,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/06,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/07,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/08,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/09,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/10,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/11,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/12,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/13,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/14,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/15,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/16,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/17,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/18,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/19,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/20,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/21,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/22,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/23,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/24,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/25,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/26,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/27,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/28,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/29,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/30,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/03/31,BQ,Caribbean Netherlands,Americas,12.18,-68.25,0,0,0
2020/04/01,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/02,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/03,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/04,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/05,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/06,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/07,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/08,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/09,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/10,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/11,BQ,Caribbean Netherlands,Americas,12.18,-68.25,2,0,0
2020/04/12,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/13,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/14,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/15,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/16,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/17,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/18,BQ,Caribbean Netherlands,Americas,12.18,-68.25,3,0,0
2020/04/19,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/20,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/21,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/22,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/23,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/24,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/25,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/26,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/27,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/28,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/29,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/04/30,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/05/01,BQ,Caribbean Netherlands,Americas,12.18,-68.25,5,0,0
2020/05/02,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/03,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/04,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/05,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/06,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/07,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/08,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/09,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/10,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/11,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/12,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,0,0
2020/05/13,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/14,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/15,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/16,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/17,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/18,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/19,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/20,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/21,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/22,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/23,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/24,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/25,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/26,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/27,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/28,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/29,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/30,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/05/31,BQ,Caribbean Netherlands,Americas,12.18,-68.25,6,6,0
2020/06/01,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/02,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/03,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/04,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/05,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/06,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/07,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/08,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/09,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/10,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/11,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/12,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/13,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/14,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/15,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/16,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/17,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/18,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/19,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/20,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/21,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/22,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/23,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/24,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/25,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/26,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/27,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/28,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/29,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/06/30,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/01,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/02,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/03,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/04,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/05,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/06,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/07,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/08,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/09,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/10,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/11,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
2020/07/12,BQ,Caribbean Netherlands,Americas,12.18,-68.25,7,7,0
