day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/23,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/24,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/25,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/26,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/27,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/28,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/29,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/30,BR,Brazil,Americas,-10,-55,0,0,0
2020/01/31,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/01,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/02,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/03,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/04,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/05,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/06,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/07,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/08,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/09,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/10,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/11,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/12,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/13,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/14,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/15,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/16,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/17,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/18,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/19,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/20,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/21,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/22,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/23,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/24,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/25,BR,Brazil,Americas,-10,-55,0,0,0
2020/02/26,BR,Brazil,Americas,-10,-55,1,0,0
2020/02/27,BR,Brazil,Americas,-10,-55,1,0,0
2020/02/28,BR,Brazil,Americas,-10,-55,1,0,0
2020/02/29,BR,Brazil,Americas,-10,-55,2,0,0
2020/03/01,BR,Brazil,Americas,-10,-55,2,0,0
2020/03/02,BR,Brazil,Americas,-10,-55,2,0,0
2020/03/03,BR,Brazil,Americas,-10,-55,2,0,0
2020/03/04,BR,Brazil,Americas,-10,-55,4,0,0
2020/03/05,BR,Brazil,Americas,-10,-55,4,0,0
2020/03/06,BR,Brazil,Americas,-10,-55,13,0,0
2020/03/07,BR,Brazil,Americas,-10,-55,13,0,0
2020/03/08,BR,Brazil,Americas,-10,-55,20,0,0
2020/03/09,BR,Brazil,Americas,-10,-55,25,0,0
2020/03/10,BR,Brazil,Americas,-10,-55,31,0,0
2020/03/11,BR,Brazil,Americas,-10,-55,38,0,0
2020/03/12,BR,Brazil,Americas,-10,-55,52,0,0
2020/03/13,BR,Brazil,Americas,-10,-55,151,0,0
2020/03/14,BR,Brazil,Americas,-10,-55,151,0,0
2020/03/15,BR,Brazil,Americas,-10,-55,162,0,0
2020/03/16,BR,Brazil,Americas,-10,-55,200,1,0
2020/03/17,BR,Brazil,Americas,-10,-55,321,2,1
2020/03/18,BR,Brazil,Americas,-10,-55,372,2,3
2020/03/19,BR,Brazil,Americas,-10,-55,621,2,6
2020/03/20,BR,Brazil,Americas,-10,-55,793,2,11
2020/03/21,BR,Brazil,Americas,-10,-55,1021,2,15
2020/03/22,BR,Brazil,Americas,-10,-55,1546,2,25
2020/03/23,BR,Brazil,Americas,-10,-55,1924,2,34
2020/03/24,BR,Brazil,Americas,-10,-55,2247,2,46
2020/03/25,BR,Brazil,Americas,-10,-55,2554,2,59
2020/03/26,BR,Brazil,Americas,-10,-55,2985,6,77
2020/03/27,BR,Brazil,Americas,-10,-55,3417,6,92
2020/03/28,BR,Brazil,Americas,-10,-55,3904,6,114
2020/03/29,BR,Brazil,Americas,-10,-55,4256,6,136
2020/03/30,BR,Brazil,Americas,-10,-55,4630,120,163
2020/03/31,BR,Brazil,Americas,-10,-55,5717,127,201
2020/04/01,BR,Brazil,Americas,-10,-55,6880,127,242
2020/04/02,BR,Brazil,Americas,-10,-55,8044,127,324
2020/04/03,BR,Brazil,Americas,-10,-55,9194,127,363
2020/04/04,BR,Brazil,Americas,-10,-55,10360,127,445
2020/04/05,BR,Brazil,Americas,-10,-55,11130,127,486
2020/04/06,BR,Brazil,Americas,-10,-55,12183,127,564
2020/04/07,BR,Brazil,Americas,-10,-55,14034,127,686
2020/04/08,BR,Brazil,Americas,-10,-55,16188,127,820
2020/04/09,BR,Brazil,Americas,-10,-55,18145,173,954
2020/04/10,BR,Brazil,Americas,-10,-55,19789,173,1068
2020/04/11,BR,Brazil,Americas,-10,-55,20962,173,1140
2020/04/12,BR,Brazil,Americas,-10,-55,22192,173,1223
2020/04/13,BR,Brazil,Americas,-10,-55,23430,173,1328
2020/04/14,BR,Brazil,Americas,-10,-55,25262,3046,1532
2020/04/15,BR,Brazil,Americas,-10,-55,28610,14026,1757
2020/04/16,BR,Brazil,Americas,-10,-55,30683,14026,1947
2020/04/17,BR,Brazil,Americas,-10,-55,33682,14026,2141
2020/04/18,BR,Brazil,Americas,-10,-55,36722,14026,2361
2020/04/19,BR,Brazil,Americas,-10,-55,38654,22130,2462
2020/04/20,BR,Brazil,Americas,-10,-55,40743,22130,2587
2020/04/21,BR,Brazil,Americas,-10,-55,43079,22991,2741
2020/04/22,BR,Brazil,Americas,-10,-55,45757,25318,2906
2020/04/23,BR,Brazil,Americas,-10,-55,49492,26573,3313
2020/04/24,BR,Brazil,Americas,-10,-55,52995,27655,3670
2020/04/25,BR,Brazil,Americas,-10,-55,58997,29160,4037
2020/04/26,BR,Brazil,Americas,-10,-55,62787,30152,4268
2020/04/27,BR,Brazil,Americas,-10,-55,66501,31142,4543
2020/04/28,BR,Brazil,Americas,-10,-55,72899,32544,5063
2020/04/29,BR,Brazil,Americas,-10,-55,79361,34132,5511
2020/04/30,BR,Brazil,Americas,-10,-55,85380,35935,5901
2020/05/01,BR,Brazil,Americas,-10,-55,92109,38039,6410
2020/05/02,BR,Brazil,Americas,-10,-55,96559,40937,6750
2020/05/03,BR,Brazil,Americas,-10,-55,101147,42991,7025
2020/05/04,BR,Brazil,Americas,-10,-55,107844,45815,7328
2020/05/05,BR,Brazil,Americas,-10,-55,114715,48221,7921
2020/05/06,BR,Brazil,Americas,-10,-55,125218,51370,8536
2020/05/07,BR,Brazil,Americas,-10,-55,135106,55350,9146
2020/05/08,BR,Brazil,Americas,-10,-55,145892,55350,9992
2020/05/09,BR,Brazil,Americas,-10,-55,156061,61685,10656
2020/05/10,BR,Brazil,Americas,-10,-55,162699,64957,11123
2020/05/11,BR,Brazil,Americas,-10,-55,168331,67384,11519
2020/05/12,BR,Brazil,Americas,-10,-55,177602,72597,12404
2020/05/13,BR,Brazil,Americas,-10,-55,189157,78424,13158
2020/05/14,BR,Brazil,Americas,-10,-55,202918,79479,13993
2020/05/15,BR,Brazil,Americas,-10,-55,218223,84970,14817
2020/05/16,BR,Brazil,Americas,-10,-55,233142,89672,15633
2020/05/17,BR,Brazil,Americas,-10,-55,241080,94122,16118
2020/05/18,BR,Brazil,Americas,-10,-55,255200,100459,16839
2020/05/19,BR,Brazil,Americas,-10,-55,271628,106794,17971
2020/05/20,BR,Brazil,Americas,-10,-55,291579,116683,18859
2020/05/21,BR,Brazil,Americas,-10,-55,310087,125960,20047
2020/05/22,BR,Brazil,Americas,-10,-55,330890,135430,21048
2020/05/23,BR,Brazil,Americas,-10,-55,347398,142587,22013
2020/05/24,BR,Brazil,Americas,-10,-55,363618,149911,22716
2020/05/25,BR,Brazil,Americas,-10,-55,374898,153833,23473
2020/05/26,BR,Brazil,Americas,-10,-55,391222,158593,24512
2020/05/27,BR,Brazil,Americas,-10,-55,411821,166647,25598
2020/05/28,BR,Brazil,Americas,-10,-55,438812,193181,26991
2020/05/29,BR,Brazil,Americas,-10,-55,468338,193181,27944
2020/05/30,BR,Brazil,Americas,-10,-55,498440,205371,28834
2020/05/31,BR,Brazil,Americas,-10,-55,514849,206555,29314
2020/06/01,BR,Brazil,Americas,-10,-55,529018,211080,30046
2020/06/02,BR,Brazil,Americas,-10,-55,556668,240627,31278
2020/06/03,BR,Brazil,Americas,-10,-55,583980,266132,32547
2020/06/04,BR,Brazil,Americas,-10,-55,612862,266132,33884
2020/06/05,BR,Brazil,Americas,-10,-55,645438,288652,35033
2020/06/06,BR,Brazil,Americas,-10,-55,673587,302084,35957
2020/06/07,BR,Brazil,Americas,-10,-55,691962,302084,36499
2020/06/08,BR,Brazil,Americas,-10,-55,710887,325602,37312
2020/06/09,BR,Brazil,Americas,-10,-55,742084,325602,38497
2020/06/10,BR,Brazil,Americas,-10,-55,775184,380300,39797
2020/06/11,BR,Brazil,Americas,-10,-55,805649,396692,41058
2020/06/12,BR,Brazil,Americas,-10,-55,829902,396692,41901
2020/06/13,BR,Brazil,Americas,-10,-55,850796,427610,42791
2020/06/14,BR,Brazil,Americas,-10,-55,867882,437512,43389
2020/06/15,BR,Brazil,Americas,-10,-55,891556,453568,44118
2020/06/16,BR,Brazil,Americas,-10,-55,928798,464774,45456
2020/06/17,BR,Brazil,Americas,-10,-55,960309,477364,46665
2020/06/18,BR,Brazil,Americas,-10,-55,983359,503507,47869
2020/06/19,BR,Brazil,Americas,-10,-55,1038568,520360,49090
2020/06/20,BR,Brazil,Americas,-10,-55,1070139,543186,50058
2020/06/21,BR,Brazil,Americas,-10,-55,1086990,543186,50659
2020/06/22,BR,Brazil,Americas,-10,-55,1111348,579226,51407
2020/06/23,BR,Brazil,Americas,-10,-55,1151479,613345,52771
2020/06/24,BR,Brazil,Americas,-10,-55,1192474,649908,53874
2020/06/25,BR,Brazil,Americas,-10,-55,1233147,649908,55054
2020/06/26,BR,Brazil,Americas,-10,-55,1280054,697526,56109
