day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/23,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/24,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/25,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/26,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/27,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/28,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/29,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/30,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/01/31,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/01,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/02,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/03,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/04,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/05,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/06,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/07,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/08,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/09,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/10,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/11,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/12,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/13,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/14,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/15,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/16,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/17,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/18,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/19,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/20,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/21,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/22,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/23,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/24,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/25,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/26,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/27,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/28,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/02/29,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/03/01,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/03/02,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/03/03,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/03/04,BT,Bhutan,Asia,27.5,90.5,0,0,0
2020/03/05,BT,Bhutan,Asia,27.5,90.5,0,0,0
