day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CA,Canada,Americas,60,-95,0,0,0
2020/01/23,CA,Canada,Americas,60,-95,0,0,0
2020/01/24,CA,Canada,Americas,60,-95,0,0,0
2020/01/25,CA,Canada,Americas,60,-95,0,0,0
2020/01/26,CA,Canada,Americas,60,-95,1,0,0
2020/01/27,CA,Canada,Americas,60,-95,1,0,0
2020/01/28,CA,Canada,Americas,60,-95,2,0,0
2020/01/29,CA,Canada,Americas,60,-95,2,0,0
2020/01/30,CA,Canada,Americas,60,-95,2,0,0
2020/01/31,CA,Canada,Americas,60,-95,4,0,0
2020/02/01,CA,Canada,Americas,60,-95,4,0,0
2020/02/02,CA,Canada,Americas,60,-95,4,0,0
2020/02/03,CA,Canada,Americas,60,-95,4,0,0
2020/02/04,CA,Canada,Americas,60,-95,4,0,0
2020/02/05,CA,Canada,Americas,60,-95,5,0,0
2020/02/06,CA,Canada,Americas,60,-95,5,0,0
2020/02/07,CA,Canada,Americas,60,-95,7,0,0
2020/02/08,CA,Canada,Americas,60,-95,7,0,0
2020/02/09,CA,Canada,Americas,60,-95,7,0,0
2020/02/10,CA,Canada,Americas,60,-95,7,0,0
2020/02/11,CA,Canada,Americas,60,-95,7,0,0
2020/02/12,CA,Canada,Americas,60,-95,7,1,0
2020/02/13,CA,Canada,Americas,60,-95,7,1,0
2020/02/14,CA,Canada,Americas,60,-95,7,1,0
2020/02/15,CA,Canada,Americas,60,-95,7,1,0
2020/02/16,CA,Canada,Americas,60,-95,7,1,0
2020/02/17,CA,Canada,Americas,60,-95,8,1,0
2020/02/18,CA,Canada,Americas,60,-95,8,1,0
2020/02/19,CA,Canada,Americas,60,-95,8,1,0
2020/02/20,CA,Canada,Americas,60,-95,8,1,0
2020/02/21,CA,Canada,Americas,60,-95,9,3,0
2020/02/22,CA,Canada,Americas,60,-95,9,3,0
2020/02/23,CA,Canada,Americas,60,-95,9,3,0
2020/02/24,CA,Canada,Americas,60,-95,10,3,0
2020/02/25,CA,Canada,Americas,60,-95,11,3,0
2020/02/26,CA,Canada,Americas,60,-95,11,3,0
2020/02/27,CA,Canada,Americas,60,-95,13,6,0
2020/02/28,CA,Canada,Americas,60,-95,14,6,0
2020/02/29,CA,Canada,Americas,60,-95,20,6,0
2020/03/01,CA,Canada,Americas,60,-95,24,6,0
2020/03/02,CA,Canada,Americas,60,-95,27,6,0
2020/03/03,CA,Canada,Americas,60,-95,30,6,0
2020/03/04,CA,Canada,Americas,60,-95,33,6,0
2020/03/05,CA,Canada,Americas,60,-95,37,6,0
2020/03/06,CA,Canada,Americas,60,-95,49,6,0
2020/03/07,CA,Canada,Americas,60,-95,54,8,0
2020/03/08,CA,Canada,Americas,60,-95,64,8,0
2020/03/09,CA,Canada,Americas,60,-95,77,8,1
2020/03/10,CA,Canada,Americas,60,-95,79,8,1
2020/03/11,CA,Canada,Americas,60,-95,108,8,1
2020/03/12,CA,Canada,Americas,60,-95,117,8,1
2020/03/13,CA,Canada,Americas,60,-95,193,8,1
2020/03/14,CA,Canada,Americas,60,-95,198,8,1
2020/03/15,CA,Canada,Americas,60,-95,252,8,1
2020/03/16,CA,Canada,Americas,60,-95,415,9,4
2020/03/17,CA,Canada,Americas,60,-95,478,9,5
2020/03/18,CA,Canada,Americas,60,-95,657,9,8
2020/03/19,CA,Canada,Americas,60,-95,800,9,9
2020/03/20,CA,Canada,Americas,60,-95,943,9,12
2020/03/21,CA,Canada,Americas,60,-95,1278,10,19
2020/03/22,CA,Canada,Americas,60,-95,1465,10,20
2020/03/23,CA,Canada,Americas,60,-95,2091,112,24
2020/03/24,CA,Canada,Americas,60,-95,2792,112,26
2020/03/25,CA,Canada,Americas,60,-95,3409,185,36
2020/03/26,CA,Canada,Americas,60,-95,4043,228,39
2020/03/27,CA,Canada,Americas,60,-95,4757,354,55
2020/03/28,CA,Canada,Americas,60,-95,5655,396,60
2020/03/29,CA,Canada,Americas,60,-95,6280,573,65
2020/03/30,CA,Canada,Americas,60,-95,7448,1093,89
2020/03/31,CA,Canada,Americas,60,-95,8591,1242,101
2020/04/01,CA,Canada,Americas,60,-95,9731,1736,114
2020/04/02,CA,Canada,Americas,60,-95,11283,1979,173
2020/04/03,CA,Canada,Americas,60,-95,12375,2186,208
2020/04/04,CA,Canada,Americas,60,-95,13912,2595,231
2020/04/05,CA,Canada,Americas,60,-95,15512,2942,280
2020/04/06,CA,Canada,Americas,60,-95,16666,3534,323
2020/04/07,CA,Canada,Americas,60,-95,17897,4028,381
2020/04/08,CA,Canada,Americas,60,-95,19438,4548,427
2020/04/09,CA,Canada,Americas,60,-95,20765,5311,509
2020/04/10,CA,Canada,Americas,60,-95,22148,6013,569
2020/04/11,CA,Canada,Americas,60,-95,23318,6428,653
2020/04/12,CA,Canada,Americas,60,-95,24292,7106,713
2020/04/13,CA,Canada,Americas,60,-95,25680,7756,780
2020/04/14,CA,Canada,Americas,60,-95,26897,8172,898
2020/04/15,CA,Canada,Americas,60,-95,28379,8937,1010
2020/04/16,CA,Canada,Americas,60,-95,29929,9674,1191
2020/04/17,CA,Canada,Americas,60,-95,31642,10328,1310
2020/04/18,CA,Canada,Americas,60,-95,33383,11207,1470
2020/04/19,CA,Canada,Americas,60,-95,35056,11843,1587
2020/04/20,CA,Canada,Americas,60,-95,36829,12586,1690
2020/04/21,CA,Canada,Americas,60,-95,38422,13143,1833
2020/04/22,CA,Canada,Americas,60,-95,40190,13986,1974
2020/04/23,CA,Canada,Americas,60,-95,42110,14761,2147
2020/04/24,CA,Canada,Americas,60,-95,43888,15469,2302
2020/04/25,CA,Canada,Americas,60,-95,45354,16425,2465
2020/04/26,CA,Canada,Americas,60,-95,46895,17321,2560
2020/04/27,CA,Canada,Americas,60,-95,48458,18215,2704
2020/04/28,CA,Canada,Americas,60,-95,50026,19190,2859
2020/04/29,CA,Canada,Americas,60,-95,51597,20327,2996
2020/04/30,CA,Canada,Americas,60,-95,53236,21423,3184
2020/05/01,CA,Canada,Americas,60,-95,55061,22751,3391
2020/05/02,CA,Canada,Americas,60,-95,56714,23801,3566
2020/05/03,CA,Canada,Americas,60,-95,59474,24908,3682
2020/05/04,CA,Canada,Americas,60,-95,60616,25422,3842
2020/05/05,CA,Canada,Americas,60,-95,62038,26938,4039
2020/05/06,CA,Canada,Americas,60,-95,63403,27816,4223
2020/05/07,CA,Canada,Americas,60,-95,64922,28972,4408
2020/05/08,CA,Canada,Americas,60,-95,66326,30406,4567
2020/05/09,CA,Canada,Americas,60,-95,67702,31249,4693
2020/05/10,CA,Canada,Americas,60,-95,68848,32096,4870
2020/05/11,CA,Canada,Americas,60,-95,69981,32994,4993
2020/05/12,CA,Canada,Americas,60,-95,71157,34042,5169
2020/05/13,CA,Canada,Americas,60,-95,72278,35164,5302
2020/05/14,CA,Canada,Americas,60,-95,73401,36091,5472
2020/05/15,CA,Canada,Americas,60,-95,74613,36895,5562
2020/05/16,CA,Canada,Americas,60,-95,75864,37819,5679
