day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CD,DR Congo,Africa,0,25,0,0,0
2020/01/23,CD,DR Congo,Africa,0,25,0,0,0
2020/01/24,CD,DR Congo,Africa,0,25,0,0,0
2020/01/25,CD,DR Congo,Africa,0,25,0,0,0
2020/01/26,CD,DR Congo,Africa,0,25,0,0,0
2020/01/27,CD,DR Congo,Africa,0,25,0,0,0
2020/01/28,CD,DR Congo,Africa,0,25,0,0,0
2020/01/29,CD,DR Congo,Africa,0,25,0,0,0
2020/01/30,CD,DR Congo,Africa,0,25,0,0,0
2020/01/31,CD,DR Congo,Africa,0,25,0,0,0
2020/02/01,CD,DR Congo,Africa,0,25,0,0,0
2020/02/02,CD,DR Congo,Africa,0,25,0,0,0
2020/02/03,CD,DR Congo,Africa,0,25,0,0,0
2020/02/04,CD,DR Congo,Africa,0,25,0,0,0
2020/02/05,CD,DR Congo,Africa,0,25,0,0,0
2020/02/06,CD,DR Congo,Africa,0,25,0,0,0
2020/02/07,CD,DR Congo,Africa,0,25,0,0,0
2020/02/08,CD,DR Congo,Africa,0,25,0,0,0
2020/02/09,CD,DR Congo,Africa,0,25,0,0,0
2020/02/10,CD,DR Congo,Africa,0,25,0,0,0
2020/02/11,CD,DR Congo,Africa,0,25,0,0,0
2020/02/12,CD,DR Congo,Africa,0,25,0,0,0
2020/02/13,CD,DR Congo,Africa,0,25,0,0,0
2020/02/14,CD,DR Congo,Africa,0,25,0,0,0
2020/02/15,CD,DR Congo,Africa,0,25,0,0,0
2020/02/16,CD,DR Congo,Africa,0,25,0,0,0
2020/02/17,CD,DR Congo,Africa,0,25,0,0,0
2020/02/18,CD,DR Congo,Africa,0,25,0,0,0
2020/02/19,CD,DR Congo,Africa,0,25,0,0,0
2020/02/20,CD,DR Congo,Africa,0,25,0,0,0
2020/02/21,CD,DR Congo,Africa,0,25,0,0,0
2020/02/22,CD,DR Congo,Africa,0,25,0,0,0
2020/02/23,CD,DR Congo,Africa,0,25,0,0,0
2020/02/24,CD,DR Congo,Africa,0,25,0,0,0
2020/02/25,CD,DR Congo,Africa,0,25,0,0,0
2020/02/26,CD,DR Congo,Africa,0,25,0,0,0
2020/02/27,CD,DR Congo,Africa,0,25,0,0,0
2020/02/28,CD,DR Congo,Africa,0,25,0,0,0
2020/02/29,CD,DR Congo,Africa,0,25,0,0,0
2020/03/01,CD,DR Congo,Africa,0,25,0,0,0
2020/03/02,CD,DR Congo,Africa,0,25,0,0,0
2020/03/03,CD,DR Congo,Africa,0,25,0,0,0
2020/03/04,CD,DR Congo,Africa,0,25,0,0,0
2020/03/05,CD,DR Congo,Africa,0,25,0,0,0
2020/03/06,CD,DR Congo,Africa,0,25,0,0,0
2020/03/07,CD,DR Congo,Africa,0,25,0,0,0
2020/03/08,CD,DR Congo,Africa,0,25,0,0,0
2020/03/09,CD,DR Congo,Africa,0,25,0,0,0
2020/03/10,CD,DR Congo,Africa,0,25,0,0,0
2020/03/11,CD,DR Congo,Africa,0,25,1,0,0
2020/03/12,CD,DR Congo,Africa,0,25,1,0,0
2020/03/13,CD,DR Congo,Africa,0,25,2,0,0
2020/03/14,CD,DR Congo,Africa,0,25,2,0,0
2020/03/15,CD,DR Congo,Africa,0,25,2,0,0
2020/03/16,CD,DR Congo,Africa,0,25,2,0,0
2020/03/17,CD,DR Congo,Africa,0,25,3,0,0
2020/03/18,CD,DR Congo,Africa,0,25,4,0,0
2020/03/19,CD,DR Congo,Africa,0,25,14,0,0
2020/03/20,CD,DR Congo,Africa,0,25,18,0,0
2020/03/21,CD,DR Congo,Africa,0,25,23,0,1
2020/03/22,CD,DR Congo,Africa,0,25,30,0,1
2020/03/23,CD,DR Congo,Africa,0,25,36,0,1
2020/03/24,CD,DR Congo,Africa,0,25,45,0,2
2020/03/25,CD,DR Congo,Africa,0,25,48,0,2
2020/03/26,CD,DR Congo,Africa,0,25,51,0,3
2020/03/27,CD,DR Congo,Africa,0,25,51,2,3
2020/03/28,CD,DR Congo,Africa,0,25,65,2,6
2020/03/29,CD,DR Congo,Africa,0,25,65,2,6
2020/03/30,CD,DR Congo,Africa,0,25,81,2,8
2020/03/31,CD,DR Congo,Africa,0,25,98,2,8
2020/04/01,CD,DR Congo,Africa,0,25,109,3,9
2020/04/02,CD,DR Congo,Africa,0,25,134,3,13
2020/04/03,CD,DR Congo,Africa,0,25,148,3,16
2020/04/04,CD,DR Congo,Africa,0,25,154,3,18
2020/04/05,CD,DR Congo,Africa,0,25,154,3,18
2020/04/06,CD,DR Congo,Africa,0,25,161,5,18
2020/04/07,CD,DR Congo,Africa,0,25,180,9,18
2020/04/08,CD,DR Congo,Africa,0,25,180,9,18
2020/04/09,CD,DR Congo,Africa,0,25,180,9,18
2020/04/10,CD,DR Congo,Africa,0,25,215,13,20
2020/04/11,CD,DR Congo,Africa,0,25,223,16,20
2020/04/12,CD,DR Congo,Africa,0,25,234,16,20
2020/04/13,CD,DR Congo,Africa,0,25,235,17,20
2020/04/14,CD,DR Congo,Africa,0,25,241,20,20
2020/04/15,CD,DR Congo,Africa,0,25,254,21,21
2020/04/16,CD,DR Congo,Africa,0,25,267,23,22
2020/04/17,CD,DR Congo,Africa,0,25,287,25,23
2020/04/18,CD,DR Congo,Africa,0,25,307,26,25
2020/04/19,CD,DR Congo,Africa,0,25,327,26,25
2020/04/20,CD,DR Congo,Africa,0,25,332,27,25
2020/04/21,CD,DR Congo,Africa,0,25,350,35,25
2020/04/22,CD,DR Congo,Africa,0,25,359,45,25
