day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/23,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/24,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/25,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/26,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/27,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/28,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/29,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/30,CF,Central African Republic,Africa,7,21,0,0,0
2020/01/31,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/01,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/02,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/03,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/04,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/05,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/06,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/07,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/08,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/09,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/10,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/11,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/12,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/13,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/14,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/15,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/16,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/17,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/18,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/19,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/20,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/21,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/22,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/23,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/24,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/25,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/26,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/27,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/28,CF,Central African Republic,Africa,7,21,0,0,0
2020/02/29,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/01,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/02,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/03,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/04,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/05,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/06,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/07,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/08,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/09,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/10,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/11,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/12,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/13,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/14,CF,Central African Republic,Africa,7,21,0,0,0
2020/03/15,CF,Central African Republic,Africa,7,21,1,0,0
2020/03/16,CF,Central African Republic,Africa,7,21,1,0,0
2020/03/17,CF,Central African Republic,Africa,7,21,1,0,0
