day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CL,Chile,Americas,-30,-71,0,0,0
2020/01/23,CL,Chile,Americas,-30,-71,0,0,0
2020/01/24,CL,Chile,Americas,-30,-71,0,0,0
2020/01/25,CL,Chile,Americas,-30,-71,0,0,0
2020/01/26,CL,Chile,Americas,-30,-71,0,0,0
2020/01/27,CL,Chile,Americas,-30,-71,0,0,0
2020/01/28,CL,Chile,Americas,-30,-71,0,0,0
2020/01/29,CL,Chile,Americas,-30,-71,0,0,0
2020/01/30,CL,Chile,Americas,-30,-71,0,0,0
2020/01/31,CL,Chile,Americas,-30,-71,0,0,0
2020/02/01,CL,Chile,Americas,-30,-71,0,0,0
2020/02/02,CL,Chile,Americas,-30,-71,0,0,0
2020/02/03,CL,Chile,Americas,-30,-71,0,0,0
2020/02/04,CL,Chile,Americas,-30,-71,0,0,0
2020/02/05,CL,Chile,Americas,-30,-71,0,0,0
2020/02/06,CL,Chile,Americas,-30,-71,0,0,0
2020/02/07,CL,Chile,Americas,-30,-71,0,0,0
2020/02/08,CL,Chile,Americas,-30,-71,0,0,0
2020/02/09,CL,Chile,Americas,-30,-71,0,0,0
2020/02/10,CL,Chile,Americas,-30,-71,0,0,0
2020/02/11,CL,Chile,Americas,-30,-71,0,0,0
2020/02/12,CL,Chile,Americas,-30,-71,0,0,0
2020/02/13,CL,Chile,Americas,-30,-71,0,0,0
2020/02/14,CL,Chile,Americas,-30,-71,0,0,0
2020/02/15,CL,Chile,Americas,-30,-71,0,0,0
2020/02/16,CL,Chile,Americas,-30,-71,0,0,0
2020/02/17,CL,Chile,Americas,-30,-71,0,0,0
2020/02/18,CL,Chile,Americas,-30,-71,0,0,0
2020/02/19,CL,Chile,Americas,-30,-71,0,0,0
2020/02/20,CL,Chile,Americas,-30,-71,0,0,0
2020/02/21,CL,Chile,Americas,-30,-71,0,0,0
2020/02/22,CL,Chile,Americas,-30,-71,0,0,0
2020/02/23,CL,Chile,Americas,-30,-71,0,0,0
2020/02/24,CL,Chile,Americas,-30,-71,0,0,0
2020/02/25,CL,Chile,Americas,-30,-71,0,0,0
2020/02/26,CL,Chile,Americas,-30,-71,0,0,0
2020/02/27,CL,Chile,Americas,-30,-71,0,0,0
2020/02/28,CL,Chile,Americas,-30,-71,0,0,0
2020/02/29,CL,Chile,Americas,-30,-71,0,0,0
2020/03/01,CL,Chile,Americas,-30,-71,0,0,0
2020/03/02,CL,Chile,Americas,-30,-71,0,0,0
2020/03/03,CL,Chile,Americas,-30,-71,1,0,0
2020/03/04,CL,Chile,Americas,-30,-71,1,0,0
2020/03/05,CL,Chile,Americas,-30,-71,4,0,0
2020/03/06,CL,Chile,Americas,-30,-71,4,0,0
2020/03/07,CL,Chile,Americas,-30,-71,4,0,0
2020/03/08,CL,Chile,Americas,-30,-71,8,0,0
2020/03/09,CL,Chile,Americas,-30,-71,8,0,0
2020/03/10,CL,Chile,Americas,-30,-71,13,0,0
2020/03/11,CL,Chile,Americas,-30,-71,23,0,0
2020/03/12,CL,Chile,Americas,-30,-71,23,0,0
2020/03/13,CL,Chile,Americas,-30,-71,43,0,0
2020/03/14,CL,Chile,Americas,-30,-71,61,0,0
2020/03/15,CL,Chile,Americas,-30,-71,74,0,0
2020/03/16,CL,Chile,Americas,-30,-71,155,0,0
2020/03/17,CL,Chile,Americas,-30,-71,201,0,0
2020/03/18,CL,Chile,Americas,-30,-71,238,0,0
2020/03/19,CL,Chile,Americas,-30,-71,238,0,0
2020/03/20,CL,Chile,Americas,-30,-71,434,6,0
2020/03/21,CL,Chile,Americas,-30,-71,537,6,0
2020/03/22,CL,Chile,Americas,-30,-71,632,8,1
2020/03/23,CL,Chile,Americas,-30,-71,746,11,2
2020/03/24,CL,Chile,Americas,-30,-71,922,17,2
2020/03/25,CL,Chile,Americas,-30,-71,1142,22,3
2020/03/26,CL,Chile,Americas,-30,-71,1306,22,4
2020/03/27,CL,Chile,Americas,-30,-71,1610,43,5
2020/03/28,CL,Chile,Americas,-30,-71,1909,61,6
2020/03/29,CL,Chile,Americas,-30,-71,2139,75,7
2020/03/30,CL,Chile,Americas,-30,-71,2449,156,8
2020/03/31,CL,Chile,Americas,-30,-71,2738,156,12
2020/04/01,CL,Chile,Americas,-30,-71,3031,234,16
2020/04/02,CL,Chile,Americas,-30,-71,3404,335,18
2020/04/03,CL,Chile,Americas,-30,-71,3737,427,22
2020/04/04,CL,Chile,Americas,-30,-71,4161,528,27
2020/04/05,CL,Chile,Americas,-30,-71,4471,618,34
2020/04/06,CL,Chile,Americas,-30,-71,4815,728,37
2020/04/07,CL,Chile,Americas,-30,-71,5116,898,43
2020/04/08,CL,Chile,Americas,-30,-71,5546,1115,48
2020/04/09,CL,Chile,Americas,-30,-71,5972,1274,57
2020/04/10,CL,Chile,Americas,-30,-71,6501,1571,65
2020/04/11,CL,Chile,Americas,-30,-71,6927,1864,73
2020/04/12,CL,Chile,Americas,-30,-71,7213,2059,80
2020/04/13,CL,Chile,Americas,-30,-71,7525,2367,82
2020/04/14,CL,Chile,Americas,-30,-71,7917,2646,92
2020/04/15,CL,Chile,Americas,-30,-71,8273,2937,94
2020/04/16,CL,Chile,Americas,-30,-71,8807,3299,105
2020/04/17,CL,Chile,Americas,-30,-71,9252,3621,116
2020/04/18,CL,Chile,Americas,-30,-71,9730,4035,126
2020/04/19,CL,Chile,Americas,-30,-71,10088,4338,133
2020/04/20,CL,Chile,Americas,-30,-71,10507,4676,139
2020/04/21,CL,Chile,Americas,-30,-71,10832,4969,147
2020/04/22,CL,Chile,Americas,-30,-71,11296,5386,160
2020/04/23,CL,Chile,Americas,-30,-71,11812,5804,168
2020/04/24,CL,Chile,Americas,-30,-71,12306,6327,174
2020/04/25,CL,Chile,Americas,-30,-71,12858,6746,181
2020/04/26,CL,Chile,Americas,-30,-71,13331,7024,189
2020/04/27,CL,Chile,Americas,-30,-71,13813,7327,198
2020/04/28,CL,Chile,Americas,-30,-71,14365,7710,207
2020/04/29,CL,Chile,Americas,-30,-71,15135,8057,216
2020/04/30,CL,Chile,Americas,-30,-71,16023,8580,227
2020/05/01,CL,Chile,Americas,-30,-71,17008,9018,234
2020/05/02,CL,Chile,Americas,-30,-71,18435,9572,247
2020/05/03,CL,Chile,Americas,-30,-71,19663,10041,260
2020/05/04,CL,Chile,Americas,-30,-71,20643,10415,270
2020/05/05,CL,Chile,Americas,-30,-71,22016,10710,275
