day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CM,Cameroon,Africa,6,12,0,0,0
2020/01/23,CM,Cameroon,Africa,6,12,0,0,0
2020/01/24,CM,Cameroon,Africa,6,12,0,0,0
2020/01/25,CM,Cameroon,Africa,6,12,0,0,0
2020/01/26,CM,Cameroon,Africa,6,12,0,0,0
2020/01/27,CM,Cameroon,Africa,6,12,0,0,0
2020/01/28,CM,Cameroon,Africa,6,12,0,0,0
2020/01/29,CM,Cameroon,Africa,6,12,0,0,0
2020/01/30,CM,Cameroon,Africa,6,12,0,0,0
2020/01/31,CM,Cameroon,Africa,6,12,0,0,0
2020/02/01,CM,Cameroon,Africa,6,12,0,0,0
2020/02/02,CM,Cameroon,Africa,6,12,0,0,0
2020/02/03,CM,Cameroon,Africa,6,12,0,0,0
2020/02/04,CM,Cameroon,Africa,6,12,0,0,0
2020/02/05,CM,Cameroon,Africa,6,12,0,0,0
2020/02/06,CM,Cameroon,Africa,6,12,0,0,0
2020/02/07,CM,Cameroon,Africa,6,12,0,0,0
2020/02/08,CM,Cameroon,Africa,6,12,0,0,0
2020/02/09,CM,Cameroon,Africa,6,12,0,0,0
2020/02/10,CM,Cameroon,Africa,6,12,0,0,0
2020/02/11,CM,Cameroon,Africa,6,12,0,0,0
2020/02/12,CM,Cameroon,Africa,6,12,0,0,0
2020/02/13,CM,Cameroon,Africa,6,12,0,0,0
2020/02/14,CM,Cameroon,Africa,6,12,0,0,0
2020/02/15,CM,Cameroon,Africa,6,12,0,0,0
2020/02/16,CM,Cameroon,Africa,6,12,0,0,0
2020/02/17,CM,Cameroon,Africa,6,12,0,0,0
2020/02/18,CM,Cameroon,Africa,6,12,0,0,0
2020/02/19,CM,Cameroon,Africa,6,12,0,0,0
2020/02/20,CM,Cameroon,Africa,6,12,0,0,0
2020/02/21,CM,Cameroon,Africa,6,12,0,0,0
2020/02/22,CM,Cameroon,Africa,6,12,0,0,0
2020/02/23,CM,Cameroon,Africa,6,12,0,0,0
2020/02/24,CM,Cameroon,Africa,6,12,0,0,0
2020/02/25,CM,Cameroon,Africa,6,12,0,0,0
2020/02/26,CM,Cameroon,Africa,6,12,0,0,0
2020/02/27,CM,Cameroon,Africa,6,12,0,0,0
2020/02/28,CM,Cameroon,Africa,6,12,0,0,0
2020/02/29,CM,Cameroon,Africa,6,12,0,0,0
