day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CN,China,Asia,35,105,547,28,17
2020/01/23,CN,China,Asia,35,105,639,30,18
2020/01/24,CN,China,Asia,35,105,916,36,26
2020/01/25,CN,China,Asia,35,105,1399,39,42
2020/01/26,CN,China,Asia,35,105,2062,49,56
2020/01/27,CN,China,Asia,35,105,2863,58,82
2020/01/28,CN,China,Asia,35,105,5494,101,131
2020/01/29,CN,China,Asia,35,105,6070,120,133
2020/01/30,CN,China,Asia,35,105,8124,135,171
2020/01/31,CN,China,Asia,35,105,9783,214,213
2020/02/01,CN,China,Asia,35,105,11871,275,259
2020/02/02,CN,China,Asia,35,105,16607,463,361
2020/02/03,CN,China,Asia,35,105,19693,614,425
2020/02/04,CN,China,Asia,35,105,23680,843,490
2020/02/05,CN,China,Asia,35,105,27409,1115,562
2020/02/06,CN,China,Asia,35,105,30553,1476,632
2020/02/07,CN,China,Asia,35,105,34075,1998,717
2020/02/08,CN,China,Asia,35,105,36778,2595,804
2020/02/09,CN,China,Asia,35,105,39790,3218,904
2020/02/10,CN,China,Asia,35,105,42306,3917,1011
2020/02/11,CN,China,Asia,35,105,44327,4635,1111
2020/02/12,CN,China,Asia,35,105,44699,5079,1116
2020/02/13,CN,China,Asia,35,105,59832,6213,1368
2020/02/14,CN,China,Asia,35,105,66292,7973,1520
2020/02/15,CN,China,Asia,35,105,68347,9294,1662
2020/02/16,CN,China,Asia,35,105,70446,10748,1765
2020/02/17,CN,China,Asia,35,105,72364,12455,1863
2020/02/18,CN,China,Asia,35,105,74139,14199,2002
2020/02/19,CN,China,Asia,35,105,74546,15952,2114
2020/02/20,CN,China,Asia,35,105,74999,18002,2236
2020/02/21,CN,China,Asia,35,105,75472,18693,2236
2020/02/22,CN,China,Asia,35,105,76922,22687,2441
2020/02/23,CN,China,Asia,35,105,76938,23170,2443
2020/02/24,CN,China,Asia,35,105,77152,24990,2593
2020/02/25,CN,China,Asia,35,105,77660,27650,2663
2020/02/26,CN,China,Asia,35,105,78065,30053,2715
2020/02/27,CN,China,Asia,35,105,78498,32898,2744
2020/02/28,CN,China,Asia,35,105,78824,36291,2788
2020/02/29,CN,China,Asia,35,105,79251,39279,2835
2020/03/01,CN,China,Asia,35,105,79826,42118,2870
2020/03/02,CN,China,Asia,35,105,80026,44810,2912
2020/03/03,CN,China,Asia,35,105,80151,47404,2945
2020/03/04,CN,China,Asia,35,105,80271,49955,2981
2020/03/05,CN,China,Asia,35,105,80422,52240,3013
2020/03/06,CN,China,Asia,35,105,80573,53888,3042
2020/03/07,CN,China,Asia,35,105,80652,55478,3070
2020/03/08,CN,China,Asia,35,105,80699,57320,3097
