day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/23,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/24,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/25,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/26,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/27,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/28,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/29,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/30,CU,Cuba,Americas,21.5,-80,0,0,0
2020/01/31,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/01,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/02,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/03,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/04,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/05,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/06,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/07,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/08,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/09,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/10,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/11,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/12,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/13,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/14,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/15,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/16,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/17,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/18,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/19,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/20,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/21,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/22,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/23,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/24,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/25,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/26,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/27,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/28,CU,Cuba,Americas,21.5,-80,0,0,0
2020/02/29,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/01,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/02,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/03,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/04,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/05,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/06,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/07,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/08,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/09,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/10,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/11,CU,Cuba,Americas,21.5,-80,0,0,0
2020/03/12,CU,Cuba,Americas,21.5,-80,3,0,0
2020/03/13,CU,Cuba,Americas,21.5,-80,4,0,0
2020/03/14,CU,Cuba,Americas,21.5,-80,4,0,0
2020/03/15,CU,Cuba,Americas,21.5,-80,4,0,0
2020/03/16,CU,Cuba,Americas,21.5,-80,4,0,0
2020/03/17,CU,Cuba,Americas,21.5,-80,5,0,0
2020/03/18,CU,Cuba,Americas,21.5,-80,7,0,1
2020/03/19,CU,Cuba,Americas,21.5,-80,11,0,1
2020/03/20,CU,Cuba,Americas,21.5,-80,16,0,1
2020/03/21,CU,Cuba,Americas,21.5,-80,21,0,1
2020/03/22,CU,Cuba,Americas,21.5,-80,35,0,1
2020/03/23,CU,Cuba,Americas,21.5,-80,40,0,1
2020/03/24,CU,Cuba,Americas,21.5,-80,48,1,1
2020/03/25,CU,Cuba,Americas,21.5,-80,57,1,1
2020/03/26,CU,Cuba,Americas,21.5,-80,67,1,2
2020/03/27,CU,Cuba,Americas,21.5,-80,80,4,2
2020/03/28,CU,Cuba,Americas,21.5,-80,119,4,3
2020/03/29,CU,Cuba,Americas,21.5,-80,139,4,3
2020/03/30,CU,Cuba,Americas,21.5,-80,170,4,4
2020/03/31,CU,Cuba,Americas,21.5,-80,186,8,6
2020/04/01,CU,Cuba,Americas,21.5,-80,212,12,6
2020/04/02,CU,Cuba,Americas,21.5,-80,233,13,6
2020/04/03,CU,Cuba,Americas,21.5,-80,269,15,6
2020/04/04,CU,Cuba,Americas,21.5,-80,288,15,6
2020/04/05,CU,Cuba,Americas,21.5,-80,320,15,8
2020/04/06,CU,Cuba,Americas,21.5,-80,350,18,9
2020/04/07,CU,Cuba,Americas,21.5,-80,396,27,11
2020/04/08,CU,Cuba,Americas,21.5,-80,457,27,12
