day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/23,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/24,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/25,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/26,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/27,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/28,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/29,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/30,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/01/31,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/01,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/02,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/03,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/04,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/05,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/06,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/07,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/08,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/09,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/10,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/11,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/12,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/13,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/14,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/15,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/16,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/17,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/18,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/19,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/20,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/21,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/22,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/23,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/24,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/25,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/26,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/27,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/28,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/02/29,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/01,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/02,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/03,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/04,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/05,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/06,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/07,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/08,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/09,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/10,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/11,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/12,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/13,CW,Curaçao,Americas,12.116667,-68.933333,0,0,0
2020/03/14,CW,Curaçao,Americas,12.116667,-68.933333,1,0,0
2020/03/15,CW,Curaçao,Americas,12.116667,-68.933333,1,0,0
2020/03/16,CW,Curaçao,Americas,12.116667,-68.933333,1,0,0
2020/03/17,CW,Curaçao,Americas,12.116667,-68.933333,3,0,0
2020/03/18,CW,Curaçao,Americas,12.116667,-68.933333,3,0,0
2020/03/19,CW,Curaçao,Americas,12.116667,-68.933333,3,0,1
2020/03/20,CW,Curaçao,Americas,12.116667,-68.933333,3,0,1
2020/03/21,CW,Curaçao,Americas,12.116667,-68.933333,3,0,1
2020/03/22,CW,Curaçao,Americas,12.116667,-68.933333,3,0,1
2020/03/23,CW,Curaçao,Americas,12.116667,-68.933333,4,0,1
2020/03/24,CW,Curaçao,Americas,12.116667,-68.933333,6,0,1
2020/03/25,CW,Curaçao,Americas,12.116667,-68.933333,6,2,1
2020/03/26,CW,Curaçao,Americas,12.116667,-68.933333,6,2,1
2020/03/27,CW,Curaçao,Americas,12.116667,-68.933333,8,2,1
2020/03/28,CW,Curaçao,Americas,12.116667,-68.933333,8,2,1
2020/03/29,CW,Curaçao,Americas,12.116667,-68.933333,8,2,1
2020/03/30,CW,Curaçao,Americas,12.116667,-68.933333,11,2,1
2020/03/31,CW,Curaçao,Americas,12.116667,-68.933333,11,2,1
2020/04/01,CW,Curaçao,Americas,12.116667,-68.933333,11,3,1
2020/04/02,CW,Curaçao,Americas,12.116667,-68.933333,11,3,1
2020/04/03,CW,Curaçao,Americas,12.116667,-68.933333,11,3,1
2020/04/04,CW,Curaçao,Americas,12.116667,-68.933333,11,5,1
2020/04/05,CW,Curaçao,Americas,12.116667,-68.933333,11,5,1
2020/04/06,CW,Curaçao,Americas,12.116667,-68.933333,13,5,1
2020/04/07,CW,Curaçao,Americas,12.116667,-68.933333,13,7,1
2020/04/08,CW,Curaçao,Americas,12.116667,-68.933333,14,7,1
2020/04/09,CW,Curaçao,Americas,12.116667,-68.933333,14,7,1
2020/04/10,CW,Curaçao,Americas,12.116667,-68.933333,14,7,1
2020/04/11,CW,Curaçao,Americas,12.116667,-68.933333,14,7,1
2020/04/12,CW,Curaçao,Americas,12.116667,-68.933333,14,8,1
2020/04/13,CW,Curaçao,Americas,12.116667,-68.933333,14,8,1
2020/04/14,CW,Curaçao,Americas,12.116667,-68.933333,14,10,1
2020/04/15,CW,Curaçao,Americas,12.116667,-68.933333,14,10,1
2020/04/16,CW,Curaçao,Americas,12.116667,-68.933333,14,10,1
2020/04/17,CW,Curaçao,Americas,12.116667,-68.933333,14,10,1
2020/04/18,CW,Curaçao,Americas,12.116667,-68.933333,14,11,1
2020/04/19,CW,Curaçao,Americas,12.116667,-68.933333,14,11,1
2020/04/20,CW,Curaçao,Americas,12.116667,-68.933333,14,11,1
2020/04/21,CW,Curaçao,Americas,12.116667,-68.933333,14,11,1
