day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CY,Cyprus,Europe,35,33,0,0,0
2020/01/23,CY,Cyprus,Europe,35,33,0,0,0
2020/01/24,CY,Cyprus,Europe,35,33,0,0,0
2020/01/25,CY,Cyprus,Europe,35,33,0,0,0
2020/01/26,CY,Cyprus,Europe,35,33,0,0,0
2020/01/27,CY,Cyprus,Europe,35,33,0,0,0
2020/01/28,CY,Cyprus,Europe,35,33,0,0,0
2020/01/29,CY,Cyprus,Europe,35,33,0,0,0
2020/01/30,CY,Cyprus,Europe,35,33,0,0,0
2020/01/31,CY,Cyprus,Europe,35,33,0,0,0
2020/02/01,CY,Cyprus,Europe,35,33,0,0,0
2020/02/02,CY,Cyprus,Europe,35,33,0,0,0
2020/02/03,CY,Cyprus,Europe,35,33,0,0,0
2020/02/04,CY,Cyprus,Europe,35,33,0,0,0
2020/02/05,CY,Cyprus,Europe,35,33,0,0,0
2020/02/06,CY,Cyprus,Europe,35,33,0,0,0
2020/02/07,CY,Cyprus,Europe,35,33,0,0,0
2020/02/08,CY,Cyprus,Europe,35,33,0,0,0
2020/02/09,CY,Cyprus,Europe,35,33,0,0,0
2020/02/10,CY,Cyprus,Europe,35,33,0,0,0
2020/02/11,CY,Cyprus,Europe,35,33,0,0,0
2020/02/12,CY,Cyprus,Europe,35,33,0,0,0
2020/02/13,CY,Cyprus,Europe,35,33,0,0,0
2020/02/14,CY,Cyprus,Europe,35,33,0,0,0
2020/02/15,CY,Cyprus,Europe,35,33,0,0,0
2020/02/16,CY,Cyprus,Europe,35,33,0,0,0
2020/02/17,CY,Cyprus,Europe,35,33,0,0,0
2020/02/18,CY,Cyprus,Europe,35,33,0,0,0
2020/02/19,CY,Cyprus,Europe,35,33,0,0,0
2020/02/20,CY,Cyprus,Europe,35,33,0,0,0
2020/02/21,CY,Cyprus,Europe,35,33,0,0,0
2020/02/22,CY,Cyprus,Europe,35,33,0,0,0
2020/02/23,CY,Cyprus,Europe,35,33,0,0,0
2020/02/24,CY,Cyprus,Europe,35,33,0,0,0
2020/02/25,CY,Cyprus,Europe,35,33,0,0,0
2020/02/26,CY,Cyprus,Europe,35,33,0,0,0
2020/02/27,CY,Cyprus,Europe,35,33,0,0,0
2020/02/28,CY,Cyprus,Europe,35,33,0,0,0
2020/02/29,CY,Cyprus,Europe,35,33,0,0,0
2020/03/01,CY,Cyprus,Europe,35,33,0,0,0
2020/03/02,CY,Cyprus,Europe,35,33,0,0,0
2020/03/03,CY,Cyprus,Europe,35,33,0,0,0
2020/03/04,CY,Cyprus,Europe,35,33,0,0,0
2020/03/05,CY,Cyprus,Europe,35,33,0,0,0
2020/03/06,CY,Cyprus,Europe,35,33,0,0,0
2020/03/07,CY,Cyprus,Europe,35,33,0,0,0
2020/03/08,CY,Cyprus,Europe,35,33,0,0,0
2020/03/09,CY,Cyprus,Europe,35,33,2,0,0
2020/03/10,CY,Cyprus,Europe,35,33,3,0,0
2020/03/11,CY,Cyprus,Europe,35,33,6,0,0
2020/03/12,CY,Cyprus,Europe,35,33,6,0,0
2020/03/13,CY,Cyprus,Europe,35,33,14,0,0
2020/03/14,CY,Cyprus,Europe,35,33,26,0,0
2020/03/15,CY,Cyprus,Europe,35,33,26,0,0
2020/03/16,CY,Cyprus,Europe,35,33,33,0,0
2020/03/17,CY,Cyprus,Europe,35,33,46,0,0
2020/03/18,CY,Cyprus,Europe,35,33,49,0,0
2020/03/19,CY,Cyprus,Europe,35,33,67,0,0
2020/03/20,CY,Cyprus,Europe,35,33,67,0,0
2020/03/21,CY,Cyprus,Europe,35,33,84,0,0
2020/03/22,CY,Cyprus,Europe,35,33,95,3,1
2020/03/23,CY,Cyprus,Europe,35,33,116,3,1
2020/03/24,CY,Cyprus,Europe,35,33,124,3,3
2020/03/25,CY,Cyprus,Europe,35,33,132,3,3
2020/03/26,CY,Cyprus,Europe,35,33,146,4,3
