day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,DE,Germany,Europe,51,9,0,0,0
2020/01/23,DE,Germany,Europe,51,9,0,0,0
2020/01/24,DE,Germany,Europe,51,9,0,0,0
2020/01/25,DE,Germany,Europe,51,9,0,0,0
2020/01/26,DE,Germany,Europe,51,9,0,0,0
2020/01/27,DE,Germany,Europe,51,9,1,0,0
2020/01/28,DE,Germany,Europe,51,9,4,0,0
2020/01/29,DE,Germany,Europe,51,9,4,0,0
2020/01/30,DE,Germany,Europe,51,9,4,0,0
2020/01/31,DE,Germany,Europe,51,9,5,0,0
2020/02/01,DE,Germany,Europe,51,9,8,0,0
2020/02/02,DE,Germany,Europe,51,9,10,0,0
2020/02/03,DE,Germany,Europe,51,9,12,0,0
2020/02/04,DE,Germany,Europe,51,9,12,0,0
2020/02/05,DE,Germany,Europe,51,9,12,0,0
2020/02/06,DE,Germany,Europe,51,9,12,0,0
2020/02/07,DE,Germany,Europe,51,9,13,0,0
2020/02/08,DE,Germany,Europe,51,9,13,0,0
2020/02/09,DE,Germany,Europe,51,9,14,0,0
2020/02/10,DE,Germany,Europe,51,9,14,0,0
2020/02/11,DE,Germany,Europe,51,9,16,0,0
2020/02/12,DE,Germany,Europe,51,9,16,0,0
2020/02/13,DE,Germany,Europe,51,9,16,1,0
2020/02/14,DE,Germany,Europe,51,9,16,1,0
2020/02/15,DE,Germany,Europe,51,9,16,1,0
2020/02/16,DE,Germany,Europe,51,9,16,1,0
2020/02/17,DE,Germany,Europe,51,9,16,1,0
2020/02/18,DE,Germany,Europe,51,9,16,12,0
2020/02/19,DE,Germany,Europe,51,9,16,12,0
2020/02/20,DE,Germany,Europe,51,9,16,12,0
2020/02/21,DE,Germany,Europe,51,9,16,14,0
2020/02/22,DE,Germany,Europe,51,9,16,14,0
2020/02/23,DE,Germany,Europe,51,9,16,14,0
2020/02/24,DE,Germany,Europe,51,9,16,14,0
2020/02/25,DE,Germany,Europe,51,9,17,14,0
2020/02/26,DE,Germany,Europe,51,9,27,15,0
2020/02/27,DE,Germany,Europe,51,9,46,16,0
2020/02/28,DE,Germany,Europe,51,9,48,16,0
2020/02/29,DE,Germany,Europe,51,9,79,16,0
2020/03/01,DE,Germany,Europe,51,9,130,16,0
2020/03/02,DE,Germany,Europe,51,9,159,16,0
2020/03/03,DE,Germany,Europe,51,9,196,16,0
2020/03/04,DE,Germany,Europe,51,9,262,16,0
2020/03/05,DE,Germany,Europe,51,9,482,16,0
2020/03/06,DE,Germany,Europe,51,9,670,17,0
2020/03/07,DE,Germany,Europe,51,9,799,18,0
2020/03/08,DE,Germany,Europe,51,9,1040,18,0
2020/03/09,DE,Germany,Europe,51,9,1176,18,2
2020/03/10,DE,Germany,Europe,51,9,1457,18,2
2020/03/11,DE,Germany,Europe,51,9,1908,25,3
2020/03/12,DE,Germany,Europe,51,9,2078,25,3
2020/03/13,DE,Germany,Europe,51,9,3675,46,7
2020/03/14,DE,Germany,Europe,51,9,4585,46,9
2020/03/15,DE,Germany,Europe,51,9,5795,46,11
2020/03/16,DE,Germany,Europe,51,9,7272,67,17
2020/03/17,DE,Germany,Europe,51,9,9257,67,24
2020/03/18,DE,Germany,Europe,51,9,12327,105,28
2020/03/19,DE,Germany,Europe,51,9,15320,113,44
2020/03/20,DE,Germany,Europe,51,9,19848,180,67
2020/03/21,DE,Germany,Europe,51,9,22213,233,84
2020/03/22,DE,Germany,Europe,51,9,24873,266,94
2020/03/23,DE,Germany,Europe,51,9,29056,453,123
2020/03/24,DE,Germany,Europe,51,9,32986,3243,157
2020/03/25,DE,Germany,Europe,51,9,37323,3547,206
2020/03/26,DE,Germany,Europe,51,9,43938,5673,267
2020/03/27,DE,Germany,Europe,51,9,50871,6658,351
2020/03/28,DE,Germany,Europe,51,9,57695,8481,433
2020/03/29,DE,Germany,Europe,51,9,62095,9211,533
2020/03/30,DE,Germany,Europe,51,9,66885,13500,645
2020/03/31,DE,Germany,Europe,51,9,71808,16100,775
2020/04/01,DE,Germany,Europe,51,9,77981,18700,931
2020/04/02,DE,Germany,Europe,51,9,84794,22440,1107
2020/04/03,DE,Germany,Europe,51,9,91159,24575,1275
2020/04/04,DE,Germany,Europe,51,9,96092,26400,1444
2020/04/05,DE,Germany,Europe,51,9,100123,28700,1584
2020/04/06,DE,Germany,Europe,51,9,103374,28700,1810
2020/04/07,DE,Germany,Europe,51,9,107663,36081,2016
2020/04/08,DE,Germany,Europe,51,9,113296,46300,2349
2020/04/09,DE,Germany,Europe,51,9,118235,52407,2607
2020/04/10,DE,Germany,Europe,51,9,122171,53913,2767
2020/04/11,DE,Germany,Europe,51,9,125452,57400,2871
2020/04/12,DE,Germany,Europe,51,9,127854,60300,3022
2020/04/13,DE,Germany,Europe,51,9,130072,64300,3194
2020/04/14,DE,Germany,Europe,51,9,132210,68200,3495
2020/04/15,DE,Germany,Europe,51,9,134753,72600,3804
2020/04/16,DE,Germany,Europe,51,9,137698,77000,4052
2020/04/17,DE,Germany,Europe,51,9,141397,83114,4352
2020/04/18,DE,Germany,Europe,51,9,143475,85400,4477
2020/04/19,DE,Germany,Europe,51,9,145184,88000,4586
2020/04/20,DE,Germany,Europe,51,9,147065,91500,4862
2020/04/21,DE,Germany,Europe,51,9,148291,95200,5033
2020/04/22,DE,Germany,Europe,51,9,150648,99400,5279
2020/04/23,DE,Germany,Europe,51,9,153129,103300,5575
2020/04/24,DE,Germany,Europe,51,9,154999,106800,5760
2020/04/25,DE,Germany,Europe,51,9,156418,109800,5873
2020/04/26,DE,Germany,Europe,51,9,157770,112000,5976
2020/04/27,DE,Germany,Europe,51,9,158434,114500,6061
2020/04/28,DE,Germany,Europe,51,9,159912,117400,6314
2020/04/29,DE,Germany,Europe,51,9,161197,120400,6405
2020/04/30,DE,Germany,Europe,51,9,163009,123500,6623
2020/05/01,DE,Germany,Europe,51,9,164077,126900,6736
2020/05/02,DE,Germany,Europe,51,9,164967,129000,6812
2020/05/03,DE,Germany,Europe,51,9,165664,130600,6866
2020/05/04,DE,Germany,Europe,51,9,166152,132700,6993
2020/05/05,DE,Germany,Europe,51,9,167007,135100,6993
2020/05/06,DE,Germany,Europe,51,9,168162,137696,7275
2020/05/07,DE,Germany,Europe,51,9,169430,139900,7392
2020/05/08,DE,Germany,Europe,51,9,170588,141700,7510
2020/05/09,DE,Germany,Europe,51,9,171324,143300,7549
2020/05/10,DE,Germany,Europe,51,9,171879,144400,7569
2020/05/11,DE,Germany,Europe,51,9,172576,145617,7661
2020/05/12,DE,Germany,Europe,51,9,173171,147200,7738
2020/05/13,DE,Germany,Europe,51,9,174098,148700,7861
2020/05/14,DE,Germany,Europe,51,9,174975,150300,7928
2020/05/15,DE,Germany,Europe,51,9,175699,151700,8001
2020/05/16,DE,Germany,Europe,51,9,176247,152600,8027
2020/05/17,DE,Germany,Europe,51,9,176651,153400,8049
2020/05/18,DE,Germany,Europe,51,9,177289,154600,8123
2020/05/19,DE,Germany,Europe,51,9,177827,155700,8193
2020/05/20,DE,Germany,Europe,51,9,178531,156900,8270
2020/05/21,DE,Germany,Europe,51,9,179021,158000,8309
2020/05/22,DE,Germany,Europe,51,9,179713,159000,8352
2020/05/23,DE,Germany,Europe,51,9,179986,159900,8366
2020/05/24,DE,Germany,Europe,51,9,180328,160300,8371
2020/05/25,DE,Germany,Europe,51,9,180789,161200,8428
2020/05/26,DE,Germany,Europe,51,9,181288,162000,8498
2020/05/27,DE,Germany,Europe,51,9,181895,162800,8533
2020/05/28,DE,Germany,Europe,51,9,182452,163200,8570
2020/05/29,DE,Germany,Europe,51,9,183019,164100,8594
2020/05/30,DE,Germany,Europe,51,9,183294,164900,8600
2020/05/31,DE,Germany,Europe,51,9,183494,165200,8605
2020/06/01,DE,Germany,Europe,51,9,183765,165900,8618
2020/06/02,DE,Germany,Europe,51,9,184091,166400,8674
2020/06/03,DE,Germany,Europe,51,9,184425,167300,8699
2020/06/04,DE,Germany,Europe,51,9,184923,167800,8736
2020/06/05,DE,Germany,Europe,51,9,185414,168500,8763
2020/06/06,DE,Germany,Europe,51,9,185696,168900,8769
2020/06/07,DE,Germany,Europe,51,9,185869,169100,8776
2020/06/08,DE,Germany,Europe,51,9,186205,169600,8783
2020/06/09,DE,Germany,Europe,51,9,186516,170200,8831
2020/06/10,DE,Germany,Europe,51,9,186795,170700,8844
2020/06/11,DE,Germany,Europe,51,9,186795,171200,8851
2020/06/12,DE,Germany,Europe,51,9,187251,171600,8863
2020/06/13,DE,Germany,Europe,51,9,187423,171900,8867
2020/06/14,DE,Germany,Europe,51,9,187671,172200,8870
2020/06/15,DE,Germany,Europe,51,9,188044,172600,8885
2020/06/16,DE,Germany,Europe,51,9,188382,173100,8910
2020/06/17,DE,Germany,Europe,51,9,190126,173600,8927
2020/06/18,DE,Germany,Europe,51,9,190126,174100,8946
2020/06/19,DE,Germany,Europe,51,9,190660,174400,8960
2020/06/20,DE,Germany,Europe,51,9,191216,174700,8961
2020/06/21,DE,Germany,Europe,51,9,191575,174900,8962
2020/06/22,DE,Germany,Europe,51,9,192119,175300,8969
2020/06/23,DE,Germany,Europe,51,9,192778,175700,8986
2020/06/24,DE,Germany,Europe,51,9,193254,176300,9003
2020/06/25,DE,Germany,Europe,51,9,193785,176800,9012
2020/06/26,DE,Germany,Europe,51,9,194399,177100,9026
2020/06/27,DE,Germany,Europe,51,9,194689,177500,9026
2020/06/28,DE,Germany,Europe,51,9,194864,177700,9029
2020/06/29,DE,Germany,Europe,51,9,195392,178100,9041
2020/06/30,DE,Germany,Europe,51,9,195832,179100,9052
2020/07/01,DE,Germany,Europe,51,9,196324,179800,9061
2020/07/02,DE,Germany,Europe,51,9,196717,180300,9064
2020/07/03,DE,Germany,Europe,51,9,197000,181000,9073
2020/07/04,DE,Germany,Europe,51,9,197418,181300,9081
2020/07/05,DE,Germany,Europe,51,9,197558,181700,9086
2020/07/06,DE,Germany,Europe,51,9,198057,182200,9092
2020/07/07,DE,Germany,Europe,51,9,198355,182700,9103
2020/07/08,DE,Germany,Europe,51,9,198765,182700,9115
2020/07/09,DE,Germany,Europe,51,9,199198,183600,9125
2020/07/10,DE,Germany,Europe,51,9,199588,184000,9130
2020/07/11,DE,Germany,Europe,51,9,199812,184500,9134
2020/07/12,DE,Germany,Europe,51,9,199950,184600,9134
2020/07/13,DE,Germany,Europe,51,9,200436,185100,9139
2020/07/14,DE,Germany,Europe,51,9,200766,185500,9144
2020/07/15,DE,Germany,Europe,51,9,201252,186000,9148
2020/07/16,DE,Germany,Europe,51,9,201836,186400,9157
2020/07/17,DE,Germany,Europe,51,9,202337,186900,9160
2020/07/18,DE,Germany,Europe,51,9,202572,187500,9162
2020/07/19,DE,Germany,Europe,51,9,202845,187800,9163
2020/07/20,DE,Germany,Europe,51,9,203487,187800,9173
2020/07/21,DE,Germany,Europe,51,9,203890,188100,9180
2020/07/22,DE,Germany,Europe,51,9,204470,188600,9182
2020/07/23,DE,Germany,Europe,51,9,205142,189000,9187
2020/07/24,DE,Germany,Europe,51,9,205960,189400,9201
2020/07/25,DE,Germany,Europe,51,9,206332,190400,9202
2020/07/26,DE,Germany,Europe,51,9,206741,190600,9203
2020/07/27,DE,Germany,Europe,51,9,207379,190600,9205
2020/07/28,DE,Germany,Europe,51,9,207951,191400,9207
2020/07/29,DE,Germany,Europe,51,9,208811,192000,9212
2020/07/30,DE,Germany,Europe,51,9,209653,192000,9221
2020/07/31,DE,Germany,Europe,51,9,210665,192300,9224
2020/08/01,DE,Germany,Europe,51,9,211077,193600,9226
2020/08/02,DE,Germany,Europe,51,9,211462,193600,9226
2020/08/03,DE,Germany,Europe,51,9,212320,193600,9232
2020/08/04,DE,Germany,Europe,51,9,212331,194700,9232
2020/08/05,DE,Germany,Europe,51,9,214104,194700,9245
2020/08/06,DE,Germany,Europe,51,9,215210,196200,9252
2020/08/07,DE,Germany,Europe,51,9,216315,196200,9254
2020/08/08,DE,Germany,Europe,51,9,216896,197400,9261
2020/08/09,DE,Germany,Europe,51,9,217281,197400,9261
2020/08/10,DE,Germany,Europe,51,9,218500,197900,9265
2020/08/11,DE,Germany,Europe,51,9,219530,198900,9268
2020/08/12,DE,Germany,Europe,51,9,220850,199900,9276
2020/08/13,DE,Germany,Europe,51,9,222269,200800,9281
