day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,DK,Denmark,Europe,56,10,0,0,0
2020/01/23,DK,Denmark,Europe,56,10,0,0,0
2020/01/24,DK,Denmark,Europe,56,10,0,0,0
2020/01/25,DK,Denmark,Europe,56,10,0,0,0
2020/01/26,DK,Denmark,Europe,56,10,0,0,0
2020/01/27,DK,Denmark,Europe,56,10,0,0,0
2020/01/28,DK,Denmark,Europe,56,10,0,0,0
2020/01/29,DK,Denmark,Europe,56,10,0,0,0
2020/01/30,DK,Denmark,Europe,56,10,0,0,0
2020/01/31,DK,Denmark,Europe,56,10,0,0,0
2020/02/01,DK,Denmark,Europe,56,10,0,0,0
2020/02/02,DK,Denmark,Europe,56,10,0,0,0
2020/02/03,DK,Denmark,Europe,56,10,0,0,0
2020/02/04,DK,Denmark,Europe,56,10,0,0,0
2020/02/05,DK,Denmark,Europe,56,10,0,0,0
2020/02/06,DK,Denmark,Europe,56,10,0,0,0
2020/02/07,DK,Denmark,Europe,56,10,0,0,0
2020/02/08,DK,Denmark,Europe,56,10,0,0,0
2020/02/09,DK,Denmark,Europe,56,10,0,0,0
2020/02/10,DK,Denmark,Europe,56,10,0,0,0
2020/02/11,DK,Denmark,Europe,56,10,0,0,0
2020/02/12,DK,Denmark,Europe,56,10,0,0,0
2020/02/13,DK,Denmark,Europe,56,10,0,0,0
2020/02/14,DK,Denmark,Europe,56,10,0,0,0
2020/02/15,DK,Denmark,Europe,56,10,0,0,0
2020/02/16,DK,Denmark,Europe,56,10,0,0,0
2020/02/17,DK,Denmark,Europe,56,10,0,0,0
2020/02/18,DK,Denmark,Europe,56,10,0,0,0
2020/02/19,DK,Denmark,Europe,56,10,0,0,0
2020/02/20,DK,Denmark,Europe,56,10,0,0,0
2020/02/21,DK,Denmark,Europe,56,10,0,0,0
2020/02/22,DK,Denmark,Europe,56,10,0,0,0
2020/02/23,DK,Denmark,Europe,56,10,0,0,0
2020/02/24,DK,Denmark,Europe,56,10,0,0,0
2020/02/25,DK,Denmark,Europe,56,10,0,0,0
2020/02/26,DK,Denmark,Europe,56,10,0,0,0
2020/02/27,DK,Denmark,Europe,56,10,1,0,0
2020/02/28,DK,Denmark,Europe,56,10,1,0,0
2020/02/29,DK,Denmark,Europe,56,10,3,0,0
2020/03/01,DK,Denmark,Europe,56,10,4,0,0
2020/03/02,DK,Denmark,Europe,56,10,4,0,0
2020/03/03,DK,Denmark,Europe,56,10,6,0,0
2020/03/04,DK,Denmark,Europe,56,10,10,0,0
2020/03/05,DK,Denmark,Europe,56,10,10,0,0
2020/03/06,DK,Denmark,Europe,56,10,23,1,0
2020/03/07,DK,Denmark,Europe,56,10,23,1,0
2020/03/08,DK,Denmark,Europe,56,10,35,1,0
2020/03/09,DK,Denmark,Europe,56,10,90,1,0
2020/03/10,DK,Denmark,Europe,56,10,262,1,0
2020/03/11,DK,Denmark,Europe,56,10,442,1,0
2020/03/12,DK,Denmark,Europe,56,10,615,1,0
2020/03/13,DK,Denmark,Europe,56,10,801,1,0
2020/03/14,DK,Denmark,Europe,56,10,827,1,1
2020/03/15,DK,Denmark,Europe,56,10,864,1,2
2020/03/16,DK,Denmark,Europe,56,10,914,1,3
2020/03/17,DK,Denmark,Europe,56,10,977,1,4
2020/03/18,DK,Denmark,Europe,56,10,1057,1,4
2020/03/19,DK,Denmark,Europe,56,10,1151,1,6
2020/03/20,DK,Denmark,Europe,56,10,1255,1,9
2020/03/21,DK,Denmark,Europe,56,10,1326,1,13
2020/03/22,DK,Denmark,Europe,56,10,1395,1,13
2020/03/23,DK,Denmark,Europe,56,10,1450,1,24
2020/03/24,DK,Denmark,Europe,56,10,1591,1,32
2020/03/25,DK,Denmark,Europe,56,10,1724,1,34
2020/03/26,DK,Denmark,Europe,56,10,1877,1,41
2020/03/27,DK,Denmark,Europe,56,10,2046,1,52
2020/03/28,DK,Denmark,Europe,56,10,2201,1,65
2020/03/29,DK,Denmark,Europe,56,10,2395,1,72
2020/03/30,DK,Denmark,Europe,56,10,2577,1,77
