day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,EG,Egypt,Africa,27,30,0,0,0
2020/01/23,EG,Egypt,Africa,27,30,0,0,0
2020/01/24,EG,Egypt,Africa,27,30,0,0,0
2020/01/25,EG,Egypt,Africa,27,30,0,0,0
2020/01/26,EG,Egypt,Africa,27,30,0,0,0
2020/01/27,EG,Egypt,Africa,27,30,0,0,0
2020/01/28,EG,Egypt,Africa,27,30,0,0,0
2020/01/29,EG,Egypt,Africa,27,30,0,0,0
2020/01/30,EG,Egypt,Africa,27,30,0,0,0
2020/01/31,EG,Egypt,Africa,27,30,0,0,0
2020/02/01,EG,Egypt,Africa,27,30,0,0,0
2020/02/02,EG,Egypt,Africa,27,30,0,0,0
2020/02/03,EG,Egypt,Africa,27,30,0,0,0
2020/02/04,EG,Egypt,Africa,27,30,0,0,0
2020/02/05,EG,Egypt,Africa,27,30,0,0,0
2020/02/06,EG,Egypt,Africa,27,30,0,0,0
2020/02/07,EG,Egypt,Africa,27,30,0,0,0
2020/02/08,EG,Egypt,Africa,27,30,0,0,0
2020/02/09,EG,Egypt,Africa,27,30,0,0,0
2020/02/10,EG,Egypt,Africa,27,30,0,0,0
2020/02/11,EG,Egypt,Africa,27,30,0,0,0
2020/02/12,EG,Egypt,Africa,27,30,0,0,0
2020/02/13,EG,Egypt,Africa,27,30,0,0,0
2020/02/14,EG,Egypt,Africa,27,30,1,0,0
2020/02/15,EG,Egypt,Africa,27,30,1,0,0
2020/02/16,EG,Egypt,Africa,27,30,1,0,0
2020/02/17,EG,Egypt,Africa,27,30,1,0,0
2020/02/18,EG,Egypt,Africa,27,30,1,0,0
2020/02/19,EG,Egypt,Africa,27,30,1,0,0
2020/02/20,EG,Egypt,Africa,27,30,1,0,0
2020/02/21,EG,Egypt,Africa,27,30,1,0,0
2020/02/22,EG,Egypt,Africa,27,30,1,0,0
2020/02/23,EG,Egypt,Africa,27,30,1,0,0
2020/02/24,EG,Egypt,Africa,27,30,1,0,0
2020/02/25,EG,Egypt,Africa,27,30,1,0,0
2020/02/26,EG,Egypt,Africa,27,30,1,0,0
2020/02/27,EG,Egypt,Africa,27,30,1,0,0
2020/02/28,EG,Egypt,Africa,27,30,1,1,0
2020/02/29,EG,Egypt,Africa,27,30,1,1,0
2020/03/01,EG,Egypt,Africa,27,30,2,1,0
2020/03/02,EG,Egypt,Africa,27,30,2,1,0
2020/03/03,EG,Egypt,Africa,27,30,2,1,0
2020/03/04,EG,Egypt,Africa,27,30,2,1,0
2020/03/05,EG,Egypt,Africa,27,30,3,1,0
2020/03/06,EG,Egypt,Africa,27,30,15,1,0
2020/03/07,EG,Egypt,Africa,27,30,15,1,0
2020/03/08,EG,Egypt,Africa,27,30,49,1,1
2020/03/09,EG,Egypt,Africa,27,30,55,1,1
2020/03/10,EG,Egypt,Africa,27,30,59,1,1
2020/03/11,EG,Egypt,Africa,27,30,60,27,1
2020/03/12,EG,Egypt,Africa,27,30,67,27,1
2020/03/13,EG,Egypt,Africa,27,30,80,27,2
2020/03/14,EG,Egypt,Africa,27,30,109,27,2
2020/03/15,EG,Egypt,Africa,27,30,110,27,2
2020/03/16,EG,Egypt,Africa,27,30,150,27,2
2020/03/17,EG,Egypt,Africa,27,30,196,32,4
2020/03/18,EG,Egypt,Africa,27,30,196,32,6
2020/03/19,EG,Egypt,Africa,27,30,256,32,6
2020/03/20,EG,Egypt,Africa,27,30,285,39,8
2020/03/21,EG,Egypt,Africa,27,30,294,41,10
2020/03/22,EG,Egypt,Africa,27,30,327,56,14
2020/03/23,EG,Egypt,Africa,27,30,366,68,19
2020/03/24,EG,Egypt,Africa,27,30,402,80,20
2020/03/25,EG,Egypt,Africa,27,30,456,95,21
2020/03/26,EG,Egypt,Africa,27,30,495,102,24
2020/03/27,EG,Egypt,Africa,27,30,536,116,30
2020/03/28,EG,Egypt,Africa,27,30,576,121,36
2020/03/29,EG,Egypt,Africa,27,30,609,132,40
2020/03/30,EG,Egypt,Africa,27,30,656,150,41
2020/03/31,EG,Egypt,Africa,27,30,710,157,46
2020/04/01,EG,Egypt,Africa,27,30,779,179,52
2020/04/02,EG,Egypt,Africa,27,30,865,201,58
2020/04/03,EG,Egypt,Africa,27,30,985,216,66
2020/04/04,EG,Egypt,Africa,27,30,1070,241,71
2020/04/05,EG,Egypt,Africa,27,30,1173,247,78
2020/04/06,EG,Egypt,Africa,27,30,1322,259,85
