day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,FI,Finland,Europe,64,26,0,0,0
2020/01/23,FI,Finland,Europe,64,26,0,0,0
2020/01/24,FI,Finland,Europe,64,26,0,0,0
2020/01/25,FI,Finland,Europe,64,26,0,0,0
2020/01/26,FI,Finland,Europe,64,26,0,0,0
2020/01/27,FI,Finland,Europe,64,26,0,0,0
2020/01/28,FI,Finland,Europe,64,26,0,0,0
2020/01/29,FI,Finland,Europe,64,26,1,0,0
2020/01/30,FI,Finland,Europe,64,26,1,0,0
2020/01/31,FI,Finland,Europe,64,26,1,0,0
2020/02/01,FI,Finland,Europe,64,26,1,0,0
2020/02/02,FI,Finland,Europe,64,26,1,0,0
2020/02/03,FI,Finland,Europe,64,26,1,0,0
2020/02/04,FI,Finland,Europe,64,26,1,0,0
2020/02/05,FI,Finland,Europe,64,26,1,0,0
2020/02/06,FI,Finland,Europe,64,26,1,0,0
2020/02/07,FI,Finland,Europe,64,26,1,0,0
2020/02/08,FI,Finland,Europe,64,26,1,0,0
2020/02/09,FI,Finland,Europe,64,26,1,0,0
2020/02/10,FI,Finland,Europe,64,26,1,0,0
2020/02/11,FI,Finland,Europe,64,26,1,0,0
2020/02/12,FI,Finland,Europe,64,26,1,1,0
2020/02/13,FI,Finland,Europe,64,26,1,1,0
2020/02/14,FI,Finland,Europe,64,26,1,1,0
2020/02/15,FI,Finland,Europe,64,26,1,1,0
2020/02/16,FI,Finland,Europe,64,26,1,1,0
2020/02/17,FI,Finland,Europe,64,26,1,1,0
2020/02/18,FI,Finland,Europe,64,26,1,1,0
2020/02/19,FI,Finland,Europe,64,26,1,1,0
2020/02/20,FI,Finland,Europe,64,26,1,1,0
2020/02/21,FI,Finland,Europe,64,26,1,1,0
2020/02/22,FI,Finland,Europe,64,26,1,1,0
2020/02/23,FI,Finland,Europe,64,26,1,1,0
2020/02/24,FI,Finland,Europe,64,26,1,1,0
2020/02/25,FI,Finland,Europe,64,26,1,1,0
2020/02/26,FI,Finland,Europe,64,26,2,1,0
2020/02/27,FI,Finland,Europe,64,26,2,1,0
2020/02/28,FI,Finland,Europe,64,26,2,1,0
2020/02/29,FI,Finland,Europe,64,26,3,1,0
2020/03/01,FI,Finland,Europe,64,26,6,1,0
2020/03/02,FI,Finland,Europe,64,26,6,1,0
2020/03/03,FI,Finland,Europe,64,26,6,1,0
2020/03/04,FI,Finland,Europe,64,26,6,1,0
2020/03/05,FI,Finland,Europe,64,26,12,1,0
2020/03/06,FI,Finland,Europe,64,26,15,1,0
2020/03/07,FI,Finland,Europe,64,26,15,1,0
2020/03/08,FI,Finland,Europe,64,26,23,1,0
2020/03/09,FI,Finland,Europe,64,26,30,1,0
2020/03/10,FI,Finland,Europe,64,26,40,1,0
2020/03/11,FI,Finland,Europe,64,26,59,1,0
2020/03/12,FI,Finland,Europe,64,26,59,1,0
2020/03/13,FI,Finland,Europe,64,26,155,1,0
2020/03/14,FI,Finland,Europe,64,26,225,1,0
2020/03/15,FI,Finland,Europe,64,26,244,10,0
2020/03/16,FI,Finland,Europe,64,26,277,10,0
2020/03/17,FI,Finland,Europe,64,26,321,10,0
2020/03/18,FI,Finland,Europe,64,26,336,10,0
2020/03/19,FI,Finland,Europe,64,26,400,10,0
2020/03/20,FI,Finland,Europe,64,26,450,10,0
2020/03/21,FI,Finland,Europe,64,26,523,10,1
2020/03/22,FI,Finland,Europe,64,26,626,10,1
2020/03/23,FI,Finland,Europe,64,26,700,10,1
2020/03/24,FI,Finland,Europe,64,26,792,10,1
2020/03/25,FI,Finland,Europe,64,26,880,10,3
2020/03/26,FI,Finland,Europe,64,26,958,10,5
2020/03/27,FI,Finland,Europe,64,26,1041,10,7
2020/03/28,FI,Finland,Europe,64,26,1167,10,9
2020/03/29,FI,Finland,Europe,64,26,1240,10,11
2020/03/30,FI,Finland,Europe,64,26,1352,10,13
2020/03/31,FI,Finland,Europe,64,26,1418,10,17
2020/04/01,FI,Finland,Europe,64,26,1446,10,17
2020/04/02,FI,Finland,Europe,64,26,1518,300,19
2020/04/03,FI,Finland,Europe,64,26,1615,300,20
2020/04/04,FI,Finland,Europe,64,26,1882,300,25
2020/04/05,FI,Finland,Europe,64,26,1927,300,27
2020/04/06,FI,Finland,Europe,64,26,2176,300,27
2020/04/07,FI,Finland,Europe,64,26,2308,300,34
2020/04/08,FI,Finland,Europe,64,26,2487,300,40
2020/04/09,FI,Finland,Europe,64,26,2605,300,42
2020/04/10,FI,Finland,Europe,64,26,2769,300,48
2020/04/11,FI,Finland,Europe,64,26,2905,300,49
2020/04/12,FI,Finland,Europe,64,26,2974,300,56
2020/04/13,FI,Finland,Europe,64,26,3064,300,59
2020/04/14,FI,Finland,Europe,64,26,3161,300,64
2020/04/15,FI,Finland,Europe,64,26,3237,300,72
2020/04/16,FI,Finland,Europe,64,26,3369,1700,75
2020/04/17,FI,Finland,Europe,64,26,3489,1700,82
2020/04/18,FI,Finland,Europe,64,26,3681,1700,90
2020/04/19,FI,Finland,Europe,64,26,3783,1700,94
2020/04/20,FI,Finland,Europe,64,26,3868,2000,98
2020/04/21,FI,Finland,Europe,64,26,4014,2000,141
2020/04/22,FI,Finland,Europe,64,26,4129,2000,149
2020/04/23,FI,Finland,Europe,64,26,4284,2000,172
2020/04/24,FI,Finland,Europe,64,26,4395,2500,177
2020/04/25,FI,Finland,Europe,64,26,4475,2500,186
2020/04/26,FI,Finland,Europe,64,26,4576,2500,190
2020/04/27,FI,Finland,Europe,64,26,4695,2500,193
2020/04/28,FI,Finland,Europe,64,26,4740,2800,199
2020/04/29,FI,Finland,Europe,64,26,4906,2800,206
2020/04/30,FI,Finland,Europe,64,26,4995,3000,211
2020/05/01,FI,Finland,Europe,64,26,5051,3000,218
2020/05/02,FI,Finland,Europe,64,26,5176,3000,220
2020/05/03,FI,Finland,Europe,64,26,5254,3000,230
2020/05/04,FI,Finland,Europe,64,26,5327,3500,240
2020/05/05,FI,Finland,Europe,64,26,5412,3500,246
2020/05/06,FI,Finland,Europe,64,26,5573,3500,252
2020/05/07,FI,Finland,Europe,64,26,5673,3500,255
2020/05/08,FI,Finland,Europe,64,26,5738,4000,260
2020/05/09,FI,Finland,Europe,64,26,5880,4000,265
2020/05/10,FI,Finland,Europe,64,26,5962,4000,267
2020/05/11,FI,Finland,Europe,64,26,5984,4000,271
2020/05/12,FI,Finland,Europe,64,26,6003,4300,275
2020/05/13,FI,Finland,Europe,64,26,6054,4300,284
2020/05/14,FI,Finland,Europe,64,26,6145,4300,287
2020/05/15,FI,Finland,Europe,64,26,6228,4800,293
2020/05/16,FI,Finland,Europe,64,26,6286,4800,297
2020/05/17,FI,Finland,Europe,64,26,6347,4800,298
2020/05/18,FI,Finland,Europe,64,26,6380,4800,300
2020/05/19,FI,Finland,Europe,64,26,6399,4800,301
2020/05/20,FI,Finland,Europe,64,26,6443,4800,304
2020/05/21,FI,Finland,Europe,64,26,6493,4800,306
2020/05/22,FI,Finland,Europe,64,26,6537,4800,306
2020/05/23,FI,Finland,Europe,64,26,6568,4800,306
2020/05/24,FI,Finland,Europe,64,26,6579,4800,307
2020/05/25,FI,Finland,Europe,64,26,6599,5100,308
2020/05/26,FI,Finland,Europe,64,26,6628,5100,312
2020/05/27,FI,Finland,Europe,64,26,6692,5100,313
2020/05/28,FI,Finland,Europe,64,26,6743,5500,313
2020/05/29,FI,Finland,Europe,64,26,6776,5500,314
2020/05/30,FI,Finland,Europe,64,26,6826,5500,316
2020/05/31,FI,Finland,Europe,64,26,6859,5500,318
2020/06/01,FI,Finland,Europe,64,26,6885,5500,318
2020/06/02,FI,Finland,Europe,64,26,6887,5500,320
2020/06/03,FI,Finland,Europe,64,26,6911,5500,321
2020/06/04,FI,Finland,Europe,64,26,6911,5800,322
2020/06/05,FI,Finland,Europe,64,26,6941,5800,322
2020/06/06,FI,Finland,Europe,64,26,6964,5800,322
2020/06/07,FI,Finland,Europe,64,26,6981,5800,323
2020/06/08,FI,Finland,Europe,64,26,7001,5800,323
2020/06/09,FI,Finland,Europe,64,26,7025,5800,324
