day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/23,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/24,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/25,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/26,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/27,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/28,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/29,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/30,FJ,Fiji,Oceania,-18,175,0,0,0
2020/01/31,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/01,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/02,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/03,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/04,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/05,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/06,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/07,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/08,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/09,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/10,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/11,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/12,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/13,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/14,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/15,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/16,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/17,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/18,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/19,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/20,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/21,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/22,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/23,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/24,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/25,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/26,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/27,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/28,FJ,Fiji,Oceania,-18,175,0,0,0
2020/02/29,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/01,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/02,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/03,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/04,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/05,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/06,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/07,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/08,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/09,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/10,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/11,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/12,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/13,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/14,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/15,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/16,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/17,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/18,FJ,Fiji,Oceania,-18,175,0,0,0
2020/03/19,FJ,Fiji,Oceania,-18,175,1,0,0
2020/03/20,FJ,Fiji,Oceania,-18,175,1,0,0
2020/03/21,FJ,Fiji,Oceania,-18,175,1,0,0
2020/03/22,FJ,Fiji,Oceania,-18,175,2,0,0
2020/03/23,FJ,Fiji,Oceania,-18,175,3,0,0
2020/03/24,FJ,Fiji,Oceania,-18,175,4,0,0
2020/03/25,FJ,Fiji,Oceania,-18,175,5,0,0
2020/03/26,FJ,Fiji,Oceania,-18,175,5,0,0
2020/03/27,FJ,Fiji,Oceania,-18,175,5,0,0
2020/03/28,FJ,Fiji,Oceania,-18,175,5,0,0
2020/03/29,FJ,Fiji,Oceania,-18,175,5,0,0
2020/03/30,FJ,Fiji,Oceania,-18,175,5,0,0
2020/03/31,FJ,Fiji,Oceania,-18,175,5,0,0
2020/04/01,FJ,Fiji,Oceania,-18,175,5,0,0
2020/04/02,FJ,Fiji,Oceania,-18,175,7,0,0
2020/04/03,FJ,Fiji,Oceania,-18,175,7,0,0
2020/04/04,FJ,Fiji,Oceania,-18,175,12,0,0
2020/04/05,FJ,Fiji,Oceania,-18,175,12,0,0
2020/04/06,FJ,Fiji,Oceania,-18,175,14,0,0
2020/04/07,FJ,Fiji,Oceania,-18,175,15,0,0
2020/04/08,FJ,Fiji,Oceania,-18,175,15,0,0
2020/04/09,FJ,Fiji,Oceania,-18,175,15,0,0
2020/04/10,FJ,Fiji,Oceania,-18,175,16,0,0
2020/04/11,FJ,Fiji,Oceania,-18,175,16,0,0
2020/04/12,FJ,Fiji,Oceania,-18,175,16,0,0
2020/04/13,FJ,Fiji,Oceania,-18,175,16,0,0
2020/04/14,FJ,Fiji,Oceania,-18,175,16,0,0
2020/04/15,FJ,Fiji,Oceania,-18,175,16,0,0
2020/04/16,FJ,Fiji,Oceania,-18,175,17,0,0
2020/04/17,FJ,Fiji,Oceania,-18,175,17,0,0
2020/04/18,FJ,Fiji,Oceania,-18,175,17,0,0
2020/04/19,FJ,Fiji,Oceania,-18,175,17,0,0
2020/04/20,FJ,Fiji,Oceania,-18,175,18,3,0
2020/04/21,FJ,Fiji,Oceania,-18,175,18,3,0
2020/04/22,FJ,Fiji,Oceania,-18,175,18,8,0
2020/04/23,FJ,Fiji,Oceania,-18,175,18,8,0
2020/04/24,FJ,Fiji,Oceania,-18,175,18,10,0
2020/04/25,FJ,Fiji,Oceania,-18,175,18,10,0
2020/04/26,FJ,Fiji,Oceania,-18,175,18,12,0
2020/04/27,FJ,Fiji,Oceania,-18,175,18,12,0
2020/04/28,FJ,Fiji,Oceania,-18,175,18,12,0
2020/04/29,FJ,Fiji,Oceania,-18,175,18,12,0
2020/04/30,FJ,Fiji,Oceania,-18,175,18,12,0
2020/05/01,FJ,Fiji,Oceania,-18,175,18,12,0
