day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/23,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/24,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/25,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/26,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/27,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/28,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/29,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/30,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/01/31,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/01,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/02,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/03,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/04,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/05,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/06,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/07,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/08,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/09,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/10,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/11,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/12,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/13,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/14,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/15,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/16,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/17,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/18,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/19,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/20,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/21,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/22,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/23,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/24,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/25,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/26,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/27,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/28,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/02/29,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/03/01,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/03/02,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/03/03,FO,Faroe Islands,Europe,62,-7,0,0,0
2020/03/04,FO,Faroe Islands,Europe,62,-7,1,0,0
2020/03/05,FO,Faroe Islands,Europe,62,-7,1,0,0
2020/03/06,FO,Faroe Islands,Europe,62,-7,1,0,0
2020/03/07,FO,Faroe Islands,Europe,62,-7,1,0,0
2020/03/08,FO,Faroe Islands,Europe,62,-7,2,0,0
2020/03/09,FO,Faroe Islands,Europe,62,-7,2,0,0
2020/03/10,FO,Faroe Islands,Europe,62,-7,2,0,0
2020/03/11,FO,Faroe Islands,Europe,62,-7,2,0,0
2020/03/12,FO,Faroe Islands,Europe,62,-7,2,0,0
2020/03/13,FO,Faroe Islands,Europe,62,-7,3,0,0
2020/03/14,FO,Faroe Islands,Europe,62,-7,9,0,0
2020/03/15,FO,Faroe Islands,Europe,62,-7,11,0,0
2020/03/16,FO,Faroe Islands,Europe,62,-7,18,0,0
2020/03/17,FO,Faroe Islands,Europe,62,-7,47,0,0
2020/03/18,FO,Faroe Islands,Europe,62,-7,58,0,0
