day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,FR,France,Europe,46,2,0,0,0
2020/01/23,FR,France,Europe,46,2,0,0,0
2020/01/24,FR,France,Europe,46,2,2,0,0
2020/01/25,FR,France,Europe,46,2,3,0,0
2020/01/26,FR,France,Europe,46,2,3,0,0
2020/01/27,FR,France,Europe,46,2,3,0,0
2020/01/28,FR,France,Europe,46,2,4,0,0
2020/01/29,FR,France,Europe,46,2,5,0,0
2020/01/30,FR,France,Europe,46,2,5,0,0
2020/01/31,FR,France,Europe,46,2,5,0,0
2020/02/01,FR,France,Europe,46,2,6,0,0
2020/02/02,FR,France,Europe,46,2,6,0,0
2020/02/03,FR,France,Europe,46,2,6,0,0
2020/02/04,FR,France,Europe,46,2,6,0,0
2020/02/05,FR,France,Europe,46,2,6,0,0
2020/02/06,FR,France,Europe,46,2,6,0,0
2020/02/07,FR,France,Europe,46,2,6,0,0
2020/02/08,FR,France,Europe,46,2,11,0,0
2020/02/09,FR,France,Europe,46,2,11,0,0
2020/02/10,FR,France,Europe,46,2,11,0,0
2020/02/11,FR,France,Europe,46,2,11,0,0
2020/02/12,FR,France,Europe,46,2,11,2,0
2020/02/13,FR,France,Europe,46,2,11,2,0
2020/02/14,FR,France,Europe,46,2,11,2,0
2020/02/15,FR,France,Europe,46,2,12,4,1
2020/02/16,FR,France,Europe,46,2,12,4,1
2020/02/17,FR,France,Europe,46,2,12,4,1
2020/02/18,FR,France,Europe,46,2,12,4,1
2020/02/19,FR,France,Europe,46,2,12,4,1
2020/02/20,FR,France,Europe,46,2,12,4,1
2020/02/21,FR,France,Europe,46,2,12,4,1
2020/02/22,FR,France,Europe,46,2,12,4,1
2020/02/23,FR,France,Europe,46,2,12,4,1
2020/02/24,FR,France,Europe,46,2,12,4,1
2020/02/25,FR,France,Europe,46,2,14,11,1
2020/02/26,FR,France,Europe,46,2,18,11,2
2020/02/27,FR,France,Europe,46,2,38,11,2
2020/02/28,FR,France,Europe,46,2,57,11,2
2020/02/29,FR,France,Europe,46,2,100,12,2
2020/03/01,FR,France,Europe,46,2,130,12,2
2020/03/02,FR,France,Europe,46,2,191,12,3
2020/03/03,FR,France,Europe,46,2,204,12,4
2020/03/04,FR,France,Europe,46,2,285,12,4
2020/03/05,FR,France,Europe,46,2,377,12,6
2020/03/06,FR,France,Europe,46,2,653,12,9
2020/03/07,FR,France,Europe,46,2,949,12,11
2020/03/08,FR,France,Europe,46,2,1126,12,19
2020/03/09,FR,France,Europe,46,2,1209,12,19
2020/03/10,FR,France,Europe,46,2,1784,12,33
2020/03/11,FR,France,Europe,46,2,2281,12,48
2020/03/12,FR,France,Europe,46,2,2281,12,48
2020/03/13,FR,France,Europe,46,2,3661,12,79
2020/03/14,FR,France,Europe,46,2,4469,12,91
2020/03/15,FR,France,Europe,46,2,4499,12,91
2020/03/16,FR,France,Europe,46,2,6633,12,148
2020/03/17,FR,France,Europe,46,2,7652,12,148
2020/03/18,FR,France,Europe,46,2,9043,12,148
2020/03/19,FR,France,Europe,46,2,10871,12,243
2020/03/20,FR,France,Europe,46,2,12612,12,450
2020/03/21,FR,France,Europe,46,2,14282,12,562
2020/03/22,FR,France,Europe,46,2,16018,2200,674
2020/03/23,FR,France,Europe,46,2,19856,2200,860
2020/03/24,FR,France,Europe,46,2,22304,3281,1100
2020/03/25,FR,France,Europe,46,2,25233,3900,1331
2020/03/26,FR,France,Europe,46,2,29155,4948,1696
2020/03/27,FR,France,Europe,46,2,32964,5700,1995
2020/03/28,FR,France,Europe,46,2,37575,5700,2314
2020/03/29,FR,France,Europe,46,2,40174,7202,2606
2020/03/30,FR,France,Europe,46,2,44550,7927,3024
2020/03/31,FR,France,Europe,46,2,52128,9444,3523
2020/04/01,FR,France,Europe,46,2,56989,10935,4032
2020/04/02,FR,France,Europe,46,2,59105,12428,5387
2020/04/03,FR,France,Europe,46,2,64338,14008,6507
2020/04/04,FR,France,Europe,46,2,89953,15438,7560
2020/04/05,FR,France,Europe,46,2,92839,16183,8078
2020/04/06,FR,France,Europe,46,2,98010,17250,8911
2020/04/07,FR,France,Europe,46,2,109069,19337,10328
2020/04/08,FR,France,Europe,46,2,112950,21254,10869
2020/04/09,FR,France,Europe,46,2,117749,23206,12210
2020/04/10,FR,France,Europe,46,2,124869,24932,13197
2020/04/11,FR,France,Europe,46,2,129654,26391,13832
