day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/23,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/24,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/25,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/26,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/27,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/28,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/29,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/30,GA,Gabon,Africa,-1,11.75,0,0,0
2020/01/31,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/01,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/02,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/03,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/04,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/05,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/06,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/07,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/08,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/09,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/10,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/11,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/12,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/13,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/14,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/15,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/16,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/17,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/18,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/19,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/20,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/21,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/22,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/23,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/24,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/25,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/26,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/27,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/28,GA,Gabon,Africa,-1,11.75,0,0,0
2020/02/29,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/01,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/02,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/03,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/04,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/05,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/06,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/07,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/08,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/09,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/10,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/11,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/12,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/13,GA,Gabon,Africa,-1,11.75,0,0,0
2020/03/14,GA,Gabon,Africa,-1,11.75,1,0,0
2020/03/15,GA,Gabon,Africa,-1,11.75,1,0,0
2020/03/16,GA,Gabon,Africa,-1,11.75,1,0,0
2020/03/17,GA,Gabon,Africa,-1,11.75,1,0,0
2020/03/18,GA,Gabon,Africa,-1,11.75,1,0,0
2020/03/19,GA,Gabon,Africa,-1,11.75,1,0,0
2020/03/20,GA,Gabon,Africa,-1,11.75,3,0,1
2020/03/21,GA,Gabon,Africa,-1,11.75,4,0,1
2020/03/22,GA,Gabon,Africa,-1,11.75,5,0,1
2020/03/23,GA,Gabon,Africa,-1,11.75,5,0,1
2020/03/24,GA,Gabon,Africa,-1,11.75,6,0,1
2020/03/25,GA,Gabon,Africa,-1,11.75,6,0,1
2020/03/26,GA,Gabon,Africa,-1,11.75,7,0,1
2020/03/27,GA,Gabon,Africa,-1,11.75,7,0,1
2020/03/28,GA,Gabon,Africa,-1,11.75,7,0,1
2020/03/29,GA,Gabon,Africa,-1,11.75,7,0,1
2020/03/30,GA,Gabon,Africa,-1,11.75,7,0,1
2020/03/31,GA,Gabon,Africa,-1,11.75,16,0,1
2020/04/01,GA,Gabon,Africa,-1,11.75,18,0,1
2020/04/02,GA,Gabon,Africa,-1,11.75,21,0,1
2020/04/03,GA,Gabon,Africa,-1,11.75,21,1,1
