day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/23,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/24,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/25,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/26,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/27,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/28,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/29,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/30,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/31,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/01,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/02,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/03,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/04,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/05,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/06,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/07,GB,United Kingdom,Europe,54,-2,3,0,0
2020/02/08,GB,United Kingdom,Europe,54,-2,3,0,0
2020/02/09,GB,United Kingdom,Europe,54,-2,3,0,0
2020/02/10,GB,United Kingdom,Europe,54,-2,8,0,0
2020/02/11,GB,United Kingdom,Europe,54,-2,8,0,0
2020/02/12,GB,United Kingdom,Europe,54,-2,9,1,0
2020/02/13,GB,United Kingdom,Europe,54,-2,9,1,0
2020/02/14,GB,United Kingdom,Europe,54,-2,9,1,0
2020/02/15,GB,United Kingdom,Europe,54,-2,9,1,0
2020/02/16,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/17,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/18,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/19,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/20,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/21,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/22,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/23,GB,United Kingdom,Europe,54,-2,9,8,0
2020/02/24,GB,United Kingdom,Europe,54,-2,13,8,0
2020/02/25,GB,United Kingdom,Europe,54,-2,13,8,0
2020/02/26,GB,United Kingdom,Europe,54,-2,13,8,0
2020/02/27,GB,United Kingdom,Europe,54,-2,15,8,0
2020/02/28,GB,United Kingdom,Europe,54,-2,20,8,0
2020/02/29,GB,United Kingdom,Europe,54,-2,23,8,0
2020/03/01,GB,United Kingdom,Europe,54,-2,36,8,0
2020/03/02,GB,United Kingdom,Europe,54,-2,40,8,0
2020/03/03,GB,United Kingdom,Europe,54,-2,51,8,0
2020/03/04,GB,United Kingdom,Europe,54,-2,85,8,0
2020/03/05,GB,United Kingdom,Europe,54,-2,115,8,1
2020/03/06,GB,United Kingdom,Europe,54,-2,163,8,2
2020/03/07,GB,United Kingdom,Europe,54,-2,206,18,2
2020/03/08,GB,United Kingdom,Europe,54,-2,273,18,3
2020/03/09,GB,United Kingdom,Europe,54,-2,321,18,4
2020/03/10,GB,United Kingdom,Europe,54,-2,382,18,6
2020/03/11,GB,United Kingdom,Europe,54,-2,456,18,8
2020/03/12,GB,United Kingdom,Europe,54,-2,456,18,8
2020/03/13,GB,United Kingdom,Europe,54,-2,798,18,8
2020/03/14,GB,United Kingdom,Europe,54,-2,1140,18,21
2020/03/15,GB,United Kingdom,Europe,54,-2,1140,18,21
2020/03/16,GB,United Kingdom,Europe,54,-2,1543,20,55
2020/03/17,GB,United Kingdom,Europe,54,-2,1950,52,55
2020/03/18,GB,United Kingdom,Europe,54,-2,2626,65,71
2020/03/19,GB,United Kingdom,Europe,54,-2,2689,65,137
2020/03/20,GB,United Kingdom,Europe,54,-2,3983,65,177
2020/03/21,GB,United Kingdom,Europe,54,-2,5018,65,233
2020/03/22,GB,United Kingdom,Europe,54,-2,5683,65,281
2020/03/23,GB,United Kingdom,Europe,54,-2,6650,135,335
2020/03/24,GB,United Kingdom,Europe,54,-2,8077,135,422
2020/03/25,GB,United Kingdom,Europe,54,-2,9529,135,465
2020/03/26,GB,United Kingdom,Europe,54,-2,11658,135,578
2020/03/27,GB,United Kingdom,Europe,54,-2,14543,135,759
2020/03/28,GB,United Kingdom,Europe,54,-2,17089,135,1019
2020/03/29,GB,United Kingdom,Europe,54,-2,19522,135,1228
