day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/23,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/24,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/25,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/26,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/27,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/28,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/29,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/30,GE,Georgia,Asia,42,43.5,0,0,0
2020/01/31,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/01,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/02,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/03,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/04,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/05,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/06,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/07,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/08,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/09,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/10,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/11,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/12,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/13,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/14,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/15,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/16,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/17,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/18,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/19,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/20,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/21,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/22,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/23,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/24,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/25,GE,Georgia,Asia,42,43.5,0,0,0
2020/02/26,GE,Georgia,Asia,42,43.5,1,0,0
2020/02/27,GE,Georgia,Asia,42,43.5,1,0,0
