day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GL,Greenland,Americas,72,-40,0,0,0
2020/01/23,GL,Greenland,Americas,72,-40,0,0,0
2020/01/24,GL,Greenland,Americas,72,-40,0,0,0
2020/01/25,GL,Greenland,Americas,72,-40,0,0,0
2020/01/26,GL,Greenland,Americas,72,-40,0,0,0
2020/01/27,GL,Greenland,Americas,72,-40,0,0,0
2020/01/28,GL,Greenland,Americas,72,-40,0,0,0
2020/01/29,GL,Greenland,Americas,72,-40,0,0,0
2020/01/30,GL,Greenland,Americas,72,-40,0,0,0
2020/01/31,GL,Greenland,Americas,72,-40,0,0,0
2020/02/01,GL,Greenland,Americas,72,-40,0,0,0
2020/02/02,GL,Greenland,Americas,72,-40,0,0,0
2020/02/03,GL,Greenland,Americas,72,-40,0,0,0
2020/02/04,GL,Greenland,Americas,72,-40,0,0,0
2020/02/05,GL,Greenland,Americas,72,-40,0,0,0
2020/02/06,GL,Greenland,Americas,72,-40,0,0,0
2020/02/07,GL,Greenland,Americas,72,-40,0,0,0
2020/02/08,GL,Greenland,Americas,72,-40,0,0,0
2020/02/09,GL,Greenland,Americas,72,-40,0,0,0
2020/02/10,GL,Greenland,Americas,72,-40,0,0,0
2020/02/11,GL,Greenland,Americas,72,-40,0,0,0
2020/02/12,GL,Greenland,Americas,72,-40,0,0,0
2020/02/13,GL,Greenland,Americas,72,-40,0,0,0
2020/02/14,GL,Greenland,Americas,72,-40,0,0,0
2020/02/15,GL,Greenland,Americas,72,-40,0,0,0
2020/02/16,GL,Greenland,Americas,72,-40,0,0,0
2020/02/17,GL,Greenland,Americas,72,-40,0,0,0
2020/02/18,GL,Greenland,Americas,72,-40,0,0,0
2020/02/19,GL,Greenland,Americas,72,-40,0,0,0
2020/02/20,GL,Greenland,Americas,72,-40,0,0,0
2020/02/21,GL,Greenland,Americas,72,-40,0,0,0
2020/02/22,GL,Greenland,Americas,72,-40,0,0,0
2020/02/23,GL,Greenland,Americas,72,-40,0,0,0
2020/02/24,GL,Greenland,Americas,72,-40,0,0,0
2020/02/25,GL,Greenland,Americas,72,-40,0,0,0
2020/02/26,GL,Greenland,Americas,72,-40,0,0,0
