day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/23,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/24,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/25,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/26,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/27,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/28,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/29,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/30,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/01/31,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/01,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/02,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/03,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/04,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/05,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/06,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/07,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/08,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/09,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/10,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/11,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/12,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/13,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/14,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/15,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/16,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/17,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/18,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/19,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/20,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/21,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/22,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/23,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/24,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/25,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/26,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/27,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/28,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/02/29,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/01,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/02,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/03,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/04,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/05,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/06,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/07,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/08,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/09,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/10,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/11,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/12,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/13,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/14,GQ,Equatorial Guinea,Africa,2,10,0,0,0
2020/03/15,GQ,Equatorial Guinea,Africa,2,10,1,0,0
2020/03/16,GQ,Equatorial Guinea,Africa,2,10,1,0,0
2020/03/17,GQ,Equatorial Guinea,Africa,2,10,1,0,0
2020/03/18,GQ,Equatorial Guinea,Africa,2,10,4,0,0
2020/03/19,GQ,Equatorial Guinea,Africa,2,10,6,0,0
2020/03/20,GQ,Equatorial Guinea,Africa,2,10,6,0,0
2020/03/21,GQ,Equatorial Guinea,Africa,2,10,6,0,0
2020/03/22,GQ,Equatorial Guinea,Africa,2,10,6,0,0
2020/03/23,GQ,Equatorial Guinea,Africa,2,10,9,0,0
2020/03/24,GQ,Equatorial Guinea,Africa,2,10,9,0,0
2020/03/25,GQ,Equatorial Guinea,Africa,2,10,9,0,0
2020/03/26,GQ,Equatorial Guinea,Africa,2,10,12,0,0
2020/03/27,GQ,Equatorial Guinea,Africa,2,10,12,0,0
2020/03/28,GQ,Equatorial Guinea,Africa,2,10,12,0,0
2020/03/29,GQ,Equatorial Guinea,Africa,2,10,12,0,0
2020/03/30,GQ,Equatorial Guinea,Africa,2,10,12,0,0
2020/03/31,GQ,Equatorial Guinea,Africa,2,10,15,1,0
2020/04/01,GQ,Equatorial Guinea,Africa,2,10,15,1,0
2020/04/02,GQ,Equatorial Guinea,Africa,2,10,15,1,0
2020/04/03,GQ,Equatorial Guinea,Africa,2,10,16,1,0
2020/04/04,GQ,Equatorial Guinea,Africa,2,10,16,1,0
2020/04/05,GQ,Equatorial Guinea,Africa,2,10,16,1,0
2020/04/06,GQ,Equatorial Guinea,Africa,2,10,16,3,0
2020/04/07,GQ,Equatorial Guinea,Africa,2,10,16,3,0
2020/04/08,GQ,Equatorial Guinea,Africa,2,10,18,3,0
