day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/23,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/24,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/25,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/26,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/27,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/28,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/29,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/30,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/01/31,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/01,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/02,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/03,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/04,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/05,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/06,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/07,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/08,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/09,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/10,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/11,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/12,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/13,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/14,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/15,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/16,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/17,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/18,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/19,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/20,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/21,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/22,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/23,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/24,HR,Croatia,Europe,45.16666666,15.5,0,0,0
2020/02/25,HR,Croatia,Europe,45.16666666,15.5,1,0,0
2020/02/26,HR,Croatia,Europe,45.16666666,15.5,3,0,0
2020/02/27,HR,Croatia,Europe,45.16666666,15.5,3,0,0
2020/02/28,HR,Croatia,Europe,45.16666666,15.5,5,0,0
2020/02/29,HR,Croatia,Europe,45.16666666,15.5,6,0,0
2020/03/01,HR,Croatia,Europe,45.16666666,15.5,7,0,0
2020/03/02,HR,Croatia,Europe,45.16666666,15.5,7,0,0
2020/03/03,HR,Croatia,Europe,45.16666666,15.5,9,0,0
2020/03/04,HR,Croatia,Europe,45.16666666,15.5,10,0,0
2020/03/05,HR,Croatia,Europe,45.16666666,15.5,10,0,0
2020/03/06,HR,Croatia,Europe,45.16666666,15.5,11,0,0
2020/03/07,HR,Croatia,Europe,45.16666666,15.5,12,0,0
2020/03/08,HR,Croatia,Europe,45.16666666,15.5,12,0,0
2020/03/09,HR,Croatia,Europe,45.16666666,15.5,12,0,0
2020/03/10,HR,Croatia,Europe,45.16666666,15.5,14,0,0
2020/03/11,HR,Croatia,Europe,45.16666666,15.5,19,0,0
2020/03/12,HR,Croatia,Europe,45.16666666,15.5,19,0,0
2020/03/13,HR,Croatia,Europe,45.16666666,15.5,32,1,0
2020/03/14,HR,Croatia,Europe,45.16666666,15.5,38,1,0
2020/03/15,HR,Croatia,Europe,45.16666666,15.5,49,1,0
2020/03/16,HR,Croatia,Europe,45.16666666,15.5,57,2,0
2020/03/17,HR,Croatia,Europe,45.16666666,15.5,65,4,0
2020/03/18,HR,Croatia,Europe,45.16666666,15.5,81,4,0
2020/03/19,HR,Croatia,Europe,45.16666666,15.5,105,5,1
2020/03/20,HR,Croatia,Europe,45.16666666,15.5,128,5,1
2020/03/21,HR,Croatia,Europe,45.16666666,15.5,206,5,1
2020/03/22,HR,Croatia,Europe,45.16666666,15.5,254,5,1
2020/03/23,HR,Croatia,Europe,45.16666666,15.5,315,5,1
2020/03/24,HR,Croatia,Europe,45.16666666,15.5,382,5,1
2020/03/25,HR,Croatia,Europe,45.16666666,15.5,442,22,1
2020/03/26,HR,Croatia,Europe,45.16666666,15.5,495,22,3
2020/03/27,HR,Croatia,Europe,45.16666666,15.5,586,37,3
2020/03/28,HR,Croatia,Europe,45.16666666,15.5,657,45,5
2020/03/29,HR,Croatia,Europe,45.16666666,15.5,713,52,6
2020/03/30,HR,Croatia,Europe,45.16666666,15.5,790,67,6
2020/03/31,HR,Croatia,Europe,45.16666666,15.5,867,67,6
2020/04/01,HR,Croatia,Europe,45.16666666,15.5,963,73,6
2020/04/02,HR,Croatia,Europe,45.16666666,15.5,1011,88,7
2020/04/03,HR,Croatia,Europe,45.16666666,15.5,1079,92,8
2020/04/04,HR,Croatia,Europe,45.16666666,15.5,1126,119,12
2020/04/05,HR,Croatia,Europe,45.16666666,15.5,1182,125,15
2020/04/06,HR,Croatia,Europe,45.16666666,15.5,1222,130,16
2020/04/07,HR,Croatia,Europe,45.16666666,15.5,1282,167,18
2020/04/08,HR,Croatia,Europe,45.16666666,15.5,1343,179,19
2020/04/09,HR,Croatia,Europe,45.16666666,15.5,1407,219,20
2020/04/10,HR,Croatia,Europe,45.16666666,15.5,1495,231,21
2020/04/11,HR,Croatia,Europe,45.16666666,15.5,1534,323,21
2020/04/12,HR,Croatia,Europe,45.16666666,15.5,1600,373,23
2020/04/13,HR,Croatia,Europe,45.16666666,15.5,1650,400,25
2020/04/14,HR,Croatia,Europe,45.16666666,15.5,1704,415,31
2020/04/15,HR,Croatia,Europe,45.16666666,15.5,1741,473,33
2020/04/16,HR,Croatia,Europe,45.16666666,15.5,1791,529,35
2020/04/17,HR,Croatia,Europe,45.16666666,15.5,1814,600,36
2020/04/18,HR,Croatia,Europe,45.16666666,15.5,1832,615,39
2020/04/19,HR,Croatia,Europe,45.16666666,15.5,1871,709,47
2020/04/20,HR,Croatia,Europe,45.16666666,15.5,1881,771,47
2020/04/21,HR,Croatia,Europe,45.16666666,15.5,1908,801,48
2020/04/22,HR,Croatia,Europe,45.16666666,15.5,1950,869,48
2020/04/23,HR,Croatia,Europe,45.16666666,15.5,1981,883,50
2020/04/24,HR,Croatia,Europe,45.16666666,15.5,2009,982,51
2020/04/25,HR,Croatia,Europe,45.16666666,15.5,2016,1034,54
2020/04/26,HR,Croatia,Europe,45.16666666,15.5,2030,1103,55
2020/04/27,HR,Croatia,Europe,45.16666666,15.5,2039,1166,59
2020/04/28,HR,Croatia,Europe,45.16666666,15.5,2047,1232,63
2020/04/29,HR,Croatia,Europe,45.16666666,15.5,2062,1288,67
2020/04/30,HR,Croatia,Europe,45.16666666,15.5,2076,1348,69
2020/05/01,HR,Croatia,Europe,45.16666666,15.5,2085,1421,75
