day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/23,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/24,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/25,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/26,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/27,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/28,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/29,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/30,IL,Israel,Asia,31.47,35.13,0,0,0
2020/01/31,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/01,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/02,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/03,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/04,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/05,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/06,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/07,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/08,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/09,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/10,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/11,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/12,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/13,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/14,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/15,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/16,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/17,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/18,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/19,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/20,IL,Israel,Asia,31.47,35.13,0,0,0
2020/02/21,IL,Israel,Asia,31.47,35.13,1,0,0
2020/02/22,IL,Israel,Asia,31.47,35.13,1,0,0
2020/02/23,IL,Israel,Asia,31.47,35.13,1,0,0
2020/02/24,IL,Israel,Asia,31.47,35.13,1,0,0
2020/02/25,IL,Israel,Asia,31.47,35.13,1,0,0
2020/02/26,IL,Israel,Asia,31.47,35.13,2,0,0
2020/02/27,IL,Israel,Asia,31.47,35.13,3,1,0
2020/02/28,IL,Israel,Asia,31.47,35.13,4,1,0
2020/02/29,IL,Israel,Asia,31.47,35.13,7,1,0
2020/03/01,IL,Israel,Asia,31.47,35.13,10,1,0
2020/03/02,IL,Israel,Asia,31.47,35.13,10,1,0
2020/03/03,IL,Israel,Asia,31.47,35.13,12,1,0
2020/03/04,IL,Israel,Asia,31.47,35.13,15,1,0
2020/03/05,IL,Israel,Asia,31.47,35.13,20,1,0
2020/03/06,IL,Israel,Asia,31.47,35.13,37,2,0
2020/03/07,IL,Israel,Asia,31.47,35.13,43,2,0
2020/03/08,IL,Israel,Asia,31.47,35.13,61,2,0
2020/03/09,IL,Israel,Asia,31.47,35.13,61,2,0
2020/03/10,IL,Israel,Asia,31.47,35.13,83,4,0
2020/03/11,IL,Israel,Asia,31.47,35.13,109,4,0
2020/03/12,IL,Israel,Asia,31.47,35.13,131,4,0
2020/03/13,IL,Israel,Asia,31.47,35.13,161,4,0
2020/03/14,IL,Israel,Asia,31.47,35.13,193,4,0
2020/03/15,IL,Israel,Asia,31.47,35.13,251,4,0
2020/03/16,IL,Israel,Asia,31.47,35.13,255,4,0
2020/03/17,IL,Israel,Asia,31.47,35.13,337,11,0
2020/03/18,IL,Israel,Asia,31.47,35.13,433,11,0
2020/03/19,IL,Israel,Asia,31.47,35.13,677,11,0
2020/03/20,IL,Israel,Asia,31.47,35.13,705,14,0
2020/03/21,IL,Israel,Asia,31.47,35.13,883,36,1
2020/03/22,IL,Israel,Asia,31.47,35.13,1071,37,1
2020/03/23,IL,Israel,Asia,31.47,35.13,1442,41,1
2020/03/24,IL,Israel,Asia,31.47,35.13,1930,53,3
