day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,IN,India,Asia,20,77,0,0,0
2020/01/23,IN,India,Asia,20,77,0,0,0
2020/01/24,IN,India,Asia,20,77,0,0,0
2020/01/25,IN,India,Asia,20,77,0,0,0
2020/01/26,IN,India,Asia,20,77,0,0,0
2020/01/27,IN,India,Asia,20,77,0,0,0
2020/01/28,IN,India,Asia,20,77,0,0,0
2020/01/29,IN,India,Asia,20,77,0,0,0
2020/01/30,IN,India,Asia,20,77,1,0,0
2020/01/31,IN,India,Asia,20,77,1,0,0
2020/02/01,IN,India,Asia,20,77,1,0,0
2020/02/02,IN,India,Asia,20,77,2,0,0
2020/02/03,IN,India,Asia,20,77,3,0,0
2020/02/04,IN,India,Asia,20,77,3,0,0
2020/02/05,IN,India,Asia,20,77,3,0,0
2020/02/06,IN,India,Asia,20,77,3,0,0
2020/02/07,IN,India,Asia,20,77,3,0,0
2020/02/08,IN,India,Asia,20,77,3,0,0
2020/02/09,IN,India,Asia,20,77,3,0,0
2020/02/10,IN,India,Asia,20,77,3,0,0
2020/02/11,IN,India,Asia,20,77,3,0,0
2020/02/12,IN,India,Asia,20,77,3,0,0
2020/02/13,IN,India,Asia,20,77,3,0,0
2020/02/14,IN,India,Asia,20,77,3,0,0
2020/02/15,IN,India,Asia,20,77,3,0,0
2020/02/16,IN,India,Asia,20,77,3,3,0
2020/02/17,IN,India,Asia,20,77,3,3,0
2020/02/18,IN,India,Asia,20,77,3,3,0
2020/02/19,IN,India,Asia,20,77,3,3,0
2020/02/20,IN,India,Asia,20,77,3,3,0
2020/02/21,IN,India,Asia,20,77,3,3,0
2020/02/22,IN,India,Asia,20,77,3,3,0
2020/02/23,IN,India,Asia,20,77,3,3,0
2020/02/24,IN,India,Asia,20,77,3,3,0
2020/02/25,IN,India,Asia,20,77,3,3,0
2020/02/26,IN,India,Asia,20,77,3,3,0
2020/02/27,IN,India,Asia,20,77,3,3,0
2020/02/28,IN,India,Asia,20,77,3,3,0
2020/02/29,IN,India,Asia,20,77,3,3,0
2020/03/01,IN,India,Asia,20,77,3,3,0
2020/03/02,IN,India,Asia,20,77,5,3,0
2020/03/03,IN,India,Asia,20,77,5,3,0
2020/03/04,IN,India,Asia,20,77,28,3,0
2020/03/05,IN,India,Asia,20,77,30,3,0
2020/03/06,IN,India,Asia,20,77,31,3,0
2020/03/07,IN,India,Asia,20,77,34,3,0
2020/03/08,IN,India,Asia,20,77,39,3,0
2020/03/09,IN,India,Asia,20,77,43,3,0
2020/03/10,IN,India,Asia,20,77,56,4,0
2020/03/11,IN,India,Asia,20,77,62,4,1
2020/03/12,IN,India,Asia,20,77,73,4,1
2020/03/13,IN,India,Asia,20,77,82,4,2
2020/03/14,IN,India,Asia,20,77,102,4,2
2020/03/15,IN,India,Asia,20,77,113,13,2
2020/03/16,IN,India,Asia,20,77,119,13,2
2020/03/17,IN,India,Asia,20,77,142,14,3
2020/03/18,IN,India,Asia,20,77,156,14,3
2020/03/19,IN,India,Asia,20,77,194,15,4
2020/03/20,IN,India,Asia,20,77,244,20,5
2020/03/21,IN,India,Asia,20,77,330,23,5
2020/03/22,IN,India,Asia,20,77,396,24,7
2020/03/23,IN,India,Asia,20,77,499,34,10
2020/03/24,IN,India,Asia,20,77,536,40,10
2020/03/25,IN,India,Asia,20,77,657,43,12
2020/03/26,IN,India,Asia,20,77,727,45,20
2020/03/27,IN,India,Asia,20,77,887,73,20
2020/03/28,IN,India,Asia,20,77,987,84,24
2020/03/29,IN,India,Asia,20,77,1024,95,27
2020/03/30,IN,India,Asia,20,77,1251,102,32
2020/03/31,IN,India,Asia,20,77,1397,123,35
2020/04/01,IN,India,Asia,20,77,1998,148,58
2020/04/02,IN,India,Asia,20,77,2543,191,72
2020/04/03,IN,India,Asia,20,77,2567,192,72
2020/04/04,IN,India,Asia,20,77,3082,229,86
2020/04/05,IN,India,Asia,20,77,4288,328,117
2020/04/06,IN,India,Asia,20,77,4778,375,136
2020/04/07,IN,India,Asia,20,77,5311,421,150
2020/04/08,IN,India,Asia,20,77,5916,506,178
2020/04/09,IN,India,Asia,20,77,6725,620,226
2020/04/10,IN,India,Asia,20,77,7598,774,246
2020/04/11,IN,India,Asia,20,77,8446,969,288
2020/04/12,IN,India,Asia,20,77,9205,1080,331
2020/04/13,IN,India,Asia,20,77,10453,1181,358
2020/04/14,IN,India,Asia,20,77,11487,1359,393
2020/04/15,IN,India,Asia,20,77,12322,1432,405
2020/04/16,IN,India,Asia,20,77,13430,1768,448
2020/04/17,IN,India,Asia,20,77,14352,2041,486
2020/04/18,IN,India,Asia,20,77,15722,2463,521
2020/04/19,IN,India,Asia,20,77,17615,2854,559
2020/04/20,IN,India,Asia,20,77,18539,3273,592
2020/04/21,IN,India,Asia,20,77,20080,3975,645
2020/04/22,IN,India,Asia,20,77,21370,4370,681
2020/04/23,IN,India,Asia,20,77,23039,5012,721
2020/04/24,IN,India,Asia,20,77,24447,5496,780
2020/04/25,IN,India,Asia,20,77,26283,5939,825
2020/04/26,IN,India,Asia,20,77,27890,6523,882
2020/04/27,IN,India,Asia,20,77,29451,7137,939
2020/04/28,IN,India,Asia,20,77,31360,7747,1008
