day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,IR,Iran,Asia,32,53,0,0,0
2020/01/23,IR,Iran,Asia,32,53,0,0,0
2020/01/24,IR,Iran,Asia,32,53,0,0,0
2020/01/25,IR,Iran,Asia,32,53,0,0,0
2020/01/26,IR,Iran,Asia,32,53,0,0,0
2020/01/27,IR,Iran,Asia,32,53,0,0,0
2020/01/28,IR,Iran,Asia,32,53,0,0,0
2020/01/29,IR,Iran,Asia,32,53,0,0,0
2020/01/30,IR,Iran,Asia,32,53,0,0,0
2020/01/31,IR,Iran,Asia,32,53,0,0,0
2020/02/01,IR,Iran,Asia,32,53,0,0,0
2020/02/02,IR,Iran,Asia,32,53,0,0,0
2020/02/03,IR,Iran,Asia,32,53,0,0,0
2020/02/04,IR,Iran,Asia,32,53,0,0,0
2020/02/05,IR,Iran,Asia,32,53,0,0,0
2020/02/06,IR,Iran,Asia,32,53,0,0,0
2020/02/07,IR,Iran,Asia,32,53,0,0,0
2020/02/08,IR,Iran,Asia,32,53,0,0,0
2020/02/09,IR,Iran,Asia,32,53,0,0,0
2020/02/10,IR,Iran,Asia,32,53,0,0,0
2020/02/11,IR,Iran,Asia,32,53,0,0,0
2020/02/12,IR,Iran,Asia,32,53,0,0,0
2020/02/13,IR,Iran,Asia,32,53,0,0,0
2020/02/14,IR,Iran,Asia,32,53,0,0,0
2020/02/15,IR,Iran,Asia,32,53,0,0,0
2020/02/16,IR,Iran,Asia,32,53,0,0,0
2020/02/17,IR,Iran,Asia,32,53,0,0,0
2020/02/18,IR,Iran,Asia,32,53,0,0,0
2020/02/19,IR,Iran,Asia,32,53,2,0,2
2020/02/20,IR,Iran,Asia,32,53,5,0,2
2020/02/21,IR,Iran,Asia,32,53,18,0,4
2020/02/22,IR,Iran,Asia,32,53,28,0,5
2020/02/23,IR,Iran,Asia,32,53,43,0,8
2020/02/24,IR,Iran,Asia,32,53,61,0,12
2020/02/25,IR,Iran,Asia,32,53,95,0,16
2020/02/26,IR,Iran,Asia,32,53,139,49,19
2020/02/27,IR,Iran,Asia,32,53,245,49,26
2020/02/28,IR,Iran,Asia,32,53,388,73,34
2020/02/29,IR,Iran,Asia,32,53,593,123,43
2020/03/01,IR,Iran,Asia,32,53,978,175,54
2020/03/02,IR,Iran,Asia,32,53,1501,291,66
2020/03/03,IR,Iran,Asia,32,53,2336,291,77
2020/03/04,IR,Iran,Asia,32,53,2922,552,92
2020/03/05,IR,Iran,Asia,32,53,3513,739,107
2020/03/06,IR,Iran,Asia,32,53,4747,913,124
2020/03/07,IR,Iran,Asia,32,53,5823,1669,145
2020/03/08,IR,Iran,Asia,32,53,6566,2134,194
2020/03/09,IR,Iran,Asia,32,53,7161,2394,237
2020/03/10,IR,Iran,Asia,32,53,8042,2731,291
2020/03/11,IR,Iran,Asia,32,53,9000,2959,354
2020/03/12,IR,Iran,Asia,32,53,10075,2959,429
2020/03/13,IR,Iran,Asia,32,53,11364,2959,514
2020/03/14,IR,Iran,Asia,32,53,12729,2959,611
2020/03/15,IR,Iran,Asia,32,53,13938,4590,724
2020/03/16,IR,Iran,Asia,32,53,14991,4590,853
2020/03/17,IR,Iran,Asia,32,53,16169,5389,988
2020/03/18,IR,Iran,Asia,32,53,17361,5389,1135
2020/03/19,IR,Iran,Asia,32,53,18407,5710,1284
2020/03/20,IR,Iran,Asia,32,53,19644,6745,1433
2020/03/21,IR,Iran,Asia,32,53,20610,7635,1556
2020/03/22,IR,Iran,Asia,32,53,21638,7913,1685
2020/03/23,IR,Iran,Asia,32,53,23049,8376,1812
2020/03/24,IR,Iran,Asia,32,53,24811,8913,1934
2020/03/25,IR,Iran,Asia,32,53,27017,9625,2077
2020/03/26,IR,Iran,Asia,32,53,29406,10457,2234
2020/03/27,IR,Iran,Asia,32,53,32332,11133,2378
2020/03/28,IR,Iran,Asia,32,53,35408,11679,2517
2020/03/29,IR,Iran,Asia,32,53,38309,12391,2640
2020/03/30,IR,Iran,Asia,32,53,41495,13911,2757
2020/03/31,IR,Iran,Asia,32,53,44605,14656,2898
2020/04/01,IR,Iran,Asia,32,53,47593,15473,3036
2020/04/02,IR,Iran,Asia,32,53,50468,16711,3160
