day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/23,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/24,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/25,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/26,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/27,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/28,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/29,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/30,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/01/31,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/01,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/02,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/03,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/04,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/05,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/06,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/07,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/08,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/09,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/10,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/11,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/12,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/13,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/14,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/15,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/16,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/17,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/18,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/19,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/20,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/21,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/22,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/23,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/24,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/25,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/26,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/27,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/28,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/02/29,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/01,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/02,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/03,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/04,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/05,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/06,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/07,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/08,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/09,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/10,JM,Jamaica,Americas,18.25,-77.5,0,0,0
2020/03/11,JM,Jamaica,Americas,18.25,-77.5,1,0,0
2020/03/12,JM,Jamaica,Americas,18.25,-77.5,2,0,0
2020/03/13,JM,Jamaica,Americas,18.25,-77.5,8,0,0
2020/03/14,JM,Jamaica,Americas,18.25,-77.5,8,0,0
2020/03/15,JM,Jamaica,Americas,18.25,-77.5,10,0,0
2020/03/16,JM,Jamaica,Americas,18.25,-77.5,10,2,0
2020/03/17,JM,Jamaica,Americas,18.25,-77.5,12,2,0
2020/03/18,JM,Jamaica,Americas,18.25,-77.5,13,2,0
2020/03/19,JM,Jamaica,Americas,18.25,-77.5,15,2,1
2020/03/20,JM,Jamaica,Americas,18.25,-77.5,16,2,1
2020/03/21,JM,Jamaica,Americas,18.25,-77.5,16,2,1
2020/03/22,JM,Jamaica,Americas,18.25,-77.5,16,2,1
2020/03/23,JM,Jamaica,Americas,18.25,-77.5,19,2,1
2020/03/24,JM,Jamaica,Americas,18.25,-77.5,21,2,1
2020/03/25,JM,Jamaica,Americas,18.25,-77.5,26,2,1
2020/03/26,JM,Jamaica,Americas,18.25,-77.5,26,2,1
2020/03/27,JM,Jamaica,Americas,18.25,-77.5,26,2,1
2020/03/28,JM,Jamaica,Americas,18.25,-77.5,30,2,1
2020/03/29,JM,Jamaica,Americas,18.25,-77.5,32,2,1
2020/03/30,JM,Jamaica,Americas,18.25,-77.5,36,2,1
2020/03/31,JM,Jamaica,Americas,18.25,-77.5,36,2,1
2020/04/01,JM,Jamaica,Americas,18.25,-77.5,44,2,3
2020/04/02,JM,Jamaica,Americas,18.25,-77.5,47,2,3
2020/04/03,JM,Jamaica,Americas,18.25,-77.5,53,7,3
2020/04/04,JM,Jamaica,Americas,18.25,-77.5,53,7,3
2020/04/05,JM,Jamaica,Americas,18.25,-77.5,58,8,3
2020/04/06,JM,Jamaica,Americas,18.25,-77.5,58,8,3
2020/04/07,JM,Jamaica,Americas,18.25,-77.5,63,9,3
2020/04/08,JM,Jamaica,Americas,18.25,-77.5,63,10,4
2020/04/09,JM,Jamaica,Americas,18.25,-77.5,63,12,4
2020/04/10,JM,Jamaica,Americas,18.25,-77.5,63,13,4
2020/04/11,JM,Jamaica,Americas,18.25,-77.5,69,13,4
2020/04/12,JM,Jamaica,Americas,18.25,-77.5,69,13,4
2020/04/13,JM,Jamaica,Americas,18.25,-77.5,73,19,4
2020/04/14,JM,Jamaica,Americas,18.25,-77.5,105,19,4
2020/04/15,JM,Jamaica,Americas,18.25,-77.5,125,21,5
2020/04/16,JM,Jamaica,Americas,18.25,-77.5,143,21,5
2020/04/17,JM,Jamaica,Americas,18.25,-77.5,143,25,5
2020/04/18,JM,Jamaica,Americas,18.25,-77.5,163,25,5
2020/04/19,JM,Jamaica,Americas,18.25,-77.5,173,27,5
2020/04/20,JM,Jamaica,Americas,18.25,-77.5,223,27,5
2020/04/21,JM,Jamaica,Americas,18.25,-77.5,223,27,6
2020/04/22,JM,Jamaica,Americas,18.25,-77.5,233,27,6
