day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,JO,Jordan,Asia,31,36,0,0,0
2020/01/23,JO,Jordan,Asia,31,36,0,0,0
2020/01/24,JO,Jordan,Asia,31,36,0,0,0
2020/01/25,JO,Jordan,Asia,31,36,0,0,0
2020/01/26,JO,Jordan,Asia,31,36,0,0,0
2020/01/27,JO,Jordan,Asia,31,36,0,0,0
2020/01/28,JO,Jordan,Asia,31,36,0,0,0
2020/01/29,JO,Jordan,Asia,31,36,0,0,0
2020/01/30,JO,Jordan,Asia,31,36,0,0,0
2020/01/31,JO,Jordan,Asia,31,36,0,0,0
2020/02/01,JO,Jordan,Asia,31,36,0,0,0
2020/02/02,JO,Jordan,Asia,31,36,0,0,0
2020/02/03,JO,Jordan,Asia,31,36,0,0,0
2020/02/04,JO,Jordan,Asia,31,36,0,0,0
2020/02/05,JO,Jordan,Asia,31,36,0,0,0
2020/02/06,JO,Jordan,Asia,31,36,0,0,0
2020/02/07,JO,Jordan,Asia,31,36,0,0,0
2020/02/08,JO,Jordan,Asia,31,36,0,0,0
2020/02/09,JO,Jordan,Asia,31,36,0,0,0
2020/02/10,JO,Jordan,Asia,31,36,0,0,0
2020/02/11,JO,Jordan,Asia,31,36,0,0,0
2020/02/12,JO,Jordan,Asia,31,36,0,0,0
2020/02/13,JO,Jordan,Asia,31,36,0,0,0
2020/02/14,JO,Jordan,Asia,31,36,0,0,0
2020/02/15,JO,Jordan,Asia,31,36,0,0,0
2020/02/16,JO,Jordan,Asia,31,36,0,0,0
2020/02/17,JO,Jordan,Asia,31,36,0,0,0
2020/02/18,JO,Jordan,Asia,31,36,0,0,0
2020/02/19,JO,Jordan,Asia,31,36,0,0,0
2020/02/20,JO,Jordan,Asia,31,36,0,0,0
2020/02/21,JO,Jordan,Asia,31,36,0,0,0
2020/02/22,JO,Jordan,Asia,31,36,0,0,0
2020/02/23,JO,Jordan,Asia,31,36,0,0,0
2020/02/24,JO,Jordan,Asia,31,36,0,0,0
2020/02/25,JO,Jordan,Asia,31,36,0,0,0
2020/02/26,JO,Jordan,Asia,31,36,0,0,0
2020/02/27,JO,Jordan,Asia,31,36,0,0,0
2020/02/28,JO,Jordan,Asia,31,36,0,0,0
2020/02/29,JO,Jordan,Asia,31,36,0,0,0
2020/03/01,JO,Jordan,Asia,31,36,0,0,0
2020/03/02,JO,Jordan,Asia,31,36,0,0,0
2020/03/03,JO,Jordan,Asia,31,36,1,0,0
2020/03/04,JO,Jordan,Asia,31,36,1,0,0
2020/03/05,JO,Jordan,Asia,31,36,1,0,0
2020/03/06,JO,Jordan,Asia,31,36,1,0,0
2020/03/07,JO,Jordan,Asia,31,36,1,0,0
2020/03/08,JO,Jordan,Asia,31,36,1,0,0
2020/03/09,JO,Jordan,Asia,31,36,1,0,0
2020/03/10,JO,Jordan,Asia,31,36,1,0,0
2020/03/11,JO,Jordan,Asia,31,36,1,0,0
2020/03/12,JO,Jordan,Asia,31,36,1,0,0
2020/03/13,JO,Jordan,Asia,31,36,1,1,0
2020/03/14,JO,Jordan,Asia,31,36,1,1,0
2020/03/15,JO,Jordan,Asia,31,36,8,1,0
2020/03/16,JO,Jordan,Asia,31,36,17,1,0
2020/03/17,JO,Jordan,Asia,31,36,34,1,0
2020/03/18,JO,Jordan,Asia,31,36,52,1,0
2020/03/19,JO,Jordan,Asia,31,36,69,1,0
2020/03/20,JO,Jordan,Asia,31,36,85,1,0
2020/03/21,JO,Jordan,Asia,31,36,85,1,0
2020/03/22,JO,Jordan,Asia,31,36,112,1,0
