day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/23,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/24,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/25,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/26,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/27,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/28,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/29,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/30,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/01/31,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/01,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/02,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/03,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/04,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/05,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/06,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/07,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/08,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/09,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/10,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/11,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/12,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/13,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/14,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/15,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/16,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/17,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/18,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/19,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/20,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/21,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/22,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/23,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/24,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/25,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/26,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/27,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/28,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/02/29,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/01,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/02,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/03,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/04,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/05,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/06,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/07,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/08,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/09,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/10,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/11,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/12,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/13,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/14,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/15,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/16,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/17,KG,Kyrgyzstan,Asia,41,75,0,0,0
2020/03/18,KG,Kyrgyzstan,Asia,41,75,3,0,0
2020/03/19,KG,Kyrgyzstan,Asia,41,75,3,0,0
2020/03/20,KG,Kyrgyzstan,Asia,41,75,6,0,0
2020/03/21,KG,Kyrgyzstan,Asia,41,75,14,0,0
2020/03/22,KG,Kyrgyzstan,Asia,41,75,14,0,0
2020/03/23,KG,Kyrgyzstan,Asia,41,75,16,0,0
2020/03/24,KG,Kyrgyzstan,Asia,41,75,42,0,0
2020/03/25,KG,Kyrgyzstan,Asia,41,75,44,0,0
2020/03/26,KG,Kyrgyzstan,Asia,41,75,44,0,0
2020/03/27,KG,Kyrgyzstan,Asia,41,75,58,0,0
2020/03/28,KG,Kyrgyzstan,Asia,41,75,58,0,0
2020/03/29,KG,Kyrgyzstan,Asia,41,75,84,0,0
2020/03/30,KG,Kyrgyzstan,Asia,41,75,94,3,0
2020/03/31,KG,Kyrgyzstan,Asia,41,75,107,3,0
2020/04/01,KG,Kyrgyzstan,Asia,41,75,111,3,0
2020/04/02,KG,Kyrgyzstan,Asia,41,75,116,5,0
2020/04/03,KG,Kyrgyzstan,Asia,41,75,130,6,1
2020/04/04,KG,Kyrgyzstan,Asia,41,75,144,9,1
2020/04/05,KG,Kyrgyzstan,Asia,41,75,147,9,1
2020/04/06,KG,Kyrgyzstan,Asia,41,75,216,33,4
2020/04/07,KG,Kyrgyzstan,Asia,41,75,228,33,4
2020/04/08,KG,Kyrgyzstan,Asia,41,75,270,33,4
2020/04/09,KG,Kyrgyzstan,Asia,41,75,280,35,4
2020/04/10,KG,Kyrgyzstan,Asia,41,75,298,35,5
2020/04/11,KG,Kyrgyzstan,Asia,41,75,339,44,5
2020/04/12,KG,Kyrgyzstan,Asia,41,75,377,54,5
2020/04/13,KG,Kyrgyzstan,Asia,41,75,419,67,5
2020/04/14,KG,Kyrgyzstan,Asia,41,75,430,71,5
2020/04/15,KG,Kyrgyzstan,Asia,41,75,449,78,5
2020/04/16,KG,Kyrgyzstan,Asia,41,75,466,91,5
2020/04/17,KG,Kyrgyzstan,Asia,41,75,489,114,5
2020/04/18,KG,Kyrgyzstan,Asia,41,75,506,130,5
2020/04/19,KG,Kyrgyzstan,Asia,41,75,554,133,5
2020/04/20,KG,Kyrgyzstan,Asia,41,75,568,201,7
2020/04/21,KG,Kyrgyzstan,Asia,41,75,590,216,7
2020/04/22,KG,Kyrgyzstan,Asia,41,75,612,254,7
2020/04/23,KG,Kyrgyzstan,Asia,41,75,631,302,8
2020/04/24,KG,Kyrgyzstan,Asia,41,75,656,322,8
2020/04/25,KG,Kyrgyzstan,Asia,41,75,665,345,8
2020/04/26,KG,Kyrgyzstan,Asia,41,75,682,370,8
2020/04/27,KG,Kyrgyzstan,Asia,41,75,695,395,8
2020/04/28,KG,Kyrgyzstan,Asia,41,75,708,416,8
2020/04/29,KG,Kyrgyzstan,Asia,41,75,729,437,8
2020/04/30,KG,Kyrgyzstan,Asia,41,75,746,462,8
2020/05/01,KG,Kyrgyzstan,Asia,41,75,756,504,8
2020/05/02,KG,Kyrgyzstan,Asia,41,75,769,527,8
2020/05/03,KG,Kyrgyzstan,Asia,41,75,795,564,10
2020/05/04,KG,Kyrgyzstan,Asia,41,75,830,575,10
2020/05/05,KG,Kyrgyzstan,Asia,41,75,843,600,11
2020/05/06,KG,Kyrgyzstan,Asia,41,75,871,614,12
2020/05/07,KG,Kyrgyzstan,Asia,41,75,895,637,12
2020/05/08,KG,Kyrgyzstan,Asia,41,75,906,650,12
2020/05/09,KG,Kyrgyzstan,Asia,41,75,931,658,12
2020/05/10,KG,Kyrgyzstan,Asia,41,75,1002,675,12
2020/05/11,KG,Kyrgyzstan,Asia,41,75,1016,688,12
2020/05/12,KG,Kyrgyzstan,Asia,41,75,1037,709,12
2020/05/13,KG,Kyrgyzstan,Asia,41,75,1044,726,12
2020/05/14,KG,Kyrgyzstan,Asia,41,75,1082,735,12
2020/05/15,KG,Kyrgyzstan,Asia,41,75,1111,745,14
2020/05/16,KG,Kyrgyzstan,Asia,41,75,1117,783,14
2020/05/17,KG,Kyrgyzstan,Asia,41,75,1138,804,14
2020/05/18,KG,Kyrgyzstan,Asia,41,75,1216,827,14
2020/05/19,KG,Kyrgyzstan,Asia,41,75,1243,898,14
2020/05/20,KG,Kyrgyzstan,Asia,41,75,1270,910,14
2020/05/21,KG,Kyrgyzstan,Asia,41,75,1313,923,14
2020/05/22,KG,Kyrgyzstan,Asia,41,75,1350,939,14
2020/05/23,KG,Kyrgyzstan,Asia,41,75,1365,957,14
2020/05/24,KG,Kyrgyzstan,Asia,41,75,1403,980,14
2020/05/25,KG,Kyrgyzstan,Asia,41,75,1433,992,16
2020/05/26,KG,Kyrgyzstan,Asia,41,75,1468,1015,16
2020/05/27,KG,Kyrgyzstan,Asia,41,75,1520,1043,16
2020/05/28,KG,Kyrgyzstan,Asia,41,75,1594,1066,16
2020/05/29,KG,Kyrgyzstan,Asia,41,75,1662,1088,16
2020/05/30,KG,Kyrgyzstan,Asia,41,75,1722,1113,16
2020/05/31,KG,Kyrgyzstan,Asia,41,75,1748,1170,16
2020/06/01,KG,Kyrgyzstan,Asia,41,75,1817,1181,16
2020/06/02,KG,Kyrgyzstan,Asia,41,75,1845,1219,17
2020/06/03,KG,Kyrgyzstan,Asia,41,75,1871,1265,20
2020/06/04,KG,Kyrgyzstan,Asia,41,75,1899,1292,20
2020/06/05,KG,Kyrgyzstan,Asia,41,75,1936,1340,22
2020/06/06,KG,Kyrgyzstan,Asia,41,75,1974,1360,22
2020/06/07,KG,Kyrgyzstan,Asia,41,75,2007,1425,22
2020/06/08,KG,Kyrgyzstan,Asia,41,75,2032,1445,23
2020/06/09,KG,Kyrgyzstan,Asia,41,75,2055,1483,24
2020/06/10,KG,Kyrgyzstan,Asia,41,75,2093,1572,26
2020/06/11,KG,Kyrgyzstan,Asia,41,75,2129,1630,26
2020/06/12,KG,Kyrgyzstan,Asia,41,75,2166,1668,26
2020/06/13,KG,Kyrgyzstan,Asia,41,75,2207,1722,27
2020/06/14,KG,Kyrgyzstan,Asia,41,75,2285,1791,27
2020/06/15,KG,Kyrgyzstan,Asia,41,75,2372,1813,27
2020/06/16,KG,Kyrgyzstan,Asia,41,75,2472,1847,29
2020/06/17,KG,Kyrgyzstan,Asia,41,75,2562,1902,30
2020/06/18,KG,Kyrgyzstan,Asia,41,75,2657,1933,31
2020/06/19,KG,Kyrgyzstan,Asia,41,75,2789,1961,32
2020/06/20,KG,Kyrgyzstan,Asia,41,75,2981,1981,35
2020/06/21,KG,Kyrgyzstan,Asia,41,75,3151,2011,37
2020/06/22,KG,Kyrgyzstan,Asia,41,75,3356,2021,40
2020/06/23,KG,Kyrgyzstan,Asia,41,75,3519,2054,41
2020/06/24,KG,Kyrgyzstan,Asia,41,75,3726,2082,42
2020/06/25,KG,Kyrgyzstan,Asia,41,75,3954,2112,43
2020/06/26,KG,Kyrgyzstan,Asia,41,75,4204,2162,43
2020/06/27,KG,Kyrgyzstan,Asia,41,75,4513,2212,46
2020/06/28,KG,Kyrgyzstan,Asia,41,75,4748,2242,47
2020/06/29,KG,Kyrgyzstan,Asia,41,75,5017,2294,50
2020/06/30,KG,Kyrgyzstan,Asia,41,75,5296,2370,57
2020/07/01,KG,Kyrgyzstan,Asia,41,75,5735,2443,62
2020/07/02,KG,Kyrgyzstan,Asia,41,75,6261,2530,66
2020/07/03,KG,Kyrgyzstan,Asia,41,75,6767,2655,76
2020/07/04,KG,Kyrgyzstan,Asia,41,75,7094,2714,78
2020/07/05,KG,Kyrgyzstan,Asia,41,75,7377,2802,88
2020/07/06,KG,Kyrgyzstan,Asia,41,75,7691,2843,92
2020/07/07,KG,Kyrgyzstan,Asia,41,75,8141,2916,99
2020/07/08,KG,Kyrgyzstan,Asia,41,75,8486,2983,112
2020/07/09,KG,Kyrgyzstan,Asia,41,75,8847,3053,116
2020/07/10,KG,Kyrgyzstan,Asia,41,75,9358,3134,122
2020/07/11,KG,Kyrgyzstan,Asia,41,75,9910,3236,125
2020/07/12,KG,Kyrgyzstan,Asia,41,75,10629,3387,132
2020/07/13,KG,Kyrgyzstan,Asia,41,75,11117,3460,147
2020/07/14,KG,Kyrgyzstan,Asia,41,75,11444,3538,149
2020/07/15,KG,Kyrgyzstan,Asia,41,75,11977,3660,160
2020/07/16,KG,Kyrgyzstan,Asia,41,75,12498,3735,167
2020/07/17,KG,Kyrgyzstan,Asia,41,75,13101,3821,173
2020/07/18,KG,Kyrgyzstan,Asia,41,75,24606,10704,900
2020/07/19,KG,Kyrgyzstan,Asia,41,75,26532,12328,1003
2020/07/20,KG,Kyrgyzstan,Asia,41,75,27143,13109,1037
2020/07/21,KG,Kyrgyzstan,Asia,41,75,28251,14776,1079
2020/07/22,KG,Kyrgyzstan,Asia,41,75,28980,15536,1111
2020/07/23,KG,Kyrgyzstan,Asia,41,75,30349,16791,1169
2020/07/24,KG,Kyrgyzstan,Asia,41,75,31247,18038,1211
2020/07/25,KG,Kyrgyzstan,Asia,41,75,32124,19203,1249
2020/07/26,KG,Kyrgyzstan,Asia,41,75,32813,20388,1277
2020/07/27,KG,Kyrgyzstan,Asia,41,75,33296,21205,1301
2020/07/28,KG,Kyrgyzstan,Asia,41,75,33718,22296,1329
2020/07/29,KG,Kyrgyzstan,Asia,41,75,34592,22296,1347
2020/07/30,KG,Kyrgyzstan,Asia,41,75,35223,23985,1364
2020/07/31,KG,Kyrgyzstan,Asia,41,75,35805,25037,1378
2020/08/01,KG,Kyrgyzstan,Asia,41,75,36299,26419,1397
2020/08/02,KG,Kyrgyzstan,Asia,41,75,36719,27274,1409
