day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,KR,South Korea,Asia,37,127.5,1,0,0
2020/01/23,KR,South Korea,Asia,37,127.5,1,0,0
2020/01/24,KR,South Korea,Asia,37,127.5,2,0,0
2020/01/25,KR,South Korea,Asia,37,127.5,2,0,0
2020/01/26,KR,South Korea,Asia,37,127.5,3,0,0
2020/01/27,KR,South Korea,Asia,37,127.5,4,0,0
2020/01/28,KR,South Korea,Asia,37,127.5,4,0,0
2020/01/29,KR,South Korea,Asia,37,127.5,4,0,0
2020/01/30,KR,South Korea,Asia,37,127.5,4,0,0
2020/01/31,KR,South Korea,Asia,37,127.5,11,0,0
2020/02/01,KR,South Korea,Asia,37,127.5,12,0,0
2020/02/02,KR,South Korea,Asia,37,127.5,15,0,0
2020/02/03,KR,South Korea,Asia,37,127.5,15,0,0
2020/02/04,KR,South Korea,Asia,37,127.5,16,0,0
2020/02/05,KR,South Korea,Asia,37,127.5,19,0,0
2020/02/06,KR,South Korea,Asia,37,127.5,23,0,0
2020/02/07,KR,South Korea,Asia,37,127.5,24,1,0
2020/02/08,KR,South Korea,Asia,37,127.5,24,1,0
2020/02/09,KR,South Korea,Asia,37,127.5,25,3,0
2020/02/10,KR,South Korea,Asia,37,127.5,27,3,0
2020/02/11,KR,South Korea,Asia,37,127.5,28,3,0
2020/02/12,KR,South Korea,Asia,37,127.5,28,7,0
2020/02/13,KR,South Korea,Asia,37,127.5,28,7,0
2020/02/14,KR,South Korea,Asia,37,127.5,28,7,0
2020/02/15,KR,South Korea,Asia,37,127.5,28,9,0
2020/02/16,KR,South Korea,Asia,37,127.5,29,9,0
2020/02/17,KR,South Korea,Asia,37,127.5,30,10,0
2020/02/18,KR,South Korea,Asia,37,127.5,31,12,0
2020/02/19,KR,South Korea,Asia,37,127.5,31,12,0
2020/02/20,KR,South Korea,Asia,37,127.5,104,16,1
2020/02/21,KR,South Korea,Asia,37,127.5,204,16,2
2020/02/22,KR,South Korea,Asia,37,127.5,433,16,2
2020/02/23,KR,South Korea,Asia,37,127.5,602,18,6
2020/02/24,KR,South Korea,Asia,37,127.5,833,18,8
2020/02/25,KR,South Korea,Asia,37,127.5,977,22,10
2020/02/26,KR,South Korea,Asia,37,127.5,1261,22,12
2020/02/27,KR,South Korea,Asia,37,127.5,1766,22,13
2020/02/28,KR,South Korea,Asia,37,127.5,2337,22,13
2020/02/29,KR,South Korea,Asia,37,127.5,3150,27,16
2020/03/01,KR,South Korea,Asia,37,127.5,3736,30,17
2020/03/02,KR,South Korea,Asia,37,127.5,4335,30,28
2020/03/03,KR,South Korea,Asia,37,127.5,5186,30,28
2020/03/04,KR,South Korea,Asia,37,127.5,5621,41,35
2020/03/05,KR,South Korea,Asia,37,127.5,6088,41,35
2020/03/06,KR,South Korea,Asia,37,127.5,6593,135,42
2020/03/07,KR,South Korea,Asia,37,127.5,7041,135,44
2020/03/08,KR,South Korea,Asia,37,127.5,7314,135,50
2020/03/09,KR,South Korea,Asia,37,127.5,7478,135,53
2020/03/10,KR,South Korea,Asia,37,127.5,7513,247,54
2020/03/11,KR,South Korea,Asia,37,127.5,7755,288,60
2020/03/12,KR,South Korea,Asia,37,127.5,7869,333,66
2020/03/13,KR,South Korea,Asia,37,127.5,7979,510,66
2020/03/14,KR,South Korea,Asia,37,127.5,8086,510,72
2020/03/15,KR,South Korea,Asia,37,127.5,8162,510,75
2020/03/16,KR,South Korea,Asia,37,127.5,8236,1137,75
2020/03/17,KR,South Korea,Asia,37,127.5,8320,1407,81
2020/03/18,KR,South Korea,Asia,37,127.5,8413,1540,84
