day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/23,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/24,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/25,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/26,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/27,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/28,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/29,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/30,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/01/31,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/01,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/02,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/03,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/04,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/05,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/06,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/07,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/08,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/09,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/10,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/11,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/12,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/13,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/14,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/15,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/16,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/17,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/18,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/19,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/20,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/21,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/22,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/23,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/24,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/25,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/26,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/27,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/28,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/02/29,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/01,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/02,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/03,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/04,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/05,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/06,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/07,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/08,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/09,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/10,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/11,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/12,KZ,Kazakhstan,Asia,48,68,0,0,0
2020/03/13,KZ,Kazakhstan,Asia,48,68,4,0,0
2020/03/14,KZ,Kazakhstan,Asia,48,68,6,0,0
2020/03/15,KZ,Kazakhstan,Asia,48,68,9,0,0
