day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/23,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/24,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/25,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/26,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/27,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/28,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/29,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/30,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/01/31,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/01,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/02,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/03,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/04,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/05,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/06,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/07,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/08,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/09,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/10,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/11,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/12,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/13,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/14,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/15,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/16,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/17,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/18,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/19,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/20,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/21,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/22,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/23,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/24,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/25,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/26,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/27,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/28,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/02/29,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/01,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/02,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/03,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/04,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/05,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/06,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/07,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/08,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/09,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/10,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/11,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/12,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/13,LC,Saint Lucia,Americas,13.88333333,-60.96666666,0,0,0
2020/03/14,LC,Saint Lucia,Americas,13.88333333,-60.96666666,1,0,0
2020/03/15,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/16,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/17,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/18,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/19,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/20,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/21,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/22,LC,Saint Lucia,Americas,13.88333333,-60.96666666,2,0,0
2020/03/23,LC,Saint Lucia,Americas,13.88333333,-60.96666666,3,0,0
2020/03/24,LC,Saint Lucia,Americas,13.88333333,-60.96666666,3,0,0
2020/03/25,LC,Saint Lucia,Americas,13.88333333,-60.96666666,3,0,0
2020/03/26,LC,Saint Lucia,Americas,13.88333333,-60.96666666,3,0,0
2020/03/27,LC,Saint Lucia,Americas,13.88333333,-60.96666666,3,1,0
2020/03/28,LC,Saint Lucia,Americas,13.88333333,-60.96666666,3,1,0
2020/03/29,LC,Saint Lucia,Americas,13.88333333,-60.96666666,9,1,0
2020/03/30,LC,Saint Lucia,Americas,13.88333333,-60.96666666,9,1,0
2020/03/31,LC,Saint Lucia,Americas,13.88333333,-60.96666666,13,1,0
2020/04/01,LC,Saint Lucia,Americas,13.88333333,-60.96666666,13,1,0
2020/04/02,LC,Saint Lucia,Americas,13.88333333,-60.96666666,13,1,0
2020/04/03,LC,Saint Lucia,Americas,13.88333333,-60.96666666,13,1,0
2020/04/04,LC,Saint Lucia,Americas,13.88333333,-60.96666666,14,1,0
2020/04/05,LC,Saint Lucia,Americas,13.88333333,-60.96666666,14,1,0
2020/04/06,LC,Saint Lucia,Americas,13.88333333,-60.96666666,14,1,0
2020/04/07,LC,Saint Lucia,Americas,13.88333333,-60.96666666,14,1,0
2020/04/08,LC,Saint Lucia,Americas,13.88333333,-60.96666666,14,1,0
2020/04/09,LC,Saint Lucia,Americas,13.88333333,-60.96666666,14,1,0
2020/04/10,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,1,0
2020/04/11,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,1,0
2020/04/12,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,4,0
2020/04/13,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,4,0
2020/04/14,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,11,0
2020/04/15,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,11,0
2020/04/16,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,11,0
2020/04/17,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,11,0
2020/04/18,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,11,0
2020/04/19,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,11,0
2020/04/20,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,13,0
2020/04/21,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,13,0
2020/04/22,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/23,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/24,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/25,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/26,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/27,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/28,LC,Saint Lucia,Americas,13.88333333,-60.96666666,15,15,0
2020/04/29,LC,Saint Lucia,Americas,13.88333333,-60.96666666,17,15,0
2020/04/30,LC,Saint Lucia,Americas,13.88333333,-60.96666666,17,15,0
2020/05/01,LC,Saint Lucia,Americas,13.88333333,-60.96666666,17,15,0
2020/05/02,LC,Saint Lucia,Americas,13.88333333,-60.96666666,17,15,0
2020/05/03,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,15,0
2020/05/04,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,15,0
2020/05/05,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,15,0
2020/05/06,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,15,0
2020/05/07,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,17,0
2020/05/08,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,17,0
2020/05/09,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,17,0
2020/05/10,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,17,0
2020/05/11,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,17,0
2020/05/12,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,17,0
2020/05/13,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/14,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/15,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/16,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/17,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/18,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/19,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/20,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/21,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/22,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/23,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/24,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/25,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/26,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/27,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/28,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/29,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/30,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/05/31,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/06/01,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/06/02,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/06/03,LC,Saint Lucia,Americas,13.88333333,-60.96666666,18,18,0
2020/06/04,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/05,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/06,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/07,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/08,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/09,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/10,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/11,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/12,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/13,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/14,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/15,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/16,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
2020/06/17,LC,Saint Lucia,Americas,13.88333333,-60.96666666,19,18,0
