day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/23,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/24,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/25,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/26,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/27,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/28,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/29,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/30,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/01/31,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/01,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/02,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/03,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/04,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/05,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/06,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/07,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/08,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/09,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/10,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/11,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/12,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/13,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/14,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/15,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/16,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/17,LS,Lesotho,Africa,-29.5,28.5,0,0,0
2020/02/18,LS,Lesotho,Africa,-29.5,28.5,0,0,0
