day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,LT,Lithuania,Europe,56,24,0,0,0
2020/01/23,LT,Lithuania,Europe,56,24,0,0,0
2020/01/24,LT,Lithuania,Europe,56,24,0,0,0
2020/01/25,LT,Lithuania,Europe,56,24,0,0,0
2020/01/26,LT,Lithuania,Europe,56,24,0,0,0
2020/01/27,LT,Lithuania,Europe,56,24,0,0,0
2020/01/28,LT,Lithuania,Europe,56,24,0,0,0
2020/01/29,LT,Lithuania,Europe,56,24,0,0,0
2020/01/30,LT,Lithuania,Europe,56,24,0,0,0
2020/01/31,LT,Lithuania,Europe,56,24,0,0,0
2020/02/01,LT,Lithuania,Europe,56,24,0,0,0
2020/02/02,LT,Lithuania,Europe,56,24,0,0,0
2020/02/03,LT,Lithuania,Europe,56,24,0,0,0
2020/02/04,LT,Lithuania,Europe,56,24,0,0,0
2020/02/05,LT,Lithuania,Europe,56,24,0,0,0
2020/02/06,LT,Lithuania,Europe,56,24,0,0,0
2020/02/07,LT,Lithuania,Europe,56,24,0,0,0
2020/02/08,LT,Lithuania,Europe,56,24,0,0,0
2020/02/09,LT,Lithuania,Europe,56,24,0,0,0
2020/02/10,LT,Lithuania,Europe,56,24,0,0,0
2020/02/11,LT,Lithuania,Europe,56,24,0,0,0
2020/02/12,LT,Lithuania,Europe,56,24,0,0,0
2020/02/13,LT,Lithuania,Europe,56,24,0,0,0
2020/02/14,LT,Lithuania,Europe,56,24,0,0,0
2020/02/15,LT,Lithuania,Europe,56,24,0,0,0
2020/02/16,LT,Lithuania,Europe,56,24,0,0,0
2020/02/17,LT,Lithuania,Europe,56,24,0,0,0
2020/02/18,LT,Lithuania,Europe,56,24,0,0,0
2020/02/19,LT,Lithuania,Europe,56,24,0,0,0
2020/02/20,LT,Lithuania,Europe,56,24,0,0,0
2020/02/21,LT,Lithuania,Europe,56,24,0,0,0
2020/02/22,LT,Lithuania,Europe,56,24,0,0,0
2020/02/23,LT,Lithuania,Europe,56,24,0,0,0
2020/02/24,LT,Lithuania,Europe,56,24,0,0,0
2020/02/25,LT,Lithuania,Europe,56,24,0,0,0
2020/02/26,LT,Lithuania,Europe,56,24,0,0,0
2020/02/27,LT,Lithuania,Europe,56,24,0,0,0
2020/02/28,LT,Lithuania,Europe,56,24,1,0,0
2020/02/29,LT,Lithuania,Europe,56,24,1,0,0
2020/03/01,LT,Lithuania,Europe,56,24,1,0,0
2020/03/02,LT,Lithuania,Europe,56,24,1,0,0
2020/03/03,LT,Lithuania,Europe,56,24,1,0,0
2020/03/04,LT,Lithuania,Europe,56,24,1,0,0
2020/03/05,LT,Lithuania,Europe,56,24,1,0,0
2020/03/06,LT,Lithuania,Europe,56,24,1,0,0
2020/03/07,LT,Lithuania,Europe,56,24,1,0,0
2020/03/08,LT,Lithuania,Europe,56,24,1,0,0
2020/03/09,LT,Lithuania,Europe,56,24,1,0,0
2020/03/10,LT,Lithuania,Europe,56,24,1,0,0
2020/03/11,LT,Lithuania,Europe,56,24,3,0,0
2020/03/12,LT,Lithuania,Europe,56,24,3,0,0
2020/03/13,LT,Lithuania,Europe,56,24,6,0,0
2020/03/14,LT,Lithuania,Europe,56,24,8,0,0
2020/03/15,LT,Lithuania,Europe,56,24,12,1,0
2020/03/16,LT,Lithuania,Europe,56,24,17,1,0
2020/03/17,LT,Lithuania,Europe,56,24,25,1,0
2020/03/18,LT,Lithuania,Europe,56,24,27,1,0
2020/03/19,LT,Lithuania,Europe,56,24,36,1,0
2020/03/20,LT,Lithuania,Europe,56,24,49,1,0
2020/03/21,LT,Lithuania,Europe,56,24,83,1,1
2020/03/22,LT,Lithuania,Europe,56,24,131,1,1
2020/03/23,LT,Lithuania,Europe,56,24,179,1,1
2020/03/24,LT,Lithuania,Europe,56,24,209,1,2
2020/03/25,LT,Lithuania,Europe,56,24,274,1,4
2020/03/26,LT,Lithuania,Europe,56,24,299,1,4
2020/03/27,LT,Lithuania,Europe,56,24,358,1,5
2020/03/28,LT,Lithuania,Europe,56,24,394,1,7
2020/03/29,LT,Lithuania,Europe,56,24,460,1,7
2020/03/30,LT,Lithuania,Europe,56,24,491,7,7
2020/03/31,LT,Lithuania,Europe,56,24,537,7,8
2020/04/01,LT,Lithuania,Europe,56,24,581,7,8
2020/04/02,LT,Lithuania,Europe,56,24,649,7,9
