day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/23,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/24,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/25,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/26,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/27,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/28,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/29,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/30,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/01/31,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/01,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/02,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/03,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/04,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/05,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/06,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/07,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/08,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/09,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/10,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/11,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/12,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/13,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/14,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/15,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/16,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/17,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/18,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/19,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/20,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/21,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/22,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/23,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/24,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/25,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/26,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/27,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/28,LU,Luxembourg,Europe,49.75,6.16666666,0,0,0
2020/02/29,LU,Luxembourg,Europe,49.75,6.16666666,1,0,0
2020/03/01,LU,Luxembourg,Europe,49.75,6.16666666,1,0,0
2020/03/02,LU,Luxembourg,Europe,49.75,6.16666666,1,0,0
2020/03/03,LU,Luxembourg,Europe,49.75,6.16666666,1,0,0
2020/03/04,LU,Luxembourg,Europe,49.75,6.16666666,1,0,0
2020/03/05,LU,Luxembourg,Europe,49.75,6.16666666,1,0,0
2020/03/06,LU,Luxembourg,Europe,49.75,6.16666666,2,0,0
2020/03/07,LU,Luxembourg,Europe,49.75,6.16666666,2,0,0
2020/03/08,LU,Luxembourg,Europe,49.75,6.16666666,3,0,0
2020/03/09,LU,Luxembourg,Europe,49.75,6.16666666,3,0,0
2020/03/10,LU,Luxembourg,Europe,49.75,6.16666666,5,0,0
2020/03/11,LU,Luxembourg,Europe,49.75,6.16666666,7,0,0
2020/03/12,LU,Luxembourg,Europe,49.75,6.16666666,19,0,0
2020/03/13,LU,Luxembourg,Europe,49.75,6.16666666,34,0,0
2020/03/14,LU,Luxembourg,Europe,49.75,6.16666666,51,0,1
2020/03/15,LU,Luxembourg,Europe,49.75,6.16666666,59,0,1
2020/03/16,LU,Luxembourg,Europe,49.75,6.16666666,77,0,1
2020/03/17,LU,Luxembourg,Europe,49.75,6.16666666,140,0,1
2020/03/18,LU,Luxembourg,Europe,49.75,6.16666666,203,0,2
2020/03/19,LU,Luxembourg,Europe,49.75,6.16666666,335,0,4
2020/03/20,LU,Luxembourg,Europe,49.75,6.16666666,484,0,4
2020/03/21,LU,Luxembourg,Europe,49.75,6.16666666,670,0,8
2020/03/22,LU,Luxembourg,Europe,49.75,6.16666666,798,6,8
2020/03/23,LU,Luxembourg,Europe,49.75,6.16666666,875,6,8
2020/03/24,LU,Luxembourg,Europe,49.75,6.16666666,1099,6,8
2020/03/25,LU,Luxembourg,Europe,49.75,6.16666666,1333,6,8
2020/03/26,LU,Luxembourg,Europe,49.75,6.16666666,1453,6,9
2020/03/27,LU,Luxembourg,Europe,49.75,6.16666666,1605,40,15
2020/03/28,LU,Luxembourg,Europe,49.75,6.16666666,1831,40,18
2020/03/29,LU,Luxembourg,Europe,49.75,6.16666666,1950,40,21
2020/03/30,LU,Luxembourg,Europe,49.75,6.16666666,1988,40,22
2020/03/31,LU,Luxembourg,Europe,49.75,6.16666666,2178,80,23
2020/04/01,LU,Luxembourg,Europe,49.75,6.16666666,2319,80,29
2020/04/02,LU,Luxembourg,Europe,49.75,6.16666666,2487,80,30
2020/04/03,LU,Luxembourg,Europe,49.75,6.16666666,2612,374,31
