day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,LV,Latvia,Europe,57,25,0,0,0
2020/01/23,LV,Latvia,Europe,57,25,0,0,0
2020/01/24,LV,Latvia,Europe,57,25,0,0,0
2020/01/25,LV,Latvia,Europe,57,25,0,0,0
2020/01/26,LV,Latvia,Europe,57,25,0,0,0
2020/01/27,LV,Latvia,Europe,57,25,0,0,0
2020/01/28,LV,Latvia,Europe,57,25,0,0,0
2020/01/29,LV,Latvia,Europe,57,25,0,0,0
2020/01/30,LV,Latvia,Europe,57,25,0,0,0
2020/01/31,LV,Latvia,Europe,57,25,0,0,0
2020/02/01,LV,Latvia,Europe,57,25,0,0,0
2020/02/02,LV,Latvia,Europe,57,25,0,0,0
2020/02/03,LV,Latvia,Europe,57,25,0,0,0
2020/02/04,LV,Latvia,Europe,57,25,0,0,0
2020/02/05,LV,Latvia,Europe,57,25,0,0,0
2020/02/06,LV,Latvia,Europe,57,25,0,0,0
2020/02/07,LV,Latvia,Europe,57,25,0,0,0
2020/02/08,LV,Latvia,Europe,57,25,0,0,0
2020/02/09,LV,Latvia,Europe,57,25,0,0,0
2020/02/10,LV,Latvia,Europe,57,25,0,0,0
2020/02/11,LV,Latvia,Europe,57,25,0,0,0
2020/02/12,LV,Latvia,Europe,57,25,0,0,0
2020/02/13,LV,Latvia,Europe,57,25,0,0,0
2020/02/14,LV,Latvia,Europe,57,25,0,0,0
2020/02/15,LV,Latvia,Europe,57,25,0,0,0
2020/02/16,LV,Latvia,Europe,57,25,0,0,0
2020/02/17,LV,Latvia,Europe,57,25,0,0,0
2020/02/18,LV,Latvia,Europe,57,25,0,0,0
2020/02/19,LV,Latvia,Europe,57,25,0,0,0
2020/02/20,LV,Latvia,Europe,57,25,0,0,0
2020/02/21,LV,Latvia,Europe,57,25,0,0,0
2020/02/22,LV,Latvia,Europe,57,25,0,0,0
2020/02/23,LV,Latvia,Europe,57,25,0,0,0
2020/02/24,LV,Latvia,Europe,57,25,0,0,0
2020/02/25,LV,Latvia,Europe,57,25,0,0,0
2020/02/26,LV,Latvia,Europe,57,25,0,0,0
2020/02/27,LV,Latvia,Europe,57,25,0,0,0
2020/02/28,LV,Latvia,Europe,57,25,0,0,0
2020/02/29,LV,Latvia,Europe,57,25,0,0,0
2020/03/01,LV,Latvia,Europe,57,25,0,0,0
2020/03/02,LV,Latvia,Europe,57,25,1,0,0
2020/03/03,LV,Latvia,Europe,57,25,1,0,0
2020/03/04,LV,Latvia,Europe,57,25,1,0,0
2020/03/05,LV,Latvia,Europe,57,25,1,0,0
2020/03/06,LV,Latvia,Europe,57,25,1,0,0
2020/03/07,LV,Latvia,Europe,57,25,1,0,0
2020/03/08,LV,Latvia,Europe,57,25,2,0,0
2020/03/09,LV,Latvia,Europe,57,25,6,0,0
2020/03/10,LV,Latvia,Europe,57,25,8,1,0
2020/03/11,LV,Latvia,Europe,57,25,10,1,0
2020/03/12,LV,Latvia,Europe,57,25,10,1,0
2020/03/13,LV,Latvia,Europe,57,25,17,1,0
2020/03/14,LV,Latvia,Europe,57,25,26,1,0
2020/03/15,LV,Latvia,Europe,57,25,30,1,0
2020/03/16,LV,Latvia,Europe,57,25,34,1,0
