day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,LY,Libya,Africa,25,17,0,0,0
2020/01/23,LY,Libya,Africa,25,17,0,0,0
2020/01/24,LY,Libya,Africa,25,17,0,0,0
2020/01/25,LY,Libya,Africa,25,17,0,0,0
2020/01/26,LY,Libya,Africa,25,17,0,0,0
2020/01/27,LY,Libya,Africa,25,17,0,0,0
2020/01/28,LY,Libya,Africa,25,17,0,0,0
2020/01/29,LY,Libya,Africa,25,17,0,0,0
2020/01/30,LY,Libya,Africa,25,17,0,0,0
2020/01/31,LY,Libya,Africa,25,17,0,0,0
2020/02/01,LY,Libya,Africa,25,17,0,0,0
2020/02/02,LY,Libya,Africa,25,17,0,0,0
2020/02/03,LY,Libya,Africa,25,17,0,0,0
2020/02/04,LY,Libya,Africa,25,17,0,0,0
2020/02/05,LY,Libya,Africa,25,17,0,0,0
2020/02/06,LY,Libya,Africa,25,17,0,0,0
2020/02/07,LY,Libya,Africa,25,17,0,0,0
2020/02/08,LY,Libya,Africa,25,17,0,0,0
2020/02/09,LY,Libya,Africa,25,17,0,0,0
2020/02/10,LY,Libya,Africa,25,17,0,0,0
2020/02/11,LY,Libya,Africa,25,17,0,0,0
2020/02/12,LY,Libya,Africa,25,17,0,0,0
2020/02/13,LY,Libya,Africa,25,17,0,0,0
2020/02/14,LY,Libya,Africa,25,17,0,0,0
2020/02/15,LY,Libya,Africa,25,17,0,0,0
2020/02/16,LY,Libya,Africa,25,17,0,0,0
2020/02/17,LY,Libya,Africa,25,17,0,0,0
2020/02/18,LY,Libya,Africa,25,17,0,0,0
2020/02/19,LY,Libya,Africa,25,17,0,0,0
2020/02/20,LY,Libya,Africa,25,17,0,0,0
2020/02/21,LY,Libya,Africa,25,17,0,0,0
2020/02/22,LY,Libya,Africa,25,17,0,0,0
2020/02/23,LY,Libya,Africa,25,17,0,0,0
2020/02/24,LY,Libya,Africa,25,17,0,0,0
2020/02/25,LY,Libya,Africa,25,17,0,0,0
2020/02/26,LY,Libya,Africa,25,17,0,0,0
2020/02/27,LY,Libya,Africa,25,17,0,0,0
2020/02/28,LY,Libya,Africa,25,17,0,0,0
2020/02/29,LY,Libya,Africa,25,17,0,0,0
2020/03/01,LY,Libya,Africa,25,17,0,0,0
2020/03/02,LY,Libya,Africa,25,17,0,0,0
2020/03/03,LY,Libya,Africa,25,17,0,0,0
2020/03/04,LY,Libya,Africa,25,17,0,0,0
2020/03/05,LY,Libya,Africa,25,17,0,0,0
2020/03/06,LY,Libya,Africa,25,17,0,0,0
2020/03/07,LY,Libya,Africa,25,17,0,0,0
2020/03/08,LY,Libya,Africa,25,17,0,0,0
2020/03/09,LY,Libya,Africa,25,17,0,0,0
2020/03/10,LY,Libya,Africa,25,17,0,0,0
2020/03/11,LY,Libya,Africa,25,17,0,0,0
2020/03/12,LY,Libya,Africa,25,17,0,0,0
2020/03/13,LY,Libya,Africa,25,17,0,0,0
2020/03/14,LY,Libya,Africa,25,17,0,0,0
2020/03/15,LY,Libya,Africa,25,17,0,0,0
2020/03/16,LY,Libya,Africa,25,17,0,0,0
2020/03/17,LY,Libya,Africa,25,17,0,0,0
2020/03/18,LY,Libya,Africa,25,17,0,0,0
2020/03/19,LY,Libya,Africa,25,17,0,0,0
2020/03/20,LY,Libya,Africa,25,17,0,0,0
2020/03/21,LY,Libya,Africa,25,17,0,0,0
2020/03/22,LY,Libya,Africa,25,17,0,0,0
2020/03/23,LY,Libya,Africa,25,17,0,0,0
2020/03/24,LY,Libya,Africa,25,17,1,0,0
2020/03/25,LY,Libya,Africa,25,17,1,0,0
2020/03/26,LY,Libya,Africa,25,17,1,0,0
2020/03/27,LY,Libya,Africa,25,17,1,0,0
2020/03/28,LY,Libya,Africa,25,17,3,0,0
2020/03/29,LY,Libya,Africa,25,17,8,0,0
2020/03/30,LY,Libya,Africa,25,17,8,0,0
2020/03/31,LY,Libya,Africa,25,17,10,0,0
2020/04/01,LY,Libya,Africa,25,17,10,0,0
2020/04/02,LY,Libya,Africa,25,17,11,0,1
2020/04/03,LY,Libya,Africa,25,17,17,0,1
2020/04/04,LY,Libya,Africa,25,17,18,0,1
2020/04/05,LY,Libya,Africa,25,17,18,0,1
2020/04/06,LY,Libya,Africa,25,17,19,1,1
2020/04/07,LY,Libya,Africa,25,17,20,1,1
2020/04/08,LY,Libya,Africa,25,17,21,8,1
2020/04/09,LY,Libya,Africa,25,17,24,8,1
