day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MA,Morocco,Africa,32,-5,0,0,0
2020/01/23,MA,Morocco,Africa,32,-5,0,0,0
2020/01/24,MA,Morocco,Africa,32,-5,0,0,0
2020/01/25,MA,Morocco,Africa,32,-5,0,0,0
2020/01/26,MA,Morocco,Africa,32,-5,0,0,0
2020/01/27,MA,Morocco,Africa,32,-5,0,0,0
2020/01/28,MA,Morocco,Africa,32,-5,0,0,0
2020/01/29,MA,Morocco,Africa,32,-5,0,0,0
2020/01/30,MA,Morocco,Africa,32,-5,0,0,0
2020/01/31,MA,Morocco,Africa,32,-5,0,0,0
2020/02/01,MA,Morocco,Africa,32,-5,0,0,0
2020/02/02,MA,Morocco,Africa,32,-5,0,0,0
2020/02/03,MA,Morocco,Africa,32,-5,0,0,0
2020/02/04,MA,Morocco,Africa,32,-5,0,0,0
2020/02/05,MA,Morocco,Africa,32,-5,0,0,0
2020/02/06,MA,Morocco,Africa,32,-5,0,0,0
2020/02/07,MA,Morocco,Africa,32,-5,0,0,0
2020/02/08,MA,Morocco,Africa,32,-5,0,0,0
2020/02/09,MA,Morocco,Africa,32,-5,0,0,0
2020/02/10,MA,Morocco,Africa,32,-5,0,0,0
2020/02/11,MA,Morocco,Africa,32,-5,0,0,0
2020/02/12,MA,Morocco,Africa,32,-5,0,0,0
2020/02/13,MA,Morocco,Africa,32,-5,0,0,0
2020/02/14,MA,Morocco,Africa,32,-5,0,0,0
2020/02/15,MA,Morocco,Africa,32,-5,0,0,0
2020/02/16,MA,Morocco,Africa,32,-5,0,0,0
2020/02/17,MA,Morocco,Africa,32,-5,0,0,0
2020/02/18,MA,Morocco,Africa,32,-5,0,0,0
2020/02/19,MA,Morocco,Africa,32,-5,0,0,0
2020/02/20,MA,Morocco,Africa,32,-5,0,0,0
2020/02/21,MA,Morocco,Africa,32,-5,0,0,0
2020/02/22,MA,Morocco,Africa,32,-5,0,0,0
2020/02/23,MA,Morocco,Africa,32,-5,0,0,0
2020/02/24,MA,Morocco,Africa,32,-5,0,0,0
2020/02/25,MA,Morocco,Africa,32,-5,0,0,0
2020/02/26,MA,Morocco,Africa,32,-5,0,0,0
2020/02/27,MA,Morocco,Africa,32,-5,0,0,0
2020/02/28,MA,Morocco,Africa,32,-5,0,0,0
2020/02/29,MA,Morocco,Africa,32,-5,0,0,0
2020/03/01,MA,Morocco,Africa,32,-5,0,0,0
2020/03/02,MA,Morocco,Africa,32,-5,1,0,0
2020/03/03,MA,Morocco,Africa,32,-5,1,0,0
2020/03/04,MA,Morocco,Africa,32,-5,1,0,0
2020/03/05,MA,Morocco,Africa,32,-5,2,0,0
2020/03/06,MA,Morocco,Africa,32,-5,2,0,0
2020/03/07,MA,Morocco,Africa,32,-5,2,0,0
2020/03/08,MA,Morocco,Africa,32,-5,2,0,0
2020/03/09,MA,Morocco,Africa,32,-5,2,0,0
2020/03/10,MA,Morocco,Africa,32,-5,3,0,1
2020/03/11,MA,Morocco,Africa,32,-5,5,0,1
2020/03/12,MA,Morocco,Africa,32,-5,6,0,1
2020/03/13,MA,Morocco,Africa,32,-5,7,1,1
2020/03/14,MA,Morocco,Africa,32,-5,17,1,1
2020/03/15,MA,Morocco,Africa,32,-5,28,1,1
2020/03/16,MA,Morocco,Africa,32,-5,29,1,1
2020/03/17,MA,Morocco,Africa,32,-5,38,1,2
2020/03/18,MA,Morocco,Africa,32,-5,49,1,2
2020/03/19,MA,Morocco,Africa,32,-5,63,1,2
2020/03/20,MA,Morocco,Africa,32,-5,77,1,3
2020/03/21,MA,Morocco,Africa,32,-5,96,3,3
2020/03/22,MA,Morocco,Africa,32,-5,115,3,4
2020/03/23,MA,Morocco,Africa,32,-5,143,5,4
2020/03/24,MA,Morocco,Africa,32,-5,170,6,5
2020/03/25,MA,Morocco,Africa,32,-5,225,7,6
2020/03/26,MA,Morocco,Africa,32,-5,275,8,11
2020/03/27,MA,Morocco,Africa,32,-5,345,11,23
2020/03/28,MA,Morocco,Africa,32,-5,402,12,25
2020/03/29,MA,Morocco,Africa,32,-5,479,13,26
2020/03/30,MA,Morocco,Africa,32,-5,556,15,33
2020/03/31,MA,Morocco,Africa,32,-5,617,24,36
2020/04/01,MA,Morocco,Africa,32,-5,654,29,39
2020/04/02,MA,Morocco,Africa,32,-5,708,31,44
2020/04/03,MA,Morocco,Africa,32,-5,791,57,48
2020/04/04,MA,Morocco,Africa,32,-5,919,66,59
2020/04/05,MA,Morocco,Africa,32,-5,1021,76,70
2020/04/06,MA,Morocco,Africa,32,-5,1120,81,80
2020/04/07,MA,Morocco,Africa,32,-5,1184,93,90
2020/04/08,MA,Morocco,Africa,32,-5,1275,97,93
2020/04/09,MA,Morocco,Africa,32,-5,1374,109,97
2020/04/10,MA,Morocco,Africa,32,-5,1448,122,107
2020/04/11,MA,Morocco,Africa,32,-5,1545,146,111
2020/04/12,MA,Morocco,Africa,32,-5,1661,177,118
2020/04/13,MA,Morocco,Africa,32,-5,1763,203,126
2020/04/14,MA,Morocco,Africa,32,-5,1888,217,126
2020/04/15,MA,Morocco,Africa,32,-5,2024,229,127
2020/04/16,MA,Morocco,Africa,32,-5,2283,249,130
2020/04/17,MA,Morocco,Africa,32,-5,2564,281,135
2020/04/18,MA,Morocco,Africa,32,-5,2685,314,137
