day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/23,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/24,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/25,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/26,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/27,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/28,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/29,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/30,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/01/31,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/01,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/02,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/03,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/04,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/05,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/06,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/07,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/08,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/09,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/10,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/11,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/12,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/13,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/14,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/15,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/16,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/17,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/18,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/19,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/20,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/21,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/22,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/23,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/24,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/25,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/26,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/27,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/28,MC,Monaco,Europe,43.73333333,7.4,0,0,0
2020/02/29,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/01,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/02,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/03,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/04,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/05,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/06,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/07,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/08,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/09,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/10,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/11,MC,Monaco,Europe,43.73333333,7.4,1,0,0
2020/03/12,MC,Monaco,Europe,43.73333333,7.4,2,0,0
2020/03/13,MC,Monaco,Europe,43.73333333,7.4,2,0,0
2020/03/14,MC,Monaco,Europe,43.73333333,7.4,2,0,0
2020/03/15,MC,Monaco,Europe,43.73333333,7.4,2,0,0
2020/03/16,MC,Monaco,Europe,43.73333333,7.4,7,0,0
2020/03/17,MC,Monaco,Europe,43.73333333,7.4,7,0,0
2020/03/18,MC,Monaco,Europe,43.73333333,7.4,7,0,0
2020/03/19,MC,Monaco,Europe,43.73333333,7.4,7,0,0
2020/03/20,MC,Monaco,Europe,43.73333333,7.4,11,0,0
2020/03/21,MC,Monaco,Europe,43.73333333,7.4,11,0,0
2020/03/22,MC,Monaco,Europe,43.73333333,7.4,23,1,0
2020/03/23,MC,Monaco,Europe,43.73333333,7.4,23,1,0
2020/03/24,MC,Monaco,Europe,43.73333333,7.4,23,1,0
2020/03/25,MC,Monaco,Europe,43.73333333,7.4,31,1,0
2020/03/26,MC,Monaco,Europe,43.73333333,7.4,33,1,0
2020/03/27,MC,Monaco,Europe,43.73333333,7.4,42,1,0
2020/03/28,MC,Monaco,Europe,43.73333333,7.4,42,1,0
2020/03/29,MC,Monaco,Europe,43.73333333,7.4,46,1,1
2020/03/30,MC,Monaco,Europe,43.73333333,7.4,49,1,1
2020/03/31,MC,Monaco,Europe,43.73333333,7.4,52,2,1
2020/04/01,MC,Monaco,Europe,43.73333333,7.4,55,2,1
2020/04/02,MC,Monaco,Europe,43.73333333,7.4,60,2,1
2020/04/03,MC,Monaco,Europe,43.73333333,7.4,64,3,1
2020/04/04,MC,Monaco,Europe,43.73333333,7.4,66,3,1
2020/04/05,MC,Monaco,Europe,43.73333333,7.4,73,3,1
2020/04/06,MC,Monaco,Europe,43.73333333,7.4,77,4,1
2020/04/07,MC,Monaco,Europe,43.73333333,7.4,79,4,1
2020/04/08,MC,Monaco,Europe,43.73333333,7.4,81,4,1
2020/04/09,MC,Monaco,Europe,43.73333333,7.4,84,5,1
2020/04/10,MC,Monaco,Europe,43.73333333,7.4,90,5,1
2020/04/11,MC,Monaco,Europe,43.73333333,7.4,92,5,1
2020/04/12,MC,Monaco,Europe,43.73333333,7.4,93,6,1
2020/04/13,MC,Monaco,Europe,43.73333333,7.4,93,6,1
2020/04/14,MC,Monaco,Europe,43.73333333,7.4,93,6,1
2020/04/15,MC,Monaco,Europe,43.73333333,7.4,93,12,3
2020/04/16,MC,Monaco,Europe,43.73333333,7.4,93,12,3
2020/04/17,MC,Monaco,Europe,43.73333333,7.4,94,20,3
2020/04/18,MC,Monaco,Europe,43.73333333,7.4,94,22,3
2020/04/19,MC,Monaco,Europe,43.73333333,7.4,94,22,3
2020/04/20,MC,Monaco,Europe,43.73333333,7.4,94,23,3
2020/04/21,MC,Monaco,Europe,43.73333333,7.4,94,26,3
2020/04/22,MC,Monaco,Europe,43.73333333,7.4,94,26,3
2020/04/23,MC,Monaco,Europe,43.73333333,7.4,94,35,4
2020/04/24,MC,Monaco,Europe,43.73333333,7.4,94,41,4
2020/04/25,MC,Monaco,Europe,43.73333333,7.4,94,42,4
2020/04/26,MC,Monaco,Europe,43.73333333,7.4,94,42,4
2020/04/27,MC,Monaco,Europe,43.73333333,7.4,95,42,4
2020/04/28,MC,Monaco,Europe,43.73333333,7.4,95,50,4
2020/04/29,MC,Monaco,Europe,43.73333333,7.4,95,58,4
2020/04/30,MC,Monaco,Europe,43.73333333,7.4,95,64,4
2020/05/01,MC,Monaco,Europe,43.73333333,7.4,95,73,4
2020/05/02,MC,Monaco,Europe,43.73333333,7.4,95,73,4
2020/05/03,MC,Monaco,Europe,43.73333333,7.4,95,78,4
2020/05/04,MC,Monaco,Europe,43.73333333,7.4,95,78,4
2020/05/05,MC,Monaco,Europe,43.73333333,7.4,95,81,4
2020/05/06,MC,Monaco,Europe,43.73333333,7.4,95,82,4
2020/05/07,MC,Monaco,Europe,43.73333333,7.4,95,82,4
2020/05/08,MC,Monaco,Europe,43.73333333,7.4,95,82,4
2020/05/09,MC,Monaco,Europe,43.73333333,7.4,96,82,4
2020/05/10,MC,Monaco,Europe,43.73333333,7.4,96,82,4
2020/05/11,MC,Monaco,Europe,43.73333333,7.4,96,85,4
2020/05/12,MC,Monaco,Europe,43.73333333,7.4,96,85,4
