day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/23,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/24,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/25,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/26,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/27,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/28,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/29,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/30,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/01/31,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/01,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/02,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/03,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/04,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/05,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/06,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/07,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/08,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/09,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/10,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/11,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/12,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/13,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/14,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/15,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/16,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/17,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/18,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/19,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/20,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/21,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/22,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/23,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/24,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/25,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/26,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/27,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/28,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/02/29,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/01,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/02,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/03,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/04,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/05,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/06,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/07,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/08,MF,Saint Martin,Americas,18.08333333,-63.95,0,0,0
2020/03/09,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/10,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/11,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/12,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/13,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/14,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/15,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/16,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/17,MF,Saint Martin,Americas,18.08333333,-63.95,2,0,0
2020/03/18,MF,Saint Martin,Americas,18.08333333,-63.95,3,0,0
2020/03/19,MF,Saint Martin,Americas,18.08333333,-63.95,4,0,0
2020/03/20,MF,Saint Martin,Americas,18.08333333,-63.95,4,0,0
2020/03/21,MF,Saint Martin,Americas,18.08333333,-63.95,4,0,0
2020/03/22,MF,Saint Martin,Americas,18.08333333,-63.95,4,0,0
2020/03/23,MF,Saint Martin,Americas,18.08333333,-63.95,8,0,0
2020/03/24,MF,Saint Martin,Americas,18.08333333,-63.95,8,0,0
