day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ML,Mali,Africa,17,-4,0,0,0
2020/01/23,ML,Mali,Africa,17,-4,0,0,0
2020/01/24,ML,Mali,Africa,17,-4,0,0,0
2020/01/25,ML,Mali,Africa,17,-4,0,0,0
2020/01/26,ML,Mali,Africa,17,-4,0,0,0
2020/01/27,ML,Mali,Africa,17,-4,0,0,0
2020/01/28,ML,Mali,Africa,17,-4,0,0,0
2020/01/29,ML,Mali,Africa,17,-4,0,0,0
2020/01/30,ML,Mali,Africa,17,-4,0,0,0
2020/01/31,ML,Mali,Africa,17,-4,0,0,0
2020/02/01,ML,Mali,Africa,17,-4,0,0,0
2020/02/02,ML,Mali,Africa,17,-4,0,0,0
2020/02/03,ML,Mali,Africa,17,-4,0,0,0
2020/02/04,ML,Mali,Africa,17,-4,0,0,0
2020/02/05,ML,Mali,Africa,17,-4,0,0,0
2020/02/06,ML,Mali,Africa,17,-4,0,0,0
2020/02/07,ML,Mali,Africa,17,-4,0,0,0
2020/02/08,ML,Mali,Africa,17,-4,0,0,0
2020/02/09,ML,Mali,Africa,17,-4,0,0,0
2020/02/10,ML,Mali,Africa,17,-4,0,0,0
2020/02/11,ML,Mali,Africa,17,-4,0,0,0
2020/02/12,ML,Mali,Africa,17,-4,0,0,0
2020/02/13,ML,Mali,Africa,17,-4,0,0,0
2020/02/14,ML,Mali,Africa,17,-4,0,0,0
2020/02/15,ML,Mali,Africa,17,-4,0,0,0
2020/02/16,ML,Mali,Africa,17,-4,0,0,0
2020/02/17,ML,Mali,Africa,17,-4,0,0,0
2020/02/18,ML,Mali,Africa,17,-4,0,0,0
2020/02/19,ML,Mali,Africa,17,-4,0,0,0
2020/02/20,ML,Mali,Africa,17,-4,0,0,0
2020/02/21,ML,Mali,Africa,17,-4,0,0,0
2020/02/22,ML,Mali,Africa,17,-4,0,0,0
2020/02/23,ML,Mali,Africa,17,-4,0,0,0
2020/02/24,ML,Mali,Africa,17,-4,0,0,0
2020/02/25,ML,Mali,Africa,17,-4,0,0,0
2020/02/26,ML,Mali,Africa,17,-4,0,0,0
2020/02/27,ML,Mali,Africa,17,-4,0,0,0
2020/02/28,ML,Mali,Africa,17,-4,0,0,0
2020/02/29,ML,Mali,Africa,17,-4,0,0,0
2020/03/01,ML,Mali,Africa,17,-4,0,0,0
2020/03/02,ML,Mali,Africa,17,-4,0,0,0
2020/03/03,ML,Mali,Africa,17,-4,0,0,0
2020/03/04,ML,Mali,Africa,17,-4,0,0,0
2020/03/05,ML,Mali,Africa,17,-4,0,0,0
2020/03/06,ML,Mali,Africa,17,-4,0,0,0
2020/03/07,ML,Mali,Africa,17,-4,0,0,0
2020/03/08,ML,Mali,Africa,17,-4,0,0,0
2020/03/09,ML,Mali,Africa,17,-4,0,0,0
2020/03/10,ML,Mali,Africa,17,-4,0,0,0
2020/03/11,ML,Mali,Africa,17,-4,0,0,0
2020/03/12,ML,Mali,Africa,17,-4,0,0,0
2020/03/13,ML,Mali,Africa,17,-4,0,0,0
2020/03/14,ML,Mali,Africa,17,-4,0,0,0
2020/03/15,ML,Mali,Africa,17,-4,0,0,0
2020/03/16,ML,Mali,Africa,17,-4,0,0,0
2020/03/17,ML,Mali,Africa,17,-4,0,0,0
2020/03/18,ML,Mali,Africa,17,-4,0,0,0
2020/03/19,ML,Mali,Africa,17,-4,0,0,0
2020/03/20,ML,Mali,Africa,17,-4,0,0,0
2020/03/21,ML,Mali,Africa,17,-4,0,0,0
2020/03/22,ML,Mali,Africa,17,-4,0,0,0
2020/03/23,ML,Mali,Africa,17,-4,0,0,0
2020/03/24,ML,Mali,Africa,17,-4,0,0,0
2020/03/25,ML,Mali,Africa,17,-4,2,0,0
2020/03/26,ML,Mali,Africa,17,-4,4,0,0
2020/03/27,ML,Mali,Africa,17,-4,11,0,0
2020/03/28,ML,Mali,Africa,17,-4,18,0,0
2020/03/29,ML,Mali,Africa,17,-4,18,0,1
2020/03/30,ML,Mali,Africa,17,-4,25,0,2
2020/03/31,ML,Mali,Africa,17,-4,28,0,2
2020/04/01,ML,Mali,Africa,17,-4,31,0,3
2020/04/02,ML,Mali,Africa,17,-4,36,0,3
2020/04/03,ML,Mali,Africa,17,-4,39,0,3
2020/04/04,ML,Mali,Africa,17,-4,41,1,3
2020/04/05,ML,Mali,Africa,17,-4,45,1,5
2020/04/06,ML,Mali,Africa,17,-4,47,9,5
2020/04/07,ML,Mali,Africa,17,-4,56,12,5
2020/04/08,ML,Mali,Africa,17,-4,59,16,7
2020/04/09,ML,Mali,Africa,17,-4,74,22,7
2020/04/10,ML,Mali,Africa,17,-4,87,22,7
2020/04/11,ML,Mali,Africa,17,-4,87,22,7
2020/04/12,ML,Mali,Africa,17,-4,105,22,9
2020/04/13,ML,Mali,Africa,17,-4,123,26,10
2020/04/14,ML,Mali,Africa,17,-4,144,34,13
2020/04/15,ML,Mali,Africa,17,-4,148,34,13
2020/04/16,ML,Mali,Africa,17,-4,171,34,13
2020/04/17,ML,Mali,Africa,17,-4,171,34,13
2020/04/18,ML,Mali,Africa,17,-4,216,41,13
2020/04/19,ML,Mali,Africa,17,-4,224,42,14
2020/04/20,ML,Mali,Africa,17,-4,246,56,14
2020/04/21,ML,Mali,Africa,17,-4,258,57,14
2020/04/22,ML,Mali,Africa,17,-4,293,73,17
2020/04/23,ML,Mali,Africa,17,-4,309,77,21
2020/04/24,ML,Mali,Africa,17,-4,325,87,21
2020/04/25,ML,Mali,Africa,17,-4,370,91,21
2020/04/26,ML,Mali,Africa,17,-4,389,112,23
2020/04/27,ML,Mali,Africa,17,-4,408,113,23
2020/04/28,ML,Mali,Africa,17,-4,424,122,24
2020/04/29,ML,Mali,Africa,17,-4,482,129,25
2020/04/30,ML,Mali,Africa,17,-4,490,135,26
2020/05/01,ML,Mali,Africa,17,-4,508,196,26
2020/05/02,ML,Mali,Africa,17,-4,544,206,26
2020/05/03,ML,Mali,Africa,17,-4,563,213,27
2020/05/04,ML,Mali,Africa,17,-4,580,223,29
2020/05/05,ML,Mali,Africa,17,-4,612,228,32
2020/05/06,ML,Mali,Africa,17,-4,631,261,32
2020/05/07,ML,Mali,Africa,17,-4,650,271,32
2020/05/08,ML,Mali,Africa,17,-4,668,285,35
2020/05/09,ML,Mali,Africa,17,-4,692,298,37
2020/05/10,ML,Mali,Africa,17,-4,704,351,38
2020/05/11,ML,Mali,Africa,17,-4,712,377,39
2020/05/12,ML,Mali,Africa,17,-4,730,398,40
2020/05/13,ML,Mali,Africa,17,-4,758,412,44
2020/05/14,ML,Mali,Africa,17,-4,779,436,46
2020/05/15,ML,Mali,Africa,17,-4,806,455,46
2020/05/16,ML,Mali,Africa,17,-4,835,479,48
2020/05/17,ML,Mali,Africa,17,-4,860,494,52
2020/05/18,ML,Mali,Africa,17,-4,874,512,52
2020/05/19,ML,Mali,Africa,17,-4,901,529,53
2020/05/20,ML,Mali,Africa,17,-4,931,543,55
2020/05/21,ML,Mali,Africa,17,-4,947,558,60
2020/05/22,ML,Mali,Africa,17,-4,969,560,62
2020/05/23,ML,Mali,Africa,17,-4,1015,574,63
2020/05/24,ML,Mali,Africa,17,-4,1030,597,65
2020/05/25,ML,Mali,Africa,17,-4,1059,604,67
2020/05/26,ML,Mali,Africa,17,-4,1077,617,70
2020/05/27,ML,Mali,Africa,17,-4,1116,632,70
2020/05/28,ML,Mali,Africa,17,-4,1194,652,72
2020/05/29,ML,Mali,Africa,17,-4,1226,669,73
2020/05/30,ML,Mali,Africa,17,-4,1250,696,76
2020/05/31,ML,Mali,Africa,17,-4,1265,716,77
2020/06/01,ML,Mali,Africa,17,-4,1315,744,78
2020/06/02,ML,Mali,Africa,17,-4,1351,769,78
2020/06/03,ML,Mali,Africa,17,-4,1386,788,79
2020/06/04,ML,Mali,Africa,17,-4,1461,806,85
2020/06/05,ML,Mali,Africa,17,-4,1485,816,87
2020/06/06,ML,Mali,Africa,17,-4,1523,845,90
2020/06/07,ML,Mali,Africa,17,-4,1533,873,90
2020/06/08,ML,Mali,Africa,17,-4,1547,916,92
2020/06/09,ML,Mali,Africa,17,-4,1586,931,94
2020/06/10,ML,Mali,Africa,17,-4,1667,948,96
2020/06/11,ML,Mali,Africa,17,-4,1722,989,97
2020/06/12,ML,Mali,Africa,17,-4,1752,1023,101
2020/06/13,ML,Mali,Africa,17,-4,1776,1058,104
2020/06/14,ML,Mali,Africa,17,-4,1809,1088,104
2020/06/15,ML,Mali,Africa,17,-4,1860,1125,104
2020/06/16,ML,Mali,Africa,17,-4,1885,1145,104
2020/06/17,ML,Mali,Africa,17,-4,1890,1168,107
2020/06/18,ML,Mali,Africa,17,-4,1906,1192,107
2020/06/19,ML,Mali,Africa,17,-4,1923,1217,108
2020/06/20,ML,Mali,Africa,17,-4,1923,1217,108
2020/06/21,ML,Mali,Africa,17,-4,1933,1255,109
2020/06/22,ML,Mali,Africa,17,-4,1961,1266,111
2020/06/23,ML,Mali,Africa,17,-4,1978,1302,111
2020/06/24,ML,Mali,Africa,17,-4,2005,1354,112
2020/06/25,ML,Mali,Africa,17,-4,2039,1383,113
2020/06/26,ML,Mali,Africa,17,-4,2060,1387,113
2020/06/27,ML,Mali,Africa,17,-4,2118,1398,113
2020/06/28,ML,Mali,Africa,17,-4,2147,1432,114
2020/06/29,ML,Mali,Africa,17,-4,2173,1447,115
2020/06/30,ML,Mali,Africa,17,-4,2181,1474,116
2020/07/01,ML,Mali,Africa,17,-4,2202,1483,116
2020/07/02,ML,Mali,Africa,17,-4,2260,1502,117
2020/07/03,ML,Mali,Africa,17,-4,2285,1507,117
