day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MM,Myanmar,Asia,22,98,0,0,0
2020/01/23,MM,Myanmar,Asia,22,98,0,0,0
2020/01/24,MM,Myanmar,Asia,22,98,0,0,0
2020/01/25,MM,Myanmar,Asia,22,98,0,0,0
2020/01/26,MM,Myanmar,Asia,22,98,0,0,0
2020/01/27,MM,Myanmar,Asia,22,98,0,0,0
2020/01/28,MM,Myanmar,Asia,22,98,0,0,0
2020/01/29,MM,Myanmar,Asia,22,98,0,0,0
2020/01/30,MM,Myanmar,Asia,22,98,0,0,0
2020/01/31,MM,Myanmar,Asia,22,98,0,0,0
2020/02/01,MM,Myanmar,Asia,22,98,0,0,0
2020/02/02,MM,Myanmar,Asia,22,98,0,0,0
2020/02/03,MM,Myanmar,Asia,22,98,0,0,0
2020/02/04,MM,Myanmar,Asia,22,98,0,0,0
2020/02/05,MM,Myanmar,Asia,22,98,0,0,0
2020/02/06,MM,Myanmar,Asia,22,98,0,0,0
2020/02/07,MM,Myanmar,Asia,22,98,0,0,0
2020/02/08,MM,Myanmar,Asia,22,98,0,0,0
2020/02/09,MM,Myanmar,Asia,22,98,0,0,0
2020/02/10,MM,Myanmar,Asia,22,98,0,0,0
2020/02/11,MM,Myanmar,Asia,22,98,0,0,0
2020/02/12,MM,Myanmar,Asia,22,98,0,0,0
2020/02/13,MM,Myanmar,Asia,22,98,0,0,0
2020/02/14,MM,Myanmar,Asia,22,98,0,0,0
2020/02/15,MM,Myanmar,Asia,22,98,0,0,0
2020/02/16,MM,Myanmar,Asia,22,98,0,0,0
2020/02/17,MM,Myanmar,Asia,22,98,0,0,0
2020/02/18,MM,Myanmar,Asia,22,98,0,0,0
2020/02/19,MM,Myanmar,Asia,22,98,0,0,0
2020/02/20,MM,Myanmar,Asia,22,98,0,0,0
2020/02/21,MM,Myanmar,Asia,22,98,0,0,0
2020/02/22,MM,Myanmar,Asia,22,98,0,0,0
2020/02/23,MM,Myanmar,Asia,22,98,0,0,0
2020/02/24,MM,Myanmar,Asia,22,98,0,0,0
2020/02/25,MM,Myanmar,Asia,22,98,0,0,0
2020/02/26,MM,Myanmar,Asia,22,98,0,0,0
2020/02/27,MM,Myanmar,Asia,22,98,0,0,0
2020/02/28,MM,Myanmar,Asia,22,98,0,0,0
2020/02/29,MM,Myanmar,Asia,22,98,0,0,0
2020/03/01,MM,Myanmar,Asia,22,98,0,0,0
2020/03/02,MM,Myanmar,Asia,22,98,0,0,0
2020/03/03,MM,Myanmar,Asia,22,98,0,0,0
2020/03/04,MM,Myanmar,Asia,22,98,0,0,0
2020/03/05,MM,Myanmar,Asia,22,98,0,0,0
2020/03/06,MM,Myanmar,Asia,22,98,0,0,0
2020/03/07,MM,Myanmar,Asia,22,98,0,0,0
2020/03/08,MM,Myanmar,Asia,22,98,0,0,0
2020/03/09,MM,Myanmar,Asia,22,98,0,0,0
2020/03/10,MM,Myanmar,Asia,22,98,0,0,0
2020/03/11,MM,Myanmar,Asia,22,98,0,0,0
2020/03/12,MM,Myanmar,Asia,22,98,0,0,0
2020/03/13,MM,Myanmar,Asia,22,98,0,0,0
2020/03/14,MM,Myanmar,Asia,22,98,0,0,0
2020/03/15,MM,Myanmar,Asia,22,98,0,0,0
2020/03/16,MM,Myanmar,Asia,22,98,0,0,0
2020/03/17,MM,Myanmar,Asia,22,98,0,0,0
2020/03/18,MM,Myanmar,Asia,22,98,0,0,0
2020/03/19,MM,Myanmar,Asia,22,98,0,0,0
2020/03/20,MM,Myanmar,Asia,22,98,0,0,0
2020/03/21,MM,Myanmar,Asia,22,98,0,0,0
2020/03/22,MM,Myanmar,Asia,22,98,0,0,0
2020/03/23,MM,Myanmar,Asia,22,98,2,0,0
2020/03/24,MM,Myanmar,Asia,22,98,3,0,0
2020/03/25,MM,Myanmar,Asia,22,98,3,0,0
2020/03/26,MM,Myanmar,Asia,22,98,5,0,0
2020/03/27,MM,Myanmar,Asia,22,98,8,0,0
2020/03/28,MM,Myanmar,Asia,22,98,8,0,0
2020/03/29,MM,Myanmar,Asia,22,98,10,0,0
2020/03/30,MM,Myanmar,Asia,22,98,14,0,0
2020/03/31,MM,Myanmar,Asia,22,98,15,0,1
2020/04/01,MM,Myanmar,Asia,22,98,16,0,1
2020/04/02,MM,Myanmar,Asia,22,98,20,0,1
2020/04/03,MM,Myanmar,Asia,22,98,20,0,1
2020/04/04,MM,Myanmar,Asia,22,98,21,0,1
2020/04/05,MM,Myanmar,Asia,22,98,21,0,1
2020/04/06,MM,Myanmar,Asia,22,98,22,0,1
2020/04/07,MM,Myanmar,Asia,22,98,22,0,1
2020/04/08,MM,Myanmar,Asia,22,98,22,0,3
2020/04/09,MM,Myanmar,Asia,22,98,23,2,3
2020/04/10,MM,Myanmar,Asia,22,98,27,2,3
2020/04/11,MM,Myanmar,Asia,22,98,38,2,3
2020/04/12,MM,Myanmar,Asia,22,98,41,2,4
2020/04/13,MM,Myanmar,Asia,22,98,62,2,4
2020/04/14,MM,Myanmar,Asia,22,98,63,2,4
2020/04/15,MM,Myanmar,Asia,22,98,74,2,4
2020/04/16,MM,Myanmar,Asia,22,98,85,2,4
2020/04/17,MM,Myanmar,Asia,22,98,88,5,4
2020/04/18,MM,Myanmar,Asia,22,98,98,5,5
2020/04/19,MM,Myanmar,Asia,22,98,111,7,5
2020/04/20,MM,Myanmar,Asia,22,98,119,7,5
2020/04/21,MM,Myanmar,Asia,22,98,121,7,5
2020/04/22,MM,Myanmar,Asia,22,98,123,7,5
2020/04/23,MM,Myanmar,Asia,22,98,132,9,5
2020/04/24,MM,Myanmar,Asia,22,98,144,9,5
2020/04/25,MM,Myanmar,Asia,22,98,144,10,5
2020/04/26,MM,Myanmar,Asia,22,98,146,10,5
2020/04/27,MM,Myanmar,Asia,22,98,146,16,5
2020/04/28,MM,Myanmar,Asia,22,98,149,16,5
2020/04/29,MM,Myanmar,Asia,22,98,150,27,6
2020/04/30,MM,Myanmar,Asia,22,98,150,27,6
2020/05/01,MM,Myanmar,Asia,22,98,151,31,6
2020/05/02,MM,Myanmar,Asia,22,98,151,37,6
2020/05/03,MM,Myanmar,Asia,22,98,155,43,6
2020/05/04,MM,Myanmar,Asia,22,98,161,49,6
2020/05/05,MM,Myanmar,Asia,22,98,161,49,6
2020/05/06,MM,Myanmar,Asia,22,98,161,50,6
2020/05/07,MM,Myanmar,Asia,22,98,176,62,6
2020/05/08,MM,Myanmar,Asia,22,98,177,67,6
2020/05/09,MM,Myanmar,Asia,22,98,178,68,6
2020/05/10,MM,Myanmar,Asia,22,98,180,72,6
2020/05/11,MM,Myanmar,Asia,22,98,180,74,6
2020/05/12,MM,Myanmar,Asia,22,98,180,76,6
2020/05/13,MM,Myanmar,Asia,22,98,181,79,6
2020/05/14,MM,Myanmar,Asia,22,98,181,84,6
2020/05/15,MM,Myanmar,Asia,22,98,181,89,6
2020/05/16,MM,Myanmar,Asia,22,98,182,96,6
2020/05/17,MM,Myanmar,Asia,22,98,184,97,6
2020/05/18,MM,Myanmar,Asia,22,98,188,101,6
2020/05/19,MM,Myanmar,Asia,22,98,193,104,6
2020/05/20,MM,Myanmar,Asia,22,98,199,108,6
2020/05/21,MM,Myanmar,Asia,22,98,199,108,6
2020/05/22,MM,Myanmar,Asia,22,98,199,116,6
2020/05/23,MM,Myanmar,Asia,22,98,201,120,6
2020/05/24,MM,Myanmar,Asia,22,98,201,122,6
2020/05/25,MM,Myanmar,Asia,22,98,203,123,6
2020/05/26,MM,Myanmar,Asia,22,98,206,124,6
2020/05/27,MM,Myanmar,Asia,22,98,206,126,6
2020/05/28,MM,Myanmar,Asia,22,98,206,126,6
2020/05/29,MM,Myanmar,Asia,22,98,207,130,6
2020/05/30,MM,Myanmar,Asia,22,98,224,130,6
