day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/23,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/24,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/25,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/26,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/27,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/28,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/29,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/30,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/01/31,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/01,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/02,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/03,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/04,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/05,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/06,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/07,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/08,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/09,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/10,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/11,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/12,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/13,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/14,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/15,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/16,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/17,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/18,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/19,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/20,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/21,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/22,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/23,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/24,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/25,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/26,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/27,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/28,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/02/29,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/01,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/02,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/03,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/04,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/05,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/06,MQ,Martinique,Americas,14.666667,-61,0,0,0
2020/03/07,MQ,Martinique,Americas,14.666667,-61,2,0,0
2020/03/08,MQ,Martinique,Americas,14.666667,-61,2,0,0
2020/03/09,MQ,Martinique,Americas,14.666667,-61,2,0,0
2020/03/10,MQ,Martinique,Americas,14.666667,-61,2,0,0
2020/03/11,MQ,Martinique,Americas,14.666667,-61,3,0,0
2020/03/12,MQ,Martinique,Americas,14.666667,-61,3,0,0
2020/03/13,MQ,Martinique,Americas,14.666667,-61,3,0,0
2020/03/14,MQ,Martinique,Americas,14.666667,-61,9,0,0
2020/03/15,MQ,Martinique,Americas,14.666667,-61,9,0,0
2020/03/16,MQ,Martinique,Americas,14.666667,-61,15,0,1
2020/03/17,MQ,Martinique,Americas,14.666667,-61,16,0,1
2020/03/18,MQ,Martinique,Americas,14.666667,-61,19,0,1
2020/03/19,MQ,Martinique,Americas,14.666667,-61,23,0,1
2020/03/20,MQ,Martinique,Americas,14.666667,-61,32,0,1
2020/03/21,MQ,Martinique,Americas,14.666667,-61,32,0,1
2020/03/22,MQ,Martinique,Americas,14.666667,-61,37,0,1
2020/03/23,MQ,Martinique,Americas,14.666667,-61,53,0,1
2020/03/24,MQ,Martinique,Americas,14.666667,-61,57,0,1
2020/03/25,MQ,Martinique,Americas,14.666667,-61,66,0,1
2020/03/26,MQ,Martinique,Americas,14.666667,-61,66,0,1
2020/03/27,MQ,Martinique,Americas,14.666667,-61,81,0,1
2020/03/28,MQ,Martinique,Americas,14.666667,-61,93,0,1
2020/03/29,MQ,Martinique,Americas,14.666667,-61,93,0,1
2020/03/30,MQ,Martinique,Americas,14.666667,-61,93,0,1
2020/03/31,MQ,Martinique,Americas,14.666667,-61,128,27,3
2020/04/01,MQ,Martinique,Americas,14.666667,-61,135,27,3
2020/04/02,MQ,Martinique,Americas,14.666667,-61,138,27,3
2020/04/03,MQ,Martinique,Americas,14.666667,-61,143,27,3
2020/04/04,MQ,Martinique,Americas,14.666667,-61,145,27,3
2020/04/05,MQ,Martinique,Americas,14.666667,-61,149,50,4
2020/04/06,MQ,Martinique,Americas,14.666667,-61,151,50,4
2020/04/07,MQ,Martinique,Americas,14.666667,-61,152,50,4
2020/04/08,MQ,Martinique,Americas,14.666667,-61,154,50,6
2020/04/09,MQ,Martinique,Americas,14.666667,-61,154,50,6
2020/04/10,MQ,Martinique,Americas,14.666667,-61,155,50,6
2020/04/11,MQ,Martinique,Americas,14.666667,-61,155,50,6
2020/04/12,MQ,Martinique,Americas,14.666667,-61,155,50,6
2020/04/13,MQ,Martinique,Americas,14.666667,-61,157,50,6
2020/04/14,MQ,Martinique,Americas,14.666667,-61,157,50,6
2020/04/15,MQ,Martinique,Americas,14.666667,-61,158,73,8
2020/04/16,MQ,Martinique,Americas,14.666667,-61,158,73,8
2020/04/17,MQ,Martinique,Americas,14.666667,-61,158,73,8
2020/04/18,MQ,Martinique,Americas,14.666667,-61,158,73,8
2020/04/19,MQ,Martinique,Americas,14.666667,-61,163,73,12
2020/04/20,MQ,Martinique,Americas,14.666667,-61,163,73,12
2020/04/21,MQ,Martinique,Americas,14.666667,-61,163,73,14
2020/04/22,MQ,Martinique,Americas,14.666667,-61,164,73,14
2020/04/23,MQ,Martinique,Americas,14.666667,-61,164,73,14
2020/04/24,MQ,Martinique,Americas,14.666667,-61,170,77,14
2020/04/25,MQ,Martinique,Americas,14.666667,-61,175,77,14
2020/04/26,MQ,Martinique,Americas,14.666667,-61,175,77,14
2020/04/27,MQ,Martinique,Americas,14.666667,-61,175,77,14
2020/04/28,MQ,Martinique,Americas,14.666667,-61,175,83,14
2020/04/29,MQ,Martinique,Americas,14.666667,-61,175,83,14
2020/04/30,MQ,Martinique,Americas,14.666667,-61,178,83,14
2020/05/01,MQ,Martinique,Americas,14.666667,-61,179,83,14
2020/05/02,MQ,Martinique,Americas,14.666667,-61,179,83,14
2020/05/03,MQ,Martinique,Americas,14.666667,-61,179,83,14
2020/05/04,MQ,Martinique,Americas,14.666667,-61,181,83,14
2020/05/05,MQ,Martinique,Americas,14.666667,-61,181,83,14
2020/05/06,MQ,Martinique,Americas,14.666667,-61,182,83,14
2020/05/07,MQ,Martinique,Americas,14.666667,-61,183,83,14
2020/05/08,MQ,Martinique,Americas,14.666667,-61,186,83,14
2020/05/09,MQ,Martinique,Americas,14.666667,-61,186,83,14
2020/05/10,MQ,Martinique,Americas,14.666667,-61,186,83,14
2020/05/11,MQ,Martinique,Americas,14.666667,-61,187,83,14
2020/05/12,MQ,Martinique,Americas,14.666667,-61,187,91,14
2020/05/13,MQ,Martinique,Americas,14.666667,-61,187,91,14
2020/05/14,MQ,Martinique,Americas,14.666667,-61,189,91,14
2020/05/15,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/16,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/17,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/18,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/19,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/20,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/21,MQ,Martinique,Americas,14.666667,-61,192,91,14
2020/05/22,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/23,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/24,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/25,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/26,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/27,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/28,MQ,Martinique,Americas,14.666667,-61,197,91,14
2020/05/29,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/05/30,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/05/31,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/06/01,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/06/02,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/06/03,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/06/04,MQ,Martinique,Americas,14.666667,-61,200,98,14
2020/06/05,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/06,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/07,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/08,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/09,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/10,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/11,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/12,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/13,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/14,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/15,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/16,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/17,MQ,Martinique,Americas,14.666667,-61,202,98,14
2020/06/18,MQ,Martinique,Americas,14.666667,-61,221,98,14
2020/06/19,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/20,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/21,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/22,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/23,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/24,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/25,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/26,MQ,Martinique,Americas,14.666667,-61,236,98,14
2020/06/27,MQ,Martinique,Americas,14.666667,-61,242,98,14
2020/06/28,MQ,Martinique,Americas,14.666667,-61,242,98,14
2020/06/29,MQ,Martinique,Americas,14.666667,-61,242,98,14
2020/06/30,MQ,Martinique,Americas,14.666667,-61,242,98,14
2020/07/01,MQ,Martinique,Americas,14.666667,-61,242,98,14
2020/07/02,MQ,Martinique,Americas,14.666667,-61,242,98,14
2020/07/03,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/04,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/05,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/06,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/07,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/08,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/09,MQ,Martinique,Americas,14.666667,-61,249,98,14
2020/07/10,MQ,Martinique,Americas,14.666667,-61,255,98,15
2020/07/11,MQ,Martinique,Americas,14.666667,-61,255,98,15
2020/07/12,MQ,Martinique,Americas,14.666667,-61,255,98,15
2020/07/13,MQ,Martinique,Americas,14.666667,-61,255,98,15
2020/07/14,MQ,Martinique,Americas,14.666667,-61,255,98,15
