day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/23,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/24,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/25,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/26,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/27,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/28,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/29,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/30,MR,Mauritania,Africa,20,-12,0,0,0
2020/01/31,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/01,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/02,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/03,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/04,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/05,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/06,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/07,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/08,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/09,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/10,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/11,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/12,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/13,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/14,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/15,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/16,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/17,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/18,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/19,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/20,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/21,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/22,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/23,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/24,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/25,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/26,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/27,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/28,MR,Mauritania,Africa,20,-12,0,0,0
2020/02/29,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/01,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/02,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/03,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/04,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/05,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/06,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/07,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/08,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/09,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/10,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/11,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/12,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/13,MR,Mauritania,Africa,20,-12,0,0,0
2020/03/14,MR,Mauritania,Africa,20,-12,1,0,0
2020/03/15,MR,Mauritania,Africa,20,-12,1,0,0
2020/03/16,MR,Mauritania,Africa,20,-12,1,0,0
2020/03/17,MR,Mauritania,Africa,20,-12,1,0,0
2020/03/18,MR,Mauritania,Africa,20,-12,1,0,0
2020/03/19,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/20,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/21,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/22,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/23,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/24,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/25,MR,Mauritania,Africa,20,-12,2,0,0
2020/03/26,MR,Mauritania,Africa,20,-12,3,0,0
2020/03/27,MR,Mauritania,Africa,20,-12,3,0,0
2020/03/28,MR,Mauritania,Africa,20,-12,5,0,0
2020/03/29,MR,Mauritania,Africa,20,-12,5,2,0
2020/03/30,MR,Mauritania,Africa,20,-12,6,2,1
2020/03/31,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/01,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/02,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/03,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/04,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/05,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/06,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/07,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/08,MR,Mauritania,Africa,20,-12,6,2,1
2020/04/09,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/10,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/11,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/12,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/13,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/14,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/15,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/16,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/17,MR,Mauritania,Africa,20,-12,7,2,1
2020/04/18,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/19,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/20,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/21,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/22,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/23,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/24,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/25,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/26,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/27,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/28,MR,Mauritania,Africa,20,-12,7,6,1
2020/04/29,MR,Mauritania,Africa,20,-12,8,6,1
2020/04/30,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/01,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/02,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/03,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/04,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/05,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/06,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/07,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/08,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/09,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/10,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/11,MR,Mauritania,Africa,20,-12,8,6,1
2020/05/12,MR,Mauritania,Africa,20,-12,9,6,1
