day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/23,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/24,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/25,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/26,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/27,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/28,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/29,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/30,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/01/31,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/01,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/02,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/03,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/04,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/05,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/06,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/07,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/08,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/09,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/10,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/11,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/12,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/13,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/14,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/15,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/16,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/17,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/18,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/19,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/20,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/21,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/22,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/23,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/24,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/25,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/26,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/27,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/28,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/02/29,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/01,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/02,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/03,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/04,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/05,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/06,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/07,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/08,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/09,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/10,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/11,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/12,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/13,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/14,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/15,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/16,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/17,MS,Montserrat,Americas,16.75,-62.2,0,0,0
2020/03/18,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/19,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/20,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/21,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/22,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/23,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/24,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/25,MS,Montserrat,Americas,16.75,-62.2,1,0,0
2020/03/26,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/03/27,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/03/28,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/03/29,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/03/30,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/03/31,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/04/01,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/04/02,MS,Montserrat,Americas,16.75,-62.2,5,0,0
2020/04/03,MS,Montserrat,Americas,16.75,-62.2,6,0,0
2020/04/04,MS,Montserrat,Americas,16.75,-62.2,6,0,0
2020/04/05,MS,Montserrat,Americas,16.75,-62.2,6,0,0
2020/04/06,MS,Montserrat,Americas,16.75,-62.2,6,0,0
2020/04/07,MS,Montserrat,Americas,16.75,-62.2,9,0,0
2020/04/08,MS,Montserrat,Americas,16.75,-62.2,9,0,0
2020/04/09,MS,Montserrat,Americas,16.75,-62.2,9,0,0
2020/04/10,MS,Montserrat,Americas,16.75,-62.2,9,0,0
2020/04/11,MS,Montserrat,Americas,16.75,-62.2,9,0,0
2020/04/12,MS,Montserrat,Americas,16.75,-62.2,9,0,0
2020/04/13,MS,Montserrat,Americas,16.75,-62.2,11,1,0
2020/04/14,MS,Montserrat,Americas,16.75,-62.2,11,1,0
2020/04/15,MS,Montserrat,Americas,16.75,-62.2,11,1,0
2020/04/16,MS,Montserrat,Americas,16.75,-62.2,11,1,0
2020/04/17,MS,Montserrat,Americas,16.75,-62.2,11,1,0
2020/04/18,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/19,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/20,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/21,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/22,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/23,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/24,MS,Montserrat,Americas,16.75,-62.2,11,2,0
2020/04/25,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/04/26,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/04/27,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/04/28,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/04/29,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/04/30,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/05/01,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/05/02,MS,Montserrat,Americas,16.75,-62.2,11,2,1
2020/05/03,MS,Montserrat,Americas,16.75,-62.2,11,7,1
2020/05/04,MS,Montserrat,Americas,16.75,-62.2,11,7,1
2020/05/05,MS,Montserrat,Americas,16.75,-62.2,11,7,1
2020/05/06,MS,Montserrat,Americas,16.75,-62.2,11,7,1
2020/05/07,MS,Montserrat,Americas,16.75,-62.2,11,7,1
2020/05/08,MS,Montserrat,Americas,16.75,-62.2,11,7,1
2020/05/09,MS,Montserrat,Americas,16.75,-62.2,11,8,1
2020/05/10,MS,Montserrat,Americas,16.75,-62.2,11,8,1
2020/05/11,MS,Montserrat,Americas,16.75,-62.2,11,8,1
2020/05/12,MS,Montserrat,Americas,16.75,-62.2,11,8,1
2020/05/13,MS,Montserrat,Americas,16.75,-62.2,11,8,1
2020/05/14,MS,Montserrat,Americas,16.75,-62.2,11,8,1
