day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/23,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/24,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/25,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/26,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/27,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/28,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/29,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/30,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/01/31,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/01,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/02,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/03,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/04,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/05,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/06,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/07,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/08,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/09,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/10,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/11,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/12,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/13,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/14,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/15,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/16,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/17,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/18,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/19,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/20,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/21,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/22,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/23,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
2020/02/24,MU,Mauritius,Africa,-20.28333333,57.55,0,0,0
