day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MX,Mexico,Americas,23,-102,0,0,0
2020/01/23,MX,Mexico,Americas,23,-102,0,0,0
2020/01/24,MX,Mexico,Americas,23,-102,0,0,0
2020/01/25,MX,Mexico,Americas,23,-102,0,0,0
2020/01/26,MX,Mexico,Americas,23,-102,0,0,0
2020/01/27,MX,Mexico,Americas,23,-102,0,0,0
2020/01/28,MX,Mexico,Americas,23,-102,0,0,0
2020/01/29,MX,Mexico,Americas,23,-102,0,0,0
2020/01/30,MX,Mexico,Americas,23,-102,0,0,0
2020/01/31,MX,Mexico,Americas,23,-102,0,0,0
2020/02/01,MX,Mexico,Americas,23,-102,0,0,0
2020/02/02,MX,Mexico,Americas,23,-102,0,0,0
2020/02/03,MX,Mexico,Americas,23,-102,0,0,0
2020/02/04,MX,Mexico,Americas,23,-102,0,0,0
2020/02/05,MX,Mexico,Americas,23,-102,0,0,0
2020/02/06,MX,Mexico,Americas,23,-102,0,0,0
2020/02/07,MX,Mexico,Americas,23,-102,0,0,0
2020/02/08,MX,Mexico,Americas,23,-102,0,0,0
2020/02/09,MX,Mexico,Americas,23,-102,0,0,0
2020/02/10,MX,Mexico,Americas,23,-102,0,0,0
2020/02/11,MX,Mexico,Americas,23,-102,0,0,0
2020/02/12,MX,Mexico,Americas,23,-102,0,0,0
2020/02/13,MX,Mexico,Americas,23,-102,0,0,0
2020/02/14,MX,Mexico,Americas,23,-102,0,0,0
2020/02/15,MX,Mexico,Americas,23,-102,0,0,0
2020/02/16,MX,Mexico,Americas,23,-102,0,0,0
2020/02/17,MX,Mexico,Americas,23,-102,0,0,0
2020/02/18,MX,Mexico,Americas,23,-102,0,0,0
2020/02/19,MX,Mexico,Americas,23,-102,0,0,0
2020/02/20,MX,Mexico,Americas,23,-102,0,0,0
2020/02/21,MX,Mexico,Americas,23,-102,0,0,0
2020/02/22,MX,Mexico,Americas,23,-102,0,0,0
2020/02/23,MX,Mexico,Americas,23,-102,0,0,0
2020/02/24,MX,Mexico,Americas,23,-102,0,0,0
2020/02/25,MX,Mexico,Americas,23,-102,0,0,0
2020/02/26,MX,Mexico,Americas,23,-102,0,0,0
2020/02/27,MX,Mexico,Americas,23,-102,0,0,0
2020/02/28,MX,Mexico,Americas,23,-102,1,0,0
2020/02/29,MX,Mexico,Americas,23,-102,4,0,0
2020/03/01,MX,Mexico,Americas,23,-102,5,0,0
2020/03/02,MX,Mexico,Americas,23,-102,5,0,0
2020/03/03,MX,Mexico,Americas,23,-102,5,1,0
2020/03/04,MX,Mexico,Americas,23,-102,5,1,0
2020/03/05,MX,Mexico,Americas,23,-102,5,1,0
2020/03/06,MX,Mexico,Americas,23,-102,6,1,0
2020/03/07,MX,Mexico,Americas,23,-102,6,1,0
2020/03/08,MX,Mexico,Americas,23,-102,7,1,0
2020/03/09,MX,Mexico,Americas,23,-102,7,1,0
2020/03/10,MX,Mexico,Americas,23,-102,7,4,0
2020/03/11,MX,Mexico,Americas,23,-102,8,4,0
2020/03/12,MX,Mexico,Americas,23,-102,12,4,0
2020/03/13,MX,Mexico,Americas,23,-102,12,4,0
2020/03/14,MX,Mexico,Americas,23,-102,26,4,0
2020/03/15,MX,Mexico,Americas,23,-102,41,4,0
2020/03/16,MX,Mexico,Americas,23,-102,53,4,0
2020/03/17,MX,Mexico,Americas,23,-102,82,4,0
2020/03/18,MX,Mexico,Americas,23,-102,93,4,0
2020/03/19,MX,Mexico,Americas,23,-102,118,4,1
2020/03/20,MX,Mexico,Americas,23,-102,164,4,1
2020/03/21,MX,Mexico,Americas,23,-102,203,4,2
2020/03/22,MX,Mexico,Americas,23,-102,251,4,2
2020/03/23,MX,Mexico,Americas,23,-102,316,4,3
2020/03/24,MX,Mexico,Americas,23,-102,367,4,4
2020/03/25,MX,Mexico,Americas,23,-102,405,4,5
2020/03/26,MX,Mexico,Americas,23,-102,475,4,6
2020/03/27,MX,Mexico,Americas,23,-102,585,4,8
2020/03/28,MX,Mexico,Americas,23,-102,717,4,12
2020/03/29,MX,Mexico,Americas,23,-102,848,4,16
2020/03/30,MX,Mexico,Americas,23,-102,993,35,20
2020/03/31,MX,Mexico,Americas,23,-102,1094,35,28
2020/04/01,MX,Mexico,Americas,23,-102,1215,35,29
2020/04/02,MX,Mexico,Americas,23,-102,1378,35,37
2020/04/03,MX,Mexico,Americas,23,-102,1510,633,50
2020/04/04,MX,Mexico,Americas,23,-102,1688,633,60
2020/04/05,MX,Mexico,Americas,23,-102,1890,633,79
2020/04/06,MX,Mexico,Americas,23,-102,2143,633,94
2020/04/07,MX,Mexico,Americas,23,-102,2439,633,125
2020/04/08,MX,Mexico,Americas,23,-102,2785,633,141
2020/04/09,MX,Mexico,Americas,23,-102,3181,633,174
2020/04/10,MX,Mexico,Americas,23,-102,3441,633,194
2020/04/11,MX,Mexico,Americas,23,-102,3844,633,233
2020/04/12,MX,Mexico,Americas,23,-102,4219,1772,273
2020/04/13,MX,Mexico,Americas,23,-102,4661,1843,296
2020/04/14,MX,Mexico,Americas,23,-102,5014,1964,332
2020/04/15,MX,Mexico,Americas,23,-102,5399,2125,406
2020/04/16,MX,Mexico,Americas,23,-102,5847,2125,449
2020/04/17,MX,Mexico,Americas,23,-102,6297,2125,486
2020/04/18,MX,Mexico,Americas,23,-102,6875,2125,546
2020/04/19,MX,Mexico,Americas,23,-102,7497,2627,650
2020/04/20,MX,Mexico,Americas,23,-102,8261,2627,686
2020/04/21,MX,Mexico,Americas,23,-102,8772,2627,712
2020/04/22,MX,Mexico,Americas,23,-102,9501,2627,857
2020/04/23,MX,Mexico,Americas,23,-102,10544,2627,970
2020/04/24,MX,Mexico,Americas,23,-102,11633,2627,1069
2020/04/25,MX,Mexico,Americas,23,-102,12872,7149,1221
2020/04/26,MX,Mexico,Americas,23,-102,13842,7149,1305
2020/04/27,MX,Mexico,Americas,23,-102,14677,8354,1351
2020/04/28,MX,Mexico,Americas,23,-102,15529,9086,1434
2020/04/29,MX,Mexico,Americas,23,-102,16752,11423,1569
2020/04/30,MX,Mexico,Americas,23,-102,17799,11423,1732
2020/05/01,MX,Mexico,Americas,23,-102,19224,11423,1859
2020/05/02,MX,Mexico,Americas,23,-102,20739,12377,1972
2020/05/03,MX,Mexico,Americas,23,-102,22088,13447,2061
2020/05/04,MX,Mexico,Americas,23,-102,23471,13447,2154
2020/05/05,MX,Mexico,Americas,23,-102,24905,15938,2271
2020/05/06,MX,Mexico,Americas,23,-102,26025,16810,2507
2020/05/07,MX,Mexico,Americas,23,-102,27634,17781,2704
2020/05/08,MX,Mexico,Americas,23,-102,29616,17781,2961
2020/05/09,MX,Mexico,Americas,23,-102,31522,20314,3160
2020/05/10,MX,Mexico,Americas,23,-102,33460,21824,3353
2020/05/11,MX,Mexico,Americas,23,-102,35022,23100,3465
2020/05/12,MX,Mexico,Americas,23,-102,36327,23100,3573
2020/05/13,MX,Mexico,Americas,23,-102,38324,25935,3926
2020/05/14,MX,Mexico,Americas,23,-102,40186,26990,4220
2020/05/15,MX,Mexico,Americas,23,-102,42595,28475,4477
2020/05/16,MX,Mexico,Americas,23,-102,45032,30451,4767
2020/05/17,MX,Mexico,Americas,23,-102,47144,31848,5045
2020/05/18,MX,Mexico,Americas,23,-102,49219,33329,5177
2020/05/19,MX,Mexico,Americas,23,-102,51633,35388,5332
2020/05/20,MX,Mexico,Americas,23,-102,54346,37325,5666
2020/05/21,MX,Mexico,Americas,23,-102,56594,38876,6090
2020/05/22,MX,Mexico,Americas,23,-102,59567,40657,6510
2020/05/23,MX,Mexico,Americas,23,-102,62527,42725,6989
2020/05/24,MX,Mexico,Americas,23,-102,65856,44919,7179
2020/05/25,MX,Mexico,Americas,23,-102,68620,47424,7394
2020/05/26,MX,Mexico,Americas,23,-102,71105,49890,7633
2020/05/27,MX,Mexico,Americas,23,-102,74560,52219,8134
2020/05/28,MX,Mexico,Americas,23,-102,78023,54383,8597
2020/05/29,MX,Mexico,Americas,23,-102,81400,56638,9044
2020/05/30,MX,Mexico,Americas,23,-102,84627,59610,9415
2020/05/31,MX,Mexico,Americas,23,-102,87512,61871,9779
2020/06/01,MX,Mexico,Americas,23,-102,90664,64326,9930
2020/06/02,MX,Mexico,Americas,23,-102,93435,67491,10167
2020/06/03,MX,Mexico,Americas,23,-102,97326,70308,10637
2020/06/04,MX,Mexico,Americas,23,-102,101238,73271,11729
2020/06/05,MX,Mexico,Americas,23,-102,105680,75448,12545
2020/06/06,MX,Mexico,Americas,23,-102,110026,78590,13170
2020/06/07,MX,Mexico,Americas,23,-102,113619,81544,13511
2020/06/08,MX,Mexico,Americas,23,-102,117103,84419,13699
2020/06/09,MX,Mexico,Americas,23,-102,120102,87633,14053
2020/06/10,MX,Mexico,Americas,23,-102,124301,90748,14649
2020/06/11,MX,Mexico,Americas,23,-102,129184,93930,15357
2020/06/12,MX,Mexico,Americas,23,-102,133974,98064,15944
2020/06/13,MX,Mexico,Americas,23,-102,139196,101767,16448
2020/06/14,MX,Mexico,Americas,23,-102,142690,104975,16872
2020/06/15,MX,Mexico,Americas,23,-102,146837,108110,17141
2020/06/16,MX,Mexico,Americas,23,-102,150264,113006,17580
2020/06/17,MX,Mexico,Americas,23,-102,154863,116178,18310
2020/06/18,MX,Mexico,Americas,23,-102,159793,119355,19080
2020/06/19,MX,Mexico,Americas,23,-102,165455,123095,19747
2020/06/20,MX,Mexico,Americas,23,-102,170485,127332,20394
2020/06/21,MX,Mexico,Americas,23,-102,175202,131686,20781
