day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MY,Malaysia,Asia,2.5,112.5,0,0,0
2020/01/23,MY,Malaysia,Asia,2.5,112.5,0,0,0
2020/01/24,MY,Malaysia,Asia,2.5,112.5,0,0,0
2020/01/25,MY,Malaysia,Asia,2.5,112.5,3,0,0
2020/01/26,MY,Malaysia,Asia,2.5,112.5,4,0,0
2020/01/27,MY,Malaysia,Asia,2.5,112.5,4,0,0
2020/01/28,MY,Malaysia,Asia,2.5,112.5,4,0,0
2020/01/29,MY,Malaysia,Asia,2.5,112.5,7,0,0
2020/01/30,MY,Malaysia,Asia,2.5,112.5,8,0,0
2020/01/31,MY,Malaysia,Asia,2.5,112.5,8,0,0
2020/02/01,MY,Malaysia,Asia,2.5,112.5,8,0,0
2020/02/02,MY,Malaysia,Asia,2.5,112.5,8,0,0
2020/02/03,MY,Malaysia,Asia,2.5,112.5,8,0,0
2020/02/04,MY,Malaysia,Asia,2.5,112.5,10,0,0
2020/02/05,MY,Malaysia,Asia,2.5,112.5,12,0,0
2020/02/06,MY,Malaysia,Asia,2.5,112.5,12,0,0
2020/02/07,MY,Malaysia,Asia,2.5,112.5,12,1,0
2020/02/08,MY,Malaysia,Asia,2.5,112.5,16,1,0
2020/02/09,MY,Malaysia,Asia,2.5,112.5,16,1,0
2020/02/10,MY,Malaysia,Asia,2.5,112.5,18,1,0
2020/02/11,MY,Malaysia,Asia,2.5,112.5,18,3,0
2020/02/12,MY,Malaysia,Asia,2.5,112.5,18,3,0
2020/02/13,MY,Malaysia,Asia,2.5,112.5,19,3,0
2020/02/14,MY,Malaysia,Asia,2.5,112.5,19,3,0
2020/02/15,MY,Malaysia,Asia,2.5,112.5,22,7,0
2020/02/16,MY,Malaysia,Asia,2.5,112.5,22,7,0
2020/02/17,MY,Malaysia,Asia,2.5,112.5,22,7,0
2020/02/18,MY,Malaysia,Asia,2.5,112.5,22,13,0
2020/02/19,MY,Malaysia,Asia,2.5,112.5,22,15,0
2020/02/20,MY,Malaysia,Asia,2.5,112.5,22,15,0
2020/02/21,MY,Malaysia,Asia,2.5,112.5,22,15,0
2020/02/22,MY,Malaysia,Asia,2.5,112.5,22,15,0
2020/02/23,MY,Malaysia,Asia,2.5,112.5,22,15,0
2020/02/24,MY,Malaysia,Asia,2.5,112.5,22,18,0
2020/02/25,MY,Malaysia,Asia,2.5,112.5,22,18,0
2020/02/26,MY,Malaysia,Asia,2.5,112.5,22,18,0
2020/02/27,MY,Malaysia,Asia,2.5,112.5,23,18,0
2020/02/28,MY,Malaysia,Asia,2.5,112.5,23,18,0
2020/02/29,MY,Malaysia,Asia,2.5,112.5,25,18,0
2020/03/01,MY,Malaysia,Asia,2.5,112.5,29,18,0
2020/03/02,MY,Malaysia,Asia,2.5,112.5,29,18,0
2020/03/03,MY,Malaysia,Asia,2.5,112.5,36,22,0
2020/03/04,MY,Malaysia,Asia,2.5,112.5,50,22,0
2020/03/05,MY,Malaysia,Asia,2.5,112.5,50,22,0
2020/03/06,MY,Malaysia,Asia,2.5,112.5,83,22,0
2020/03/07,MY,Malaysia,Asia,2.5,112.5,93,23,0
2020/03/08,MY,Malaysia,Asia,2.5,112.5,99,24,0
2020/03/09,MY,Malaysia,Asia,2.5,112.5,117,24,0
2020/03/10,MY,Malaysia,Asia,2.5,112.5,129,24,0
2020/03/11,MY,Malaysia,Asia,2.5,112.5,149,26,0
2020/03/12,MY,Malaysia,Asia,2.5,112.5,149,26,0
2020/03/13,MY,Malaysia,Asia,2.5,112.5,197,26,0
2020/03/14,MY,Malaysia,Asia,2.5,112.5,238,35,0
2020/03/15,MY,Malaysia,Asia,2.5,112.5,428,42,0
2020/03/16,MY,Malaysia,Asia,2.5,112.5,566,42,0
2020/03/17,MY,Malaysia,Asia,2.5,112.5,673,49,2
2020/03/18,MY,Malaysia,Asia,2.5,112.5,790,60,2
2020/03/19,MY,Malaysia,Asia,2.5,112.5,900,75,2
2020/03/20,MY,Malaysia,Asia,2.5,112.5,1030,87,3
2020/03/21,MY,Malaysia,Asia,2.5,112.5,1183,114,4
2020/03/22,MY,Malaysia,Asia,2.5,112.5,1306,139,10
2020/03/23,MY,Malaysia,Asia,2.5,112.5,1518,159,14
2020/03/24,MY,Malaysia,Asia,2.5,112.5,1624,183,16
2020/03/25,MY,Malaysia,Asia,2.5,112.5,1796,199,20
2020/03/26,MY,Malaysia,Asia,2.5,112.5,2031,215,23
2020/03/27,MY,Malaysia,Asia,2.5,112.5,2161,259,26
2020/03/28,MY,Malaysia,Asia,2.5,112.5,2320,320,27
2020/03/29,MY,Malaysia,Asia,2.5,112.5,2470,388,35
2020/03/30,MY,Malaysia,Asia,2.5,112.5,2626,479,37
2020/03/31,MY,Malaysia,Asia,2.5,112.5,2766,537,43
2020/04/01,MY,Malaysia,Asia,2.5,112.5,2908,645,45
2020/04/02,MY,Malaysia,Asia,2.5,112.5,3116,767,50
2020/04/03,MY,Malaysia,Asia,2.5,112.5,3333,827,53
2020/04/04,MY,Malaysia,Asia,2.5,112.5,3483,915,57
2020/04/05,MY,Malaysia,Asia,2.5,112.5,3662,1005,61
2020/04/06,MY,Malaysia,Asia,2.5,112.5,3793,1241,62
2020/04/07,MY,Malaysia,Asia,2.5,112.5,3963,1321,63
2020/04/08,MY,Malaysia,Asia,2.5,112.5,4119,1487,65
2020/04/09,MY,Malaysia,Asia,2.5,112.5,4228,1608,67
2020/04/10,MY,Malaysia,Asia,2.5,112.5,4346,1830,70
2020/04/11,MY,Malaysia,Asia,2.5,112.5,4530,1995,73
2020/04/12,MY,Malaysia,Asia,2.5,112.5,4683,2108,76
2020/04/13,MY,Malaysia,Asia,2.5,112.5,4817,2276,77
2020/04/14,MY,Malaysia,Asia,2.5,112.5,4987,2478,82
