day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/23,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/24,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/25,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/26,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/27,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/28,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/29,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/30,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/01/31,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/01,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/02,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/03,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/04,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/05,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/06,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/07,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/08,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/09,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/10,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/11,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/12,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/13,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/14,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/15,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/16,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/17,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/18,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/19,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/20,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/21,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/22,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/23,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/24,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/25,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/26,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/27,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/28,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/02/29,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/01,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/02,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/03,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/04,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/05,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/06,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/07,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/08,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/09,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/10,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/11,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/12,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/13,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/14,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/15,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/16,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/17,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/18,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/19,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/20,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/21,MZ,Mozambique,Africa,-18.25,35,0,0,0
2020/03/22,MZ,Mozambique,Africa,-18.25,35,1,0,0
2020/03/23,MZ,Mozambique,Africa,-18.25,35,1,0,0
2020/03/24,MZ,Mozambique,Africa,-18.25,35,3,0,0
2020/03/25,MZ,Mozambique,Africa,-18.25,35,5,0,0
2020/03/26,MZ,Mozambique,Africa,-18.25,35,7,0,0
2020/03/27,MZ,Mozambique,Africa,-18.25,35,7,0,0
