day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/23,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/24,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/25,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/26,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/27,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/28,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/29,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/30,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/01/31,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/01,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/02,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/03,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/04,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/05,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/06,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/07,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/08,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/09,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/10,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/11,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/12,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/13,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/14,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/15,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/16,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/17,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/18,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
2020/02/19,NC,New Caledonia,Oceania,-21.5,165.5,0,0,0
