day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NG,Nigeria,Africa,10,8,0,0,0
2020/01/23,NG,Nigeria,Africa,10,8,0,0,0
2020/01/24,NG,Nigeria,Africa,10,8,0,0,0
2020/01/25,NG,Nigeria,Africa,10,8,0,0,0
2020/01/26,NG,Nigeria,Africa,10,8,0,0,0
2020/01/27,NG,Nigeria,Africa,10,8,0,0,0
2020/01/28,NG,Nigeria,Africa,10,8,0,0,0
2020/01/29,NG,Nigeria,Africa,10,8,0,0,0
2020/01/30,NG,Nigeria,Africa,10,8,0,0,0
2020/01/31,NG,Nigeria,Africa,10,8,0,0,0
2020/02/01,NG,Nigeria,Africa,10,8,0,0,0
2020/02/02,NG,Nigeria,Africa,10,8,0,0,0
2020/02/03,NG,Nigeria,Africa,10,8,0,0,0
2020/02/04,NG,Nigeria,Africa,10,8,0,0,0
2020/02/05,NG,Nigeria,Africa,10,8,0,0,0
2020/02/06,NG,Nigeria,Africa,10,8,0,0,0
2020/02/07,NG,Nigeria,Africa,10,8,0,0,0
2020/02/08,NG,Nigeria,Africa,10,8,0,0,0
2020/02/09,NG,Nigeria,Africa,10,8,0,0,0
2020/02/10,NG,Nigeria,Africa,10,8,0,0,0
2020/02/11,NG,Nigeria,Africa,10,8,0,0,0
2020/02/12,NG,Nigeria,Africa,10,8,0,0,0
2020/02/13,NG,Nigeria,Africa,10,8,0,0,0
2020/02/14,NG,Nigeria,Africa,10,8,0,0,0
2020/02/15,NG,Nigeria,Africa,10,8,0,0,0
2020/02/16,NG,Nigeria,Africa,10,8,0,0,0
2020/02/17,NG,Nigeria,Africa,10,8,0,0,0
2020/02/18,NG,Nigeria,Africa,10,8,0,0,0
2020/02/19,NG,Nigeria,Africa,10,8,0,0,0
2020/02/20,NG,Nigeria,Africa,10,8,0,0,0
2020/02/21,NG,Nigeria,Africa,10,8,0,0,0
2020/02/22,NG,Nigeria,Africa,10,8,0,0,0
2020/02/23,NG,Nigeria,Africa,10,8,0,0,0
2020/02/24,NG,Nigeria,Africa,10,8,0,0,0
2020/02/25,NG,Nigeria,Africa,10,8,0,0,0
2020/02/26,NG,Nigeria,Africa,10,8,0,0,0
2020/02/27,NG,Nigeria,Africa,10,8,0,0,0
2020/02/28,NG,Nigeria,Africa,10,8,1,0,0
2020/02/29,NG,Nigeria,Africa,10,8,1,0,0
2020/03/01,NG,Nigeria,Africa,10,8,1,0,0
2020/03/02,NG,Nigeria,Africa,10,8,1,0,0
2020/03/03,NG,Nigeria,Africa,10,8,1,0,0
2020/03/04,NG,Nigeria,Africa,10,8,1,0,0
2020/03/05,NG,Nigeria,Africa,10,8,1,0,0
2020/03/06,NG,Nigeria,Africa,10,8,1,0,0
2020/03/07,NG,Nigeria,Africa,10,8,1,0,0
2020/03/08,NG,Nigeria,Africa,10,8,1,0,0
2020/03/09,NG,Nigeria,Africa,10,8,2,0,0
2020/03/10,NG,Nigeria,Africa,10,8,2,0,0
2020/03/11,NG,Nigeria,Africa,10,8,2,0,0
2020/03/12,NG,Nigeria,Africa,10,8,2,0,0
2020/03/13,NG,Nigeria,Africa,10,8,2,0,0
2020/03/14,NG,Nigeria,Africa,10,8,2,0,0
2020/03/15,NG,Nigeria,Africa,10,8,2,0,0
2020/03/16,NG,Nigeria,Africa,10,8,2,0,0
2020/03/17,NG,Nigeria,Africa,10,8,3,0,0
2020/03/18,NG,Nigeria,Africa,10,8,8,1,0
2020/03/19,NG,Nigeria,Africa,10,8,8,1,0
2020/03/20,NG,Nigeria,Africa,10,8,12,1,0
2020/03/21,NG,Nigeria,Africa,10,8,22,1,0
2020/03/22,NG,Nigeria,Africa,10,8,30,2,0
2020/03/23,NG,Nigeria,Africa,10,8,40,2,1
2020/03/24,NG,Nigeria,Africa,10,8,44,2,1
2020/03/25,NG,Nigeria,Africa,10,8,51,2,1
2020/03/26,NG,Nigeria,Africa,10,8,65,2,1
2020/03/27,NG,Nigeria,Africa,10,8,70,3,1
2020/03/28,NG,Nigeria,Africa,10,8,97,3,1
2020/03/29,NG,Nigeria,Africa,10,8,111,3,1
2020/03/30,NG,Nigeria,Africa,10,8,131,8,2
2020/03/31,NG,Nigeria,Africa,10,8,135,8,2
2020/04/01,NG,Nigeria,Africa,10,8,174,9,2
2020/04/02,NG,Nigeria,Africa,10,8,184,20,2
2020/04/03,NG,Nigeria,Africa,10,8,210,25,4
2020/04/04,NG,Nigeria,Africa,10,8,214,25,4
2020/04/05,NG,Nigeria,Africa,10,8,232,33,5
2020/04/06,NG,Nigeria,Africa,10,8,238,35,5
2020/04/07,NG,Nigeria,Africa,10,8,254,44,6
