day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/23,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/24,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/25,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/26,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/27,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/28,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/29,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/30,NI,Nicaragua,Americas,13,-85,0,0,0
2020/01/31,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/01,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/02,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/03,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/04,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/05,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/06,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/07,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/08,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/09,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/10,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/11,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/12,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/13,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/14,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/15,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/16,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/17,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/18,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/19,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/20,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/21,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/22,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/23,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/24,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/25,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/26,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/27,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/28,NI,Nicaragua,Americas,13,-85,0,0,0
2020/02/29,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/01,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/02,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/03,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/04,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/05,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/06,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/07,NI,Nicaragua,Americas,13,-85,0,0,0
2020/03/08,NI,Nicaragua,Americas,13,-85,0,0,0
